State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Telangana,Hyderabad,PlatinumMovietimeCinemaGachibowliSlnTerminus,Telugu,09:00,PlatinumPremiumRecliner,350₹,18,5
Telangana,Hyderabad,PlatinumMovietimeCinemaGachibowliSlnTerminus,Telugu,09:00,PlatinumRecliners,350₹,40,10
TamilNadu,Chennai,InoxTheMarinaMallOmr,Telugu,09:25,Club,175₹,137,10
TamilNadu,Chennai,InoxTheMarinaMallOmr,Telugu,09:25,Executive,63.73₹,16,16
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,Telugu,09:25,Prime,160₹,117,27
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,Telugu,09:25,Classic,140₹,90,0
Maharashtra,Solapur,LaxminarayanCinemaSolapur,Telugu,09:30,Sofa,150₹,33,0
Maharashtra,Solapur,LaxminarayanCinemaSolapur,Telugu,09:30,Gold,100₹,351,0
Karnataka,Kolar,SriNarayaniDigital2KCinemaKolar,Telugu,09:45,BalconyClass,150₹,210,0
Karnataka,Kolar,SriNarayaniDigital2KCinemaKolar,Telugu,09:45,FirstClass,120₹,394,0
Karnataka,Chikkaballapur,BalajiTalkiesChikkaballapura,Telugu,10:00,Balcony,150₹,136,0
AndhraPradesh,Gudur,VCinemasScreen1Gudur,Telugu,10:10,PremiumClass,112₹,218,37
AndhraPradesh,Gudur,VCinemasScreen1Gudur,Telugu,10:10,LowerClass,90₹,84,0
Maharashtra,Pune,MoviemaxAmanoraTownCentrePune,Telugu,10:15,Royale,230₹,12,4
Maharashtra,Pune,MoviemaxAmanoraTownCentrePune,Telugu,10:15,Club,150₹,239,28
Maharashtra,Pune,MoviemaxAmanoraTownCentrePune,Telugu,10:15,Executive,150₹,32,0
Karnataka,Bengaluru,RocklineCinemasJalahalliCross,Telugu,10:15,Gold,150₹,213,18
AndhraPradesh,Guntur,PvrGunturNaazCenterRoad,Telugu,10:20,Recliner,295₹,10,6
AndhraPradesh,Guntur,PvrGunturNaazCenterRoad,Telugu,10:20,Classic,177₹,170,17
Karnataka,Bengaluru,KinoCinemasSeegehalliKadugodiBengaluru,Telugu,10:30,Gold,150₹,99,5
Karnataka,Bengaluru,KinoCinemasSeegehalliKadugodiBengaluru,Telugu,10:30,Silver,150₹,28,0
Telangana,Hyderabad,MovieMaxAmrEcilSecunderabad,Telugu,10:30,Classic,180₹,40,5
Telangana,Hyderabad,MovieMaxAmrEcilSecunderabad,Telugu,10:30,Prime,200₹,183,12
Telangana,Hyderabad,MovieMaxAmrEcilSecunderabad,Telugu,10:30,Recliner,300₹,16,3
AndhraPradesh,Palamaner,RangaMahalTheaterPalamaner,Telugu,10:30,FirstClass,100₹,405,2
Karnataka,Doddaballapura,VaibhavCinemasAC4K71DolbyDoddaballapura,Telugu,10:30,Diamond,150₹,144,22
Karnataka,Doddaballapura,VaibhavCinemasAC4K71DolbyDoddaballapura,Telugu,10:30,Gold,120₹,361,82
AndhraPradesh,Porumamilla,SriDesaiTheatrePorumamilla,Telugu,10:30,Balcony,100₹,185,155
Karnataka,Malur,SriBalajiTheatreMalur,Telugu,10:30,Balcony,150₹,105,0
