State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,11:45,SilverOffline,150₹,147,16
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,11:45,ExecutiveOffline,100₹,26,0
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,14:15,SilverOffline,150₹,147,23
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,14:15,ExecutiveOffline,100₹,26,2
Kerala,Angamaly,CarnivalKsrtComplex,Malayalam,14:30,GoldOffline,130₹,202,7
Kerala,Kochi,PadmaCinemaKochi,Malayalam,15:00,Platinum,150₹,178,38
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,16:20,RoyalRecliner,350₹,10,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,16:20,Club,190₹,63,17
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,16:20,Royal,190₹,28,23
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,16:20,Executive,130₹,22,2
Kerala,Trivandrum,AriesplexSlCinemas,Malayalam,16:30,Executive,110₹,70,24
Kerala,Karunagapally,CarnivalHJComplex,Malayalam,17:00,ClassicOffline,170₹,194,3
Kerala,Kochi,PadmaCinemaKochi,Malayalam,18:00,Platinum,150₹,178,36
Kerala,Chendrapinni,SreeMurukaMoviesACChendrapinni,Malayalam,18:30,GoldClass,120₹,258,0
Kerala,Koppam,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,19:00,Platinum,250₹,20,0
Kerala,Koppam,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,19:00,Gold,129₹,185,7
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,19:15,SilverOffline,150₹,147,14
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,19:15,ExecutiveOffline,100₹,26,0
Kerala,Karunagapally,CarnivalHJComplex,Malayalam,19:30,ClassicOffline,170₹,194,0
Kerala,Chendrapinni,SreeMurukaMoviesACChendrapinni,Malayalam,21:30,GoldClass,120₹,258,0
Kerala,Angamaly,CarnivalKsrtComplex,Malayalam,22:00,GoldOffline,130₹,202,7
Kerala,Koppam,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,22:15,Platinum,250₹,20,0
Kerala,Koppam,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,22:15,Gold,129₹,185,0
Kerala,Kochi,PvrLuluKochi,Malayalam,22:40,Classic,140₹,39,4
Kerala,Kochi,PvrLuluKochi,Malayalam,22:40,ClassicPlus,160₹,91,39
Kerala,Kochi,PvrLuluKochi,Malayalam,22:40,Prime,190₹,64,0
Kerala,Kochi,PvrLuluKochi,Malayalam,22:40,Recliner,350₹,9,0
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,22:45,PremiumOffline,300₹,50,17
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,22:45,ExecutiveOffline,180₹,102,11
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,22:45,NormalOffline,100₹,17,0
