State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Miraj,AurumCinemasCentre1MallSangli,Marathi,09:00,Gold,120₹,108,5
Maharashtra,Miraj,AurumCinemasCentre1MallSangli,Marathi,09:00,Silver,120₹,24,0
Maharashtra,Dhule,JyotiChitraMandirDhule,Marathi,12:00,Balcony,130₹,173,64
Maharashtra,Dhule,JyotiChitraMandirDhule,Marathi,12:00,Gold,80₹,213,64
Maharashtra,Dhule,JyotiChitraMandirDhule,Marathi,12:00,Silver,80₹,250,39
Maharashtra,Miraj,AmarCinemaMiraj,Marathi,12:30,Stall,100₹,226,0
Maharashtra,Rajgurunagar,AbhiruchiCityPrideSinhagadRoad,Marathi,13:00,RoyalSofa,190₹,18,5
Maharashtra,Rajgurunagar,AbhiruchiCityPrideSinhagadRoad,Marathi,13:00,RoyalGold,170₹,129,25
Maharashtra,Rajgurunagar,AbhiruchiCityPrideSinhagadRoad,Marathi,13:00,RoyalSilver,150₹,36,0
Maharashtra,Mumbai,CitylightCinemaMahim,Marathi,13:15,Prime,150₹,252,56
Maharashtra,Nashik,DivyaCinemasNashik,Marathi,16:45,Sofa,170₹,25,10
Maharashtra,Nashik,DivyaCinemasNashik,Marathi,16:45,Executive,150₹,131,46
Maharashtra,Nashik,DivyaCinemasNashik,Marathi,16:45,Gold,130₹,55,15
Maharashtra,Nashik,DivyaCinemasNashik,Marathi,16:45,Silver,110₹,62,0
Maharashtra,Mumbai,MovietimeTheHubGoregaon,Marathi,17:45,Gold,120₹,63,17
Maharashtra,Devgad,KhinvasaraCineplexApsaraCinemaAurangabad,Marathi,18:00,Diamond,150₹,140,3
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,18:00,GoldenClass,150₹,254,0
Maharashtra,Nagpur,AlankarCinemaNagpur,Marathi,18:30,Balcony,120₹,188,0
Maharashtra,Nagpur,AlankarCinemaNagpur,Marathi,18:30,FirstBalcony,80₹,311,4
Maharashtra,Solapur,PrabhatTalkiesSolapur,Marathi,18:30,Balcony,150₹,242,30
Maharashtra,Solapur,PrabhatTalkiesSolapur,Marathi,18:30,FamilyClass,100₹,200,29
Maharashtra,Solapur,PrabhatTalkiesSolapur,Marathi,18:30,DressCircle,80₹,87,9
Maharashtra,Nashik,CinemaxCityCenterNashik,Marathi,18:30,Classic,190₹,34,0
Maharashtra,Nashik,CinemaxCityCenterNashik,Marathi,18:30,Prime,230₹,135,126
Maharashtra,Nashik,CinemaxCityCenterNashik,Marathi,18:30,Recliner,380₹,33,22
Maharashtra,Rajgurunagar,CityPrideKothrud,Marathi,19:15,RoyalGold,180₹,149,49
Maharashtra,Rajgurunagar,CityPrideKothrud,Marathi,19:15,RoyalSilver,160₹,22,0
