State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Tulu,10:30,Gold,112₹,18,0
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Tulu,10:30,Prime,112₹,64,0
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Tulu,10:30,Classic,112₹,42,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,10:30,Gold,150₹,47,12
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,10:30,Silver,150₹,33,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,10:30,Special,150₹,11,0
Karnataka,Padubidri,BharathCinemasPadubidri,Tulu,10:45,Gold,150₹,67,5
Karnataka,Padubidri,BharathCinemasPadubidri,Tulu,10:45,Silver,130₹,33,0
Karnataka,Padubidri,BharathCinemasPadubidri,Tulu,10:45,Special,100₹,11,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,13:00,Gold,150₹,47,27
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,13:00,Silver,150₹,33,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,13:00,Special,150₹,11,0
Karnataka,Manipal,BharathCinemasManipal,Tulu,13:45,Gold,150₹,69,9
Karnataka,Manipal,BharathCinemasManipal,Tulu,13:45,Silver,150₹,48,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,15:30,Gold,150₹,47,24
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,15:30,Silver,150₹,33,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,15:30,Special,150₹,11,0
Karnataka,Padubidri,BharathCinemasPadubidri,Tulu,16:15,Gold,150₹,68,3
Karnataka,Padubidri,BharathCinemasPadubidri,Tulu,16:15,Silver,130₹,33,0
Karnataka,Padubidri,BharathCinemasPadubidri,Tulu,16:15,Special,100₹,11,0
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Tulu,16:45,Gold,150₹,18,6
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Tulu,16:45,Prime,150₹,64,0
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Tulu,16:45,Classic,130₹,42,2
Karnataka,MangaluruMangalore,PvrForumFizaMallPandeshwar,Tulu,18:30,Classic,150₹,79,22
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Tulu,19:15,Gold,150₹,18,0
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Tulu,19:15,Prime,150₹,64,3
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Tulu,19:15,Classic,130₹,42,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,20:00,Gold,150₹,47,1
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,20:00,Silver,150₹,33,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,20:00,Special,150₹,11,0
Karnataka,MangaluruMangalore,CinepolisCityCentreMallMangaluru,Tulu,21:30,Normal,150₹,28,0
Karnataka,MangaluruMangalore,CinepolisCityCentreMallMangaluru,Tulu,21:30,Executive,150₹,133,0
Karnataka,MangaluruMangalore,CinepolisCityCentreMallMangaluru,Tulu,21:30,Premium,150₹,58,7
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,22:30,Gold,150₹,47,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,22:30,Silver,150₹,33,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Tulu,22:30,Special,150₹,11,0
