State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Trivandrum,DreamsAttingal,Malayalam,09:30,Recliner,350₹,11,0
Kerala,Trivandrum,DreamsAttingal,Malayalam,09:30,Sofa,200₹,60,0
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,10:20,Normal,110₹,30,2
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,10:20,Executive,140₹,45,1
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,10:20,Premium,160₹,95,18
Kerala,Vadakara,One2OnePlusFilmCity2K3DDolbyAtmosACVada,Malayalam,10:30,Screen1,129₹,300,4
Kerala,Kasaragod,MagicFramesMehboobTheatreComplex4KKasarago,Malayalam,10:30,Executive,100₹,258,0
Kerala,Muvattupuzha,CinepointMultiplexMuvattupuzha,Malayalam,11:30,Gold,140₹,121,6
Kerala,Mayannur,DreamaxCinemas2K3D71DolbySurroundMayannur,Malayalam,11:30,FirtsClass,129₹,200,0
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,12:50,Classic,210₹,70,17
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,12:50,Prime,240₹,51,34
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,12:50,Recliner,450₹,7,0
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,13:00,Normal,140₹,20,2
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,13:00,Executive,160₹,43,18
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,13:00,Premium,190₹,44,7
Kerala,Vadakara,One2OnePlusFilmCity2K3DDolbyAtmosACVada,Malayalam,13:30,Screen1,129₹,300,0
Kerala,Kollam,DhanyaRemyaKollam,Malayalam,14:00,Platinum,135₹,200,49
Kerala,Changanassery,DhanyaRemyaChanganassery,Malayalam,14:00,Remya,135₹,196,13
Kerala,Mayannur,DreamaxCinemas2K3D71DolbySurroundMayannur,Malayalam,14:30,FirtsClass,129₹,200,0
Kerala,Trivandrum,AriesplexSlCinemas,Malayalam,14:45,Executive,110₹,70,48
Kerala,Chengannur,CCinemasChengannur,Malayalam,15:45,Chirry,150₹,101,0
Kerala,Kochi,PvrLuluGoldKochi,Malayalam,15:45,Gold,500₹,56,6
Karnataka,Bengaluru,CinepolisLuluGlobalMallBengaluru,Malayalam,16:05,Normal,170₹,29,2
Karnataka,Bengaluru,CinepolisLuluGlobalMallBengaluru,Malayalam,16:05,Executive,170₹,105,5
