State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Udupi,DianaTheatreUdupi,Konkani,10:30,FirstClass,80₹,100,1
Karnataka,Udupi,DianaTheatreUdupi,Konkani,13:30,FirstClass,80₹,100,0
Karnataka,Udupi,DianaTheatreUdupi,Konkani,16:30,FirstClass,80₹,100,0
Karnataka,Padubidri,BharathCinemasPadubidri,Konkani,16:45,Gold,150₹,67,43
Karnataka,Padubidri,BharathCinemasPadubidri,Konkani,16:45,Silver,130₹,33,33
Karnataka,Padubidri,BharathCinemasPadubidri,Konkani,16:45,Special,100₹,11,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Konkani,18:00,Gold,200₹,47,47
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Konkani,18:00,Silver,180₹,33,27
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Konkani,18:00,Special,150₹,11,5
Karnataka,Manipal,BharathCinemasManipal,Konkani,18:00,Gold,180₹,69,35
Karnataka,Manipal,BharathCinemasManipal,Konkani,18:00,Silver,150₹,48,0
Karnataka,Kundapura,BharathCinemasKundapura,Konkani,19:00,Gold,200₹,36,10
Karnataka,Kundapura,BharathCinemasKundapura,Konkani,19:00,Silver,180₹,24,13
Karnataka,Kundapura,BharathCinemasKundapura,Konkani,19:00,Special,150₹,36,0
Karnataka,Udupi,DianaTheatreUdupi,Konkani,19:30,FirstClass,80₹,100,0
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Konkani,19:35,Gold,150₹,17,9
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Konkani,19:35,Prime,150₹,64,0
Karnataka,MangaluruMangalore,CineGalaxySurathkalMangalore,Konkani,19:35,Classic,150₹,48,0
