State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ncr,Noida,PvrSuperplexLogixNoida,Hindi,13:00,Classic,150₹,97,29
Ncr,Noida,MirajCinemasTgipNoida,Hindi,13:20,Gold,150₹,221,20
Ncr,Faridabad,LegendSrsCinemasFaridabad,Hindi,16:10,Executive,150₹,8,0
Ncr,Faridabad,LegendSrsCinemasFaridabad,Hindi,16:10,Platinum,150₹,92,14
Ncr,Faridabad,LegendSrsCinemasFaridabad,Hindi,16:10,Gold,140₹,72,0
Ncr,Faridabad,LegendSrsCinemasFaridabad,Hindi,16:10,Silver,130₹,36,0
Ncr,Delhi,PvrPromenadeVasantKunj,Hindi,16:50,Classic,150₹,50,0
Ncr,Delhi,PvrPromenadeVasantKunj,Hindi,16:50,Prime,150₹,44,21
Ncr,Faridabad,LegendSrsCinemasFaridabad,Hindi,17:00,Executive,150₹,12,0
Ncr,Faridabad,LegendSrsCinemasFaridabad,Hindi,17:00,Platinum,150₹,149,23
Ncr,Faridabad,LegendSrsCinemasFaridabad,Hindi,17:00,Gold,140₹,144,0
Ncr,Faridabad,LegendSrsCinemasFaridabad,Hindi,17:00,Silver,130₹,41,0
Ncr,Delhi,PvrPacificDwarka,Hindi,17:05,Prime,270₹,29,22
Ncr,Delhi,PvrPacificDwarka,Hindi,17:05,Classic,250₹,33,10
Ncr,Delhi,MovietimePitampura,Hindi,17:40,Platinum,220₹,242,27
Ncr,Delhi,MovietimePitampura,Hindi,17:40,Premier,220₹,51,0
Maharashtra,Mumbai,MovieTimeHubGoregaonE,Hindi,20:15,Gold,180₹,63,49
Maharashtra,Mumbai,MovietimeCubicMallChembur,Hindi,20:30,Silver,180₹,84,55
