City,Name,Language,Time,Type,Price,Capacity,Booked
Champahati,EloraMultiplexChampahati,Bengali,10:45,Gold,100₹,30,2
Champahati,EloraMultiplexChampahati,Bengali,10:45,Silver,70₹,95,0
Lakshmikantapur,SreeLakshmiTalkiesLakshmikantapur,Bengali,11:00,GoldCoupleSeats,100₹,30,0
Lakshmikantapur,SreeLakshmiTalkiesLakshmikantapur,Bengali,11:00,Silver,70₹,84,0
DakshinBarasat,MahamayaTalkiesDakshinBarasat,Bengali,11:00,GoldClass,100₹,18,0
DakshinBarasat,MahamayaTalkiesDakshinBarasat,Bengali,11:00,SilverClass,70₹,20,0
Arambagh,KarunaCinemaArambagh,Bengali,12:00,LowerStall,35₹,48,0
Arambagh,KarunaCinemaArambagh,Bengali,12:00,Balcony,40₹,180,0
Kolkata,NandanKolkata,Bengali,13:00,FrontStall,30₹,83,1
Kolkata,NandanKolkata,Bengali,13:00,RearStall,50₹,338,14
Kolkata,NandanKolkata,Bengali,13:00,Balcony,70₹,276,10
Lakshmikantapur,SreeLakshmiTalkiesLakshmikantapur,Bengali,13:30,GoldCoupleSeats,100₹,30,0
Lakshmikantapur,SreeLakshmiTalkiesLakshmikantapur,Bengali,13:30,Silver,70₹,84,0
Kalyani,SangamCinemaKalyani,Bengali,13:30,Gold,90₹,154,3
Kalyani,SangamCinemaKalyani,Bengali,13:30,Platinum,130₹,72,8
Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:15,Rear,112₹,210,5
Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:15,Box,170₹,6,6
Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:15,Recliners,270₹,17,3
Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:15,Classic,190₹,76,2
Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:15,Balcony,170₹,104,0
Champahati,CinepolisLakeMallKolkata,Bengali,14:20,Normal,150₹,40,37
Champahati,CinepolisLakeMallKolkata,Bengali,14:20,Executive,150₹,168,7
Champahati,CinepolisLakeMallKolkata,Bengali,14:20,Premium,150₹,46,33
Champahati,CinepolisLakeMallKolkata,Bengali,14:20,Vip,300₹,10,0
Kolkata,NazrultirthaCinemaKolkata,Bengali,14:30,Silver,130₹,26,0
Kolkata,NazrultirthaCinemaKolkata,Bengali,14:30,Gold,150₹,65,5
Hooghly,SvfCinemasKpsMallMilonCinemaChinsurah,Bengali,14:30,Lounger,150₹,11,0
