City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Chandigarh,CinepolisBestechSquareMohali,160062,Punjabi,09:00,Normal,140₹,26,0
Chandigarh,CinepolisBestechSquareMohali,160062,Punjabi,09:00,Executive,160₹,69,1
Chandigarh,CinepolisBestechSquareMohali,160062,Punjabi,09:00,Premium,180₹,47,4
Chandigarh,CinepolisBestechSquareMohali,160062,Punjabi,09:00,Vip,300₹,10,0
Amritsar,CinepolisMallOfAmritsar,143006,Punjabi,09:00,Normal,190₹,48,0
Amritsar,CinepolisMallOfAmritsar,143006,Punjabi,09:00,Executive,200₹,75,0
Amritsar,CinepolisMallOfAmritsar,143006,Punjabi,09:00,Vip,250₹,12,0
Amritsar,CinepolisCelebrationMallAmritsar,143001,Punjabi,09:00,Normal,130₹,45,11
Amritsar,CinepolisCelebrationMallAmritsar,143001,Punjabi,09:00,Executive,130₹,49,14
Amritsar,CinepolisCelebrationMallAmritsar,143001,Punjabi,09:00,Premium,130₹,77,48
Ludhiana,PvrPavilionLudhiana,141001,Punjabi,09:00,Classic,160₹,113,0
Abohar,MirajCinemasKundanPalaceAbohar,152116,Punjabi,09:00,Special,150₹,55,0
Abohar,MirajCinemasKundanPalaceAbohar,152116,Punjabi,09:00,Executive,150₹,147,0
Abohar,MirajCinemasKundanPalaceAbohar,152116,Punjabi,09:00,Gold,240₹,5,0
Pathankot,MirajCinemasCityCentreMallPathankot,145001,Punjabi,09:00,Silver,100₹,64,0
Pathankot,MirajCinemasCityCentreMallPathankot,145001,Punjabi,09:00,Gold,200₹,12,0
Amritsar,PvrSctAmritsar,143001,Punjabi,09:00,Classic,140₹,103,0
Amritsar,PvrSctAmritsar,143001,Punjabi,09:00,Prime,140₹,60,15
Amritsar,PvrSctAmritsar,143001,Punjabi,09:00,Recliner,275₹,11,0
Bathinda,FunCinemasMittalCityMallBathinda,132103,Punjabi,09:00,Normal,150₹,39,1
Bathinda,FunCinemasMittalCityMallBathinda,132103,Punjabi,09:00,Executive,160₹,39,0
Bathinda,FunCinemasMittalCityMallBathinda,132103,Punjabi,09:00,Premium,170₹,70,11
Dhuri,MirajCinemasDhuri,148024,Punjabi,09:00,Special,160₹,39,0
Dhuri,MirajCinemasDhuri,148024,Punjabi,09:00,Executive,180₹,181,0
Jalandhar,PvrFriendsJalandhar,144001,Punjabi,09:00,Classic,155₹,33,0
Jalandhar,PvrFriendsJalandhar,144001,Punjabi,09:00,Prime,185₹,55,11
Hoshiarpur,TimeCinemasHoshiarpur,146001,Punjabi,09:00,Vip,130₹,69,0
Hoshiarpur,TimeCinemasHoshiarpur,146001,Punjabi,09:00,Gold,130₹,58,0
Hoshiarpur,TimeCinemasHoshiarpur,146001,Punjabi,09:00,Silver,130₹,52,0
Jalandhar,PvrMbdJalandhar,144001,Punjabi,09:00,Classic,155₹,95,6
Jalandhar,PvrMbdJalandhar,144001,Punjabi,09:00,ClassicPlus,185₹,165,19
Jalandhar,PvrMbdJalandhar,144001,Punjabi,09:00,Prime,270₹,10,0
Jalandhar,PvrMbdJalandhar,144001,Punjabi,09:00,Recliner,380₹,8,1
Muktsar,RajpalCinemaMuktsar,152026,Punjabi,09:00,Platinum,200₹,52,0
Hoshiarpur,TimeCinemasHoshiarpur,146001,Punjabi,09:00,Platinum,250₹,10,2
Hoshiarpur,TimeCinemasHoshiarpur,146001,Punjabi,09:00,Vip,130₹,46,2
Hoshiarpur,TimeCinemasHoshiarpur,146001,Punjabi,09:00,Gold,130₹,61,0
Hoshiarpur,TimeCinemasHoshiarpur,146001,Punjabi,09:00,Silver,130₹,33,0
Muktsar,RajpalCinemaMuktsar,152026,Punjabi,09:00,Platinum,200₹,52,0
Nawanshahr,SutlejPalacePictureNawanshahr,144514,Punjabi,09:00,Gold,180₹,36,3
Nawanshahr,SutlejPalacePictureNawanshahr,144514,Punjabi,09:00,Silver,140₹,85,0
Nawanshahr,SutlejPalacePictureNawanshahr,144514,Punjabi,09:00,Seasonal,100₹,17,0
Chandigarh,FunCinemasRepublicMallChandigarh,160101,Punjabi,09:10,Normal,100₹,120,0
Chandigarh,FunCinemasRepublicMallChandigarh,160101,Punjabi,09:10,Executive,110₹,100,0
Chandigarh,FunCinemasRepublicMallChandigarh,160101,Punjabi,09:10,Vip,200₹,11,0
Chandigarh,PvrCosmoZirakpur,140603,Punjabi,09:10,Classic,140₹,88,0
Chandigarh,PvrCosmoZirakpur,140603,Punjabi,09:10,Prime,160₹,100,20
Chandigarh,PvrCosmoZirakpur,140603,Punjabi,09:10,Recliner,250₹,11,0
Panipat,PvrFunCityPanipat,132103,Punjabi,09:10,Classic,150₹,68,1
Panipat,PvrFunCityPanipat,132103,Punjabi,09:10,Prime,170₹,69,0
Panipat,PvrFunCityPanipat,132103,Punjabi,09:10,PrimePlus,220₹,12,0
Ludhiana,CineSquareCinemasRoyaltonCityDoraha,141421,Punjabi,09:15,RoyalClass,170₹,42,0
Firozpur,SilverbirdCinemaFirozpur,152001,Punjabi,09:15,Gold,150₹,56,0
Barnala,GeCinemasBarnala,148101,Punjabi,09:15,Silver,150₹,60,0
Barnala,GeCinemasBarnala,148101,Punjabi,09:15,Gold,150₹,90,0
Barnala,GeCinemasBarnala,148101,Punjabi,09:15,Platinum,300₹,7,0
Ludhiana,PvrSilverArcLudhiana,141001,Punjabi,09:20,Classic,160₹,106,0
Ludhiana,PvrSilverArcLudhiana,141001,Punjabi,09:20,Prime,200₹,15,0
Moga,NeelamNovaCinemazMoga,142001,Punjabi,09:20,Gold,160₹,122,0
Amritsar,InoxVrAmbarsarAmritsar,143001,Punjabi,09:20,Normal,130₹,175,15
Hoshiarpur,MirajCinemasHoshiarpur,146001,Punjabi,09:30,Special,130₹,34,0
Hoshiarpur,MirajCinemasHoshiarpur,146001,Punjabi,09:30,Executive,130₹,101,11
Chandigarh,PvrCentraChandigarh,160002,Punjabi,09:30,Classic,138₹,84,0
Chandigarh,PvrCentraChandigarh,160002,Punjabi,09:30,Prime,150₹,138,18
Nabha,BalrajCinemasNabha,147201,Punjabi,09:30,Platinum,240₹,27,0
Nabha,BalrajCinemasNabha,147201,Punjabi,09:30,Gold,170₹,32,0
Nabha,BalrajCinemasNabha,147201,Punjabi,09:30,Silver,110₹,112,0
Ludhiana,WaveOneMoviesLudhiana,141001,Punjabi,09:30,Classic,140₹,132,0
Ludhiana,WaveOneMoviesLudhiana,141001,Punjabi,09:30,Premium,150₹,158,0
Ludhiana,WaveOneMoviesLudhiana,141001,Punjabi,09:30,PlatinumPkg,"1,000₹",14,0
Fatehabad,RKPalaceCinemaFatehabad,125050,Punjabi,09:30,Gold,200₹,13,0
Fatehabad,RKPalaceCinemaFatehabad,125050,Punjabi,09:30,Silver,150₹,8,0
Amritsar,MovietimeNoveltyMallLawrenceRoadAmritsar,143001,Punjabi,09:30,Silver,130₹,57,0
Amritsar,MovietimeNoveltyMallLawrenceRoadAmritsar,143001,Punjabi,09:30,Gold,130₹,78,0
Amritsar,MovietimeNoveltyMallLawrenceRoadAmritsar,143001,Punjabi,09:30,Platinum,130₹,17,0
