State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Telangana,Armoor,PvrJeevanReddyMallArmoor,Telugu,10:40,Classic,180₹,316,21
Telangana,Armoor,PvrJeevanReddyMallArmoor,Telugu,10:40,Recliner,250₹,16,5
Telangana,Sathupally,SriSaiBalajiTheatreSathupally,Telugu,11:00,Balcony,100₹,290,0
Telangana,Sathupally,SriSaiBalajiTheatreSathupally,Telugu,11:00,DressCircle,80₹,148,0
AndhraPradesh,Kodad,RangaTheatreKodad,Telugu,11:00,Balcony,110₹,177,0
AndhraPradesh,Kodad,RangaTheatreKodad,Telugu,11:00,FirstClass,80₹,390,0
AndhraPradesh,Wanaparthy,SriRama70MmACDtsWanaparthy,Telugu,11:00,FirstClass,110₹,431,0
Telangana,Huzurabad,NatrajTheatreHuzurabad,Telugu,11:00,Balcony,100₹,320,0
AndhraPradesh,Darsi,VenkateswaraPicturePalaceDarsi,Telugu,11:00,Balcony,0₹,217,185
Telangana,Bhuvanagiri,BadradriTheatreBhuvanagiri,Telugu,11:00,Balcony,110₹,413,101
Telangana,Nakrekal,SriRamaKrishnaTheaterNakrekal,Telugu,11:00,Balcony,100₹,305,0
Telangana,Hyderabad,Bhujanga70MmJeedimetla,Telugu,11:00,Balcony,110₹,530,0
Telangana,Hyderabad,Bhujanga70MmJeedimetla,Telugu,11:00,FirstClass,80₹,499,0
Telangana,Devarakonda,VenkateswaraAC2KDolbyDtsDevarakonda,Telugu,11:00,FirstClass,110₹,393,0
Telangana,Sathupally,SrinivasaPicturePalaceSathupally,Telugu,11:00,Balcony,110₹,324,150
Telangana,Sathupally,SrinivasaPicturePalaceSathupally,Telugu,11:00,DressCircle,80₹,104,0
AndhraPradesh,Zaheerabad,AsianSriMohanZaheerabad,Telugu,11:00,Balcony,110₹,577,98
AndhraPradesh,Tandur,AsianSriLaxmiMahalTandur,Telugu,11:00,Gold,110₹,424,179
AndhraPradesh,Tandur,AsianSriLaxmiMahalTandur,Telugu,11:00,Silver,80₹,75,0
Telangana,Bhupalpalle,UrvashiTheatreBhupalpalle,Telugu,11:00,Balcony,100₹,292,0
Telangana,Hyderabad,Sudarshan35Mm4KLaserDolbyAtmosRtcXRoads,Telugu,11:00,UpperBalcony,150₹,525,0
Telangana,Hyderabad,Sudarshan35Mm4KLaserDolbyAtmosRtcXRoads,Telugu,11:00,LowerBalcony,150₹,275,0
Telangana,Hyderabad,Sudarshan35Mm4KLaserDolbyAtmosRtcXRoads,Telugu,11:00,FirstClass,110₹,124,0
Telangana,Hyderabad,Sudarshan35Mm4KLaserDolbyAtmosRtcXRoads,Telugu,11:00,SecondClass,55₹,250,0
Telangana,Jadcherla,Devi70MmACJadcherla,Telugu,11:00,Balcony,100₹,344,0
AndhraPradesh,Metpally,AsianSaiKrishnaMetpally,Telugu,11:00,UpperBalcony,110₹,137,42
AndhraPradesh,Metpally,AsianSaiKrishnaMetpally,Telugu,11:00,Gold,110₹,295,0
AndhraPradesh,Metpally,AsianSaiKrishnaMetpally,Telugu,11:00,Silver,80₹,92,0
AndhraPradesh,Vemulawada,ShivaRamaKrishnaTheatreVemulawada,Telugu,11:00,Balcony,100₹,104,0
AndhraPradesh,Yerraguntla,HemaPicturePalaceYerraguntla,Telugu,11:00,Balcony,0₹,149,90
AndhraPradesh,Siddipet,AsianVenkateshwaraSiddipet,Telugu,11:00,UpperPlatinum,110₹,280,76
AndhraPradesh,Siddipet,AsianVenkateshwaraSiddipet,Telugu,11:00,LowerPaltinum,110₹,106,0
AndhraPradesh,Siddipet,AsianVenkateshwaraSiddipet,Telugu,11:00,Gold,90₹,190,31
Telangana,Mahabubabad,LaxmiKalamandir2KDolby71ACMahabubabad,Telugu,11:00,Bolcony,110₹,351,87
Telangana,Mahabubabad,LaxmiKalamandir2KDolby71ACMahabubabad,Telugu,11:00,FirstClass,80₹,87,0
,Achampet,SriSathyaLaxmiTheatreAchampet,Telugu,11:00,Box,100₹,93,0
,Achampet,SriSathyaLaxmiTheatreAchampet,Telugu,11:00,FirstClass,100₹,318,0
Telangana,Shadnagar,Parameswara70MmShadnagar,Telugu,11:00,Balcony,110₹,330,2
Telangana,Shadnagar,Parameswara70MmShadnagar,Telugu,11:00,DressCircle,80₹,224,0
Telangana,Shadnagar,Parameswara70MmShadnagar,Telugu,11:00,ThirdClass,50₹,100,0
Telangana,Hyderabad,TivoliCinemasSecunderabad,Telugu,11:00,Gold,150₹,56,28
AndhraPradesh,Vijayawada,RamgopalTheaterVijayawada,Telugu,11:00,Balcony,65₹,165,0
AndhraPradesh,Vijayawada,RamgopalTheaterVijayawada,Telugu,11:00,FirstClass,65₹,270,0
Telangana,Warangal,APlexAshokaAirConditionedHanumakonda,Telugu,11:00,Platinum,110₹,519,4
Telangana,Warangal,APlexAshokaAirConditionedHanumakonda,Telugu,11:00,Gold,80₹,70,0
Telangana,Kamareddy,AsianPriyaCineplexKamareddy,Telugu,11:15,Gold,110₹,486,70
Telangana,Hyderabad,AsianMuktaA2KonarkDilsukhnagar,Telugu,11:15,Balcony,150₹,527,135
Telangana,Hyderabad,AsianMuktaA2KonarkDilsukhnagar,Telugu,11:15,DressCircle,100₹,75,0
Telangana,Hyderabad,AsianMuktaA2KonarkDilsukhnagar,Telugu,11:15,LowerClass,50₹,178,1
Telangana,Jagtial,DurgaRajaKalamandirJagtial,Telugu,11:15,Deluxe,110₹,405,27
Telangana,Vikarabad,CinemaxVikarabad,Telugu,11:15,Gold,110₹,531,222
Telangana,Vikarabad,CinemaxVikarabad,Telugu,11:15,Silver,80₹,137,0
Telangana,Jammikunta,AnnapurnaDeluxeTheatreJammikunta,Telugu,11:15,Balcony,100₹,360,0
Telangana,Huzurnagar,SriSaiBabaTheaterHuzurnagar,Telugu,11:15,Box,110₹,130,0
Telangana,Huzurnagar,SriSaiBabaTheaterHuzurnagar,Telugu,11:15,LowerBalcony,80₹,268,0
AndhraPradesh,Miryalaguda,RaghavaTheatreMiryalaguda,Telugu,11:15,FirstClass,110₹,435,36
AndhraPradesh,Miryalaguda,RaghavaTheatreMiryalaguda,Telugu,11:15,SecondClass,50₹,155,0
Telangana,Choutuppal,AnjiReddy70MmChoutuppal,Telugu,11:15,Balcony,100₹,373,0
Telangana,Khammam,Vinoda2KDolbyAtmosKhammam,Telugu,11:15,GoldUpper,110₹,155,30
Telangana,Khammam,Vinoda2KDolbyAtmosKhammam,Telugu,11:15,GoldLower,110₹,368,0
Telangana,Khammam,Vinoda2KDolbyAtmosKhammam,Telugu,11:15,Silver,80₹,96,0
Telangana,Khammam,Vinoda2KDolbyAtmosKhammam,Telugu,11:15,FirstClass,50₹,155,0
Telangana,Sircilla,AsianNatrajDeluxeTheatreACSircilla,Telugu,11:15,Balcony,110₹,491,69
Telangana,Sircilla,AsianNatrajDeluxeTheatreACSircilla,Telugu,11:15,LowerClass,50₹,109,0
Telangana,Sadasivpet,Jyothi70MmSadasivpet,Telugu,11:15,Balcony,110₹,377,0
