State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,BalajiMovieplexKoparKhairane,Marathi,09:00,Platinum,150₹,103,0
Maharashtra,Mumbai,BalajiMovieplexKoparKhairane,Marathi,09:00,Gold,150₹,52,0
Maharashtra,Mumbai,BalajiMovieplexKoparKhairane,Marathi,09:00,Silver,150₹,26,0
Maharashtra,Mumbai,InoxMetroMallJunctionKalyanE,Marathi,09:05,Gold,240₹,46,3
Maharashtra,Nashik,InoxCinemasNashik,Marathi,09:10,Gold,150₹,29,0
Maharashtra,Nashik,InoxCinemasNashik,Marathi,09:10,Platinum,112₹,14,9
Maharashtra,Nashik,InoxCinemasNashik,Marathi,09:10,Silver,112₹,252,15
Maharashtra,Nashik,InoxCinemasNashik,Marathi,09:10,Executive,90₹,59,0
Maharashtra,Yeola,LaxmiCineplexYeola,Marathi,09:20,Platinum,200₹,23,0
Maharashtra,Yeola,LaxmiCineplexYeola,Marathi,09:20,Gold,150₹,57,0
Maharashtra,Yeola,LaxmiCineplexYeola,Marathi,09:20,Silver,100₹,70,0
Maharashtra,Aurangabad,InoxTapadiaAurangabad,Marathi,09:20,Premiere,100₹,37,0
Maharashtra,Aurangabad,InoxTapadiaAurangabad,Marathi,09:20,Silver,100₹,182,46
Maharashtra,Sangli,MuktaA2CinemasSfcMegaMallSangli,Marathi,10:00,Premium,150₹,18,9
Maharashtra,Sangli,MuktaA2CinemasSfcMegaMallSangli,Marathi,10:00,Gold,110₹,124,20
Maharashtra,Sangli,MuktaA2CinemasSfcMegaMallSangli,Marathi,10:00,Silver,110₹,60,0
Maharashtra,Aurangabad,MuktaA2CinemasNupurAurangabad,Marathi,11:00,Gold,110₹,192,24
Maharashtra,Aurangabad,MuktaA2CinemasNupurAurangabad,Marathi,11:00,Silver,110₹,134,0
Maharashtra,Mumbai,MirajVCinemasDombivali,Marathi,11:00,Silver,90₹,26,26
Maharashtra,Mumbai,MirajVCinemasDombivali,Marathi,11:00,Gold,110₹,108,108
Maharashtra,Pune,CityPrideSataraRoad,Marathi,11:10,RoyalGold,140₹,81,12
Maharashtra,Pune,CityPrideSataraRoad,Marathi,11:10,RoyalSilver,110₹,9,0
Maharashtra,Pune,PvrIconThePavillionPune,Marathi,11:15,Classic,130₹,28,28
Maharashtra,Pune,PvrIconThePavillionPune,Marathi,11:15,Prime,160₹,148,148
Maharashtra,Pune,PvrIconThePavillionPune,Marathi,11:15,Recliner,460₹,8,8
Maharashtra,Sawantwadi,AryaNovaCinemazSawantwadi,Marathi,11:25,Vip,200₹,11,0
Maharashtra,Sawantwadi,AryaNovaCinemazSawantwadi,Marathi,11:25,Gold,170₹,72,0
Maharashtra,Sawantwadi,AryaNovaCinemazSawantwadi,Marathi,11:25,Silver,150₹,60,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:35,RoyaleRecliners,200₹,14,3
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:35,Club,140₹,33,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:35,Royale,140₹,45,5
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Marathi,11:35,Executive,112₹,22,2
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,11:50,Royale,190₹,5,2
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,11:50,Club,112₹,119,11
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,11:50,Executive,112₹,21,0
Maharashtra,Jalna,RajmandirCinemaJalna,Marathi,12:00,Diamond,70₹,96,0
Maharashtra,Jalna,RajmandirCinemaJalna,Marathi,12:00,Gold,50₹,152,0
Maharashtra,Pandharpur,SnCinemaKarkamb,Marathi,12:00,Platinum,150₹,52,0
Maharashtra,Pandharpur,SnCinemaKarkamb,Marathi,12:00,Gold,130₹,42,0
Maharashtra,Pandharpur,SnCinemaKarkamb,Marathi,12:00,Silver,100₹,56,1
Maharashtra,Mumbai,PvrIconOberoiMallGoregaonE,Marathi,12:00,Classic,100₹,45,45
Maharashtra,Mumbai,PvrIconOberoiMallGoregaonE,Marathi,12:00,Prime,120₹,147,147
