City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
BerhampurOdisha,NewPayalCinema71DolbySound2KCentralAc,760001,Oriya,09:30,Balcony1,100₹,35,0
BerhampurOdisha,NewPayalCinema71DolbySound2KCentralAc,760001,Oriya,09:30,Delux,120₹,105,0
BerhampurOdisha,NewPayalCinema71DolbySound2KCentralAc,760001,Oriya,09:30,Balcony2,100₹,44,0
BerhampurOdisha,NewPayalCinema71DolbySound2KCentralAc,760001,Oriya,09:30,FirstClass,70₹,101,0
Paralakhemundi,JayaMahalParalakhemundi,761200,Oriya,10:15,RoyalCircle,80₹,224,0
Rayagada,SriRamaTalkiesRayagada,765001,Oriya,10:30,Balcony,130₹,92,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Oriya,10:30,Normal,140₹,24,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Oriya,10:30,Executive,150₹,51,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Oriya,10:30,Premium,160₹,45,6
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Oriya,10:30,Vip,400₹,11,0
Bhawanipatna,BhagirathiMultiplexBhawanipatna,766002,Oriya,11:00,Platinum,150₹,36,0
Bhawanipatna,BhagirathiMultiplexBhawanipatna,766002,Oriya,11:00,Gold,100₹,16,0
Kesinga,ChiranjibiTalkiesKesinga,766012,Oriya,11:00,RearClass,120₹,24,0
Kesinga,ChiranjibiTalkiesKesinga,766012,Oriya,11:00,FrontClass,100₹,23,0
Balangir,RoyalCinemasBalangir,767001,Oriya,11:00,Balcony,100₹,174,0
Bhawanipatna,NewStarCineplexBhawanipatna,766002,Oriya,11:00,Platinum,300₹,6,0
Bhawanipatna,NewStarCineplexBhawanipatna,766002,Oriya,11:00,Gold,180₹,88,0
Bhawanipatna,NewStarCineplexBhawanipatna,766002,Oriya,11:00,Silver,100₹,66,0
Kesinga,NewGalaxyTheaterKesinga,766012,Oriya,11:00,AClass,150₹,48,0
Kesinga,NewGalaxyTheaterKesinga,766012,Oriya,11:00,BClass,120₹,72,0
Kesinga,NewGalaxyTheaterKesinga,766012,Oriya,11:00,CClass,80₹,36,0
Phulbani,ShradhanjaliTalkiesPhulbani,762001,Oriya,11:15,SpecialClass,90₹,91,0
Phulbani,ShradhanjaliTalkiesPhulbani,762001,Oriya,11:15,FirstClass,70₹,108,0
Muniguda,PadmalayaTheatreMuniguda,765020,Oriya,11:15,Sofa,240₹,10,0
Muniguda,PadmalayaTheatreMuniguda,765020,Oriya,11:15,Vip,100₹,108,0
Muniguda,PadmalayaTheatreMuniguda,765020,Oriya,11:15,Balcony,90₹,171,0
Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,751022,Oriya,11:20,Slider,150₹,97,0
Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,751022,Oriya,11:20,SuperDelux,110₹,203,17
Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,751022,Oriya,11:20,Recliner,250₹,60,0
Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,751022,Oriya,11:20,Delux,80₹,252,0
Jeypore,KorosudhaKalamandirTheatreJeypore,764001,Oriya,11:30,Platinum,120₹,44,5
Jeypore,KorosudhaKalamandirTheatreJeypore,764001,Oriya,11:30,Gold,120₹,59,0
Jeypore,KorosudhaKalamandirTheatreJeypore,764001,Oriya,11:30,Silver,100₹,29,0
Angul,DivyajyotiMoviePlexAngul,759106,Oriya,11:30,DressCircle,200₹,37,0
Angul,CineplexxAngul,759145,Oriya,11:30,Diamond,250₹,44,0
Angul,CineplexxAngul,759145,Oriya,11:30,Gold,200₹,36,0
Angul,CineplexxAngul,759145,Oriya,11:30,Silver,150₹,12,0
Balasore,MovieExCinemaBalasore,756003,Oriya,11:30,Executive,250₹,13,0
Balasore,MovieExCinemaBalasore,756003,Oriya,11:30,Prime,160₹,109,0
Balasore,MovieExCinemaBalasore,756003,Oriya,11:30,Standard,120₹,45,0
Baripada,RoxyCinemaBaripadaAC2KDolbyDigital712,757001,Oriya,11:45,DressCircle,120₹,81,0
Baripada,RoxyCinemaBaripadaAC2KDolbyDigital712,757001,Oriya,11:45,Balcony,100₹,114,2
Baripada,RoxyCinemaBaripadaAC2KDolbyDigital712,757001,Oriya,11:45,RearClass,70₹,284,0
Angul,AshaTalkiesAngul,759128,Oriya,11:45,Balcony,100₹,66,0
