State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Telangana,Hyderabad,PvrForumSujanaMallKukatpallyHyderabad,Telugu,10:05,Classic,295₹,232,3
Telangana,Hyderabad,PvrForumSujanaMallKukatpallyHyderabad,Telugu,10:05,Recliner,350₹,12,0
Telangana,Hyderabad,JpCinemasChandanagar,Telugu,10:15,Gl,295₹,94,0
Telangana,Armoor,PvrJeevanReddyMallArmoor,Telugu,10:15,Classic,200₹,100,100
Telangana,Armoor,PvrJeevanReddyMallArmoor,Telugu,10:15,Recliner,350₹,11,11
Telangana,Hyderabad,PvrAtriumGachibowliHyderabad,Telugu,10:15,Classic,295₹,113,113
Telangana,Hyderabad,PvrAtriumGachibowliHyderabad,Telugu,10:15,Recliner,350₹,12,12
Telangana,Aushapur,AmbCinemasGachibowli,Telugu,10:20,Platinum,350₹,52,30
AndhraPradesh,Narasannapeta,SriLakshmiTalkiesAcDtsNarasannapeta,Telugu,10:30,Premium,100₹,389,259
AndhraPradesh,Narasannapeta,SriLakshmiTalkiesAcDtsNarasannapeta,Telugu,10:30,NonPremium,140₹,117,107
Telangana,Hyderabad,MovietimeCinemasAmeerpetHyderabad,Telugu,10:30,SilverClass,295₹,357,0
Orissa,BerhampurOdisha,PsrCinemasBerhampur,Telugu,10:30,Recliner,250₹,12,0
Orissa,BerhampurOdisha,PsrCinemasBerhampur,Telugu,10:30,SofaSlider,180₹,16,2
Orissa,BerhampurOdisha,PsrCinemasBerhampur,Telugu,10:30,Diamond,150₹,144,0
Orissa,BerhampurOdisha,PsrCinemasBerhampur,Telugu,10:30,Gold,100₹,72,0
AndhraPradesh,Bobbili,SaiGanapathiACDtsBobbili,Telugu,10:45,FirstClass,112₹,494,5
AndhraPradesh,Bobbili,SaiGanapathiACDtsBobbili,Telugu,10:45,SecondClass,80₹,125,6
AndhraPradesh,Sabbavaram,SukanyaComplexVizag,Telugu,10:45,Balcony1,145₹,68,44
AndhraPradesh,Sabbavaram,SukanyaComplexVizag,Telugu,10:45,Balcony2,145₹,277,45
AndhraPradesh,Sabbavaram,SukanyaComplexVizag,Telugu,10:45,FirstClass,100₹,161,19
AndhraPradesh,Parvathipuram,SowndaryaDeluxe2KACParvathipuram,Telugu,10:45,Premium,110₹,438,40
AndhraPradesh,VizagVisakhapatnam,ShriLakshmiNarasimhaTheatreKothavalasaVizag,Telugu,10:45,Premium,100₹,399,191
AndhraPradesh,VizagVisakhapatnam,ShriLakshmiNarasimhaTheatreKothavalasaVizag,Telugu,10:45,NonPremium,100₹,131,111
Telangana,Aushapur,InoxGsmMallHyderabad,Telugu,10:50,Royal,350₹,11,6
Telangana,Aushapur,InoxGsmMallHyderabad,Telugu,10:50,Executive,295₹,141,6
Karnataka,Nelamangala,PvrPhoenixMarketcityMallWhitefieldRoad,Telugu,11:00,Classic,112₹,72,9
Karnataka,Nelamangala,PvrPhoenixMarketcityMallWhitefieldRoad,Telugu,11:00,Recliner,230₹,7,4
