State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ncr,Delhi,PvrVegasDwarka,Bengali,12:50,Prime,₹480,52,17
Ncr,Delhi,PvrVegasDwarka,Bengali,12:50,Classic,₹440,112,1
WestBengal,Kolkata,PrachiCinemaKolkata,Bengali,13:00,Gold,₹250,14,0
WestBengal,Kolkata,PrachiCinemaKolkata,Bengali,13:00,FrontStall,₹110,107,4
WestBengal,Kolkata,PrachiCinemaKolkata,Bengali,13:00,Balcony,₹140,90,2
WestBengal,Kolkata,EloraMultiplexChampahati,Bengali,13:15,Gold,₹150,60,8
WestBengal,Kolkata,EloraMultiplexChampahati,Bengali,13:15,Silver,₹100,152,0
WestBengal,Ranaghat,SurendraCinemaRanaghat,Bengali,13:30,Balocny,₹60,315,0
WestBengal,Jalpaiguri,CinebazzJalpaiguri,Bengali,13:30,Premium,₹110,55,0
WestBengal,Jalpaiguri,CinebazzJalpaiguri,Bengali,13:30,Regular,₹110,11,0
WestBengal,Kolkata,LaliCinemaBarasat,Bengali,14:00,DressCircle,₹110,22,0
WestBengal,Kolkata,LaliCinemaBarasat,Bengali,14:00,UpperCircle,₹80,135,0
WestBengal,Kolkata,LaliCinemaBarasat,Bengali,14:00,DeluxeAc,₹175,24,0
WestBengal,Kolkata,LaliCinemaBarasat,Bengali,14:00,DiamondAc,₹150,76,0
WestBengal,Kolkata,LaliCinemaBarasat,Bengali,14:00,RearStall,₹60,162,0
WestBengal,Hooghly,GoodwinCineplexSerampore,Bengali,14:35,Recliner,₹300,6,0
WestBengal,Hooghly,GoodwinCineplexSerampore,Bengali,14:35,Prime,₹150,24,2
WestBengal,Hooghly,GoodwinCineplexSerampore,Bengali,14:35,Club,₹110,206,7
WestBengal,Kolkata,CinepolisLakeMallKolkata,Bengali,14:45,Normal,₹220,40,0
WestBengal,Kolkata,CinepolisLakeMallKolkata,Bengali,14:45,Executive,₹240,168,24
WestBengal,Kolkata,CinepolisLakeMallKolkata,Bengali,14:45,Premium,₹260,46,32
WestBengal,Kolkata,CinepolisLakeMallKolkata,Bengali,14:45,Vip,₹500,10,4
WestBengal,Kolkata,SonaliCinemaDunlop,Bengali,14:45,RearStall,₹60,936,0
WestBengal,Kolkata,SonaliCinemaDunlop,Bengali,14:45,DressCircale,₹100,236,1
WestBengal,Kolkata,SonaliCinemaDunlop,Bengali,14:45,ExecutiveAc,₹150,40,5
Ncr,Noida,PvrSuperplexLogixNoida,Bengali,15:00,Classic,₹150,87,36
Maharashtra,Pune,InoxMegaplexPhoenixMallOfTheMillennium,Bengali,15:00,Prime,₹280,110,20
Maharashtra,Pune,InoxMegaplexPhoenixMallOfTheMillennium,Bengali,15:00,Classic,₹250,22,0
WestBengal,Kolkata,StarTheatreKolkata,Bengali,15:30,FrontStall,₹115,84,3
WestBengal,Kolkata,StarTheatreKolkata,Bengali,15:30,RearStall,₹130,234,24
WestBengal,Kolkata,StarTheatreKolkata,Bengali,15:30,Balcony,₹125,192,38
Karnataka,Bengaluru,PvrVegaCityBannerghattaRoad,Bengali,15:45,Prime,₹280,64,19
Karnataka,Bengaluru,PvrVegaCityBannerghattaRoad,Bengali,15:45,Classic,₹260,88,29
WestBengal,Hooghly,SvfCinemasKpsMallRupbaniDhaniakhali,Bengali,16:00,Gold,₹99,44,0
WestBengal,Hooghly,SvfCinemasKpsMallRupbaniDhaniakhali,Bengali,16:00,Platinum,₹99,144,2
WestBengal,Kalna,SvfCinemasKalna,Bengali,16:00,Gold,₹99,9,0
WestBengal,Kalna,SvfCinemasKalna,Bengali,16:00,Platinum,₹99,72,0
WestBengal,CoochBehar,JayaCinemasCityMallCoochBehar,Bengali,16:10,Royal,₹150,11,2
WestBengal,CoochBehar,JayaCinemasCityMallCoochBehar,Bengali,16:10,Club,₹100,81,3
WestBengal,CoochBehar,JayaCinemasCityMallCoochBehar,Bengali,16:10,Executive,₹70,32,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Bengali,16:15,Normal,₹240,46,17
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Bengali,16:15,Executive,₹260,70,19
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Bengali,16:15,Premium,₹280,57,41
