City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Karnal,MovietimeKarnal,132001,Punjabi,09:15,Gold,200₹,98,0
Karnal,MovietimeKarnal,132001,Punjabi,09:15,Silver,200₹,44,2
Karnal,MovietimeKarnal,132001,Punjabi,09:15,Normal,200₹,42,0
Dinanagar,OneCinemasDinanagar,143531,Punjabi,10:00,Gold,100₹,204,0
Dinanagar,OneCinemasDinanagar,143531,Punjabi,10:00,Silver,100₹,204,0
Dinanagar,OneCinemasDinanagar,143531,Punjabi,13:00,Gold,100₹,204,0
Dinanagar,OneCinemasDinanagar,143531,Punjabi,13:00,Silver,100₹,204,0
Karnal,MovietimeKarnal,132001,Punjabi,14:45,Gold,250₹,98,3
Karnal,MovietimeKarnal,132001,Punjabi,14:45,Silver,250₹,44,0
Karnal,MovietimeKarnal,132001,Punjabi,14:45,Normal,250₹,42,0
Dinanagar,OneCinemasDinanagar,143531,Punjabi,16:00,Gold,100₹,204,0
Dinanagar,OneCinemasDinanagar,143531,Punjabi,16:00,Silver,100₹,204,0
Karnal,MovietimeKarnal,132001,Punjabi,17:15,Gold,250₹,98,3
Karnal,MovietimeKarnal,132001,Punjabi,17:15,Silver,250₹,44,0
Karnal,MovietimeKarnal,132001,Punjabi,17:15,Normal,250₹,42,0
Dinanagar,OneCinemasDinanagar,143531,Punjabi,19:00,Gold,100₹,197,0
Dinanagar,OneCinemasDinanagar,143531,Punjabi,19:00,Silver,100₹,197,0
Karnal,MovietimeKarnal,132001,Punjabi,22:45,Gold,250₹,58,0
Karnal,MovietimeKarnal,132001,Punjabi,22:45,Silver,250₹,28,0
Karnal,MovietimeKarnal,132001,Punjabi,22:45,Normal,250₹,28,0
Karnal,MovietimeKarnal,132001,Punjabi,22:45,Business,350₹,8,0
