State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Orissa,Bhadrak,MadhabCinemaHallBhadrak,Odia,10:00,Box,150₹,30,2
Orissa,Bhadrak,MadhabCinemaHallBhadrak,Odia,10:00,Balcony,90₹,184,0
Orissa,Bhubaneswar,CinepolisEsplanadeBhubaneswar,Odia,10:45,Normal,110₹,24,0
Orissa,Bhubaneswar,CinepolisEsplanadeBhubaneswar,Odia,10:45,Executive,110₹,51,0
Orissa,Bhubaneswar,CinepolisEsplanadeBhubaneswar,Odia,10:45,Premium,110₹,45,17
Orissa,Bhubaneswar,CinepolisEsplanadeBhubaneswar,Odia,10:45,Vip,350₹,11,2
Orissa,Kesinga,ChiranjibiTalkiesKesinga,Odia,11:00,RearClass,120₹,53,0
Orissa,Kesinga,ChiranjibiTalkiesKesinga,Odia,11:00,FrontClass,100₹,48,0
Orissa,Bhawanipatna,NewStarCineplexBhawanipatna,Odia,11:00,Platinum,185₹,13,0
,Titlagarh,ChhotuMaharajCineCafeTitlagarh,Odia,11:00,Classique,150₹,76,0
,Titlagarh,ChhotuMaharajCineCafeTitlagarh,Odia,11:00,Premium,120₹,24,0
Orissa,Bhawanipatna,BhagirathiMultiplexBhawanipatna,Odia,11:10,Recliner,275₹,8,0
Orissa,Bhawanipatna,BhagirathiMultiplexBhawanipatna,Odia,11:10,Platinum,165₹,91,0
Orissa,Bhawanipatna,BhagirathiMultiplexBhawanipatna,Odia,11:10,Gold,94₹,52,0
Orissa,Phulbani,ShradhanjaliTalkiesPhulbani,Odia,11:15,SpecialClass,80₹,184,0
Orissa,Phulbani,ShradhanjaliTalkiesPhulbani,Odia,11:15,FirstClass,60₹,219,0
Orissa,Muniguda,PadmalayaTheatreMuniguda,Odia,11:30,Sofa,180₹,10,0
Orissa,Muniguda,PadmalayaTheatreMuniguda,Odia,11:30,Vip,70₹,108,0
Orissa,Muniguda,PadmalayaTheatreMuniguda,Odia,11:30,Balcony,55₹,171,0
Orissa,Rayagada,VKCentralMultiplexRayagada,Odia,11:30,PremiumSofas,150₹,25,0
Orissa,Rayagada,VKCentralMultiplexRayagada,Odia,11:30,Platinum,100₹,84,0
Orissa,Baripada,RoxyCinemaBaripadaAC2KDolbyDigital712,Odia,11:45,DressCircle,110₹,92,0
Orissa,Baripada,RoxyCinemaBaripadaAC2KDolbyDigital712,Odia,11:45,Balcony,95₹,122,0
Orissa,Baripada,RoxyCinemaBaripadaAC2KDolbyDigital712,Odia,11:45,RearClass,65₹,332,0
Orissa,Kotpad,NaveenTalkiesKotpad,Odia,11:45,Royal,75₹,16,0
Orissa,Kotpad,NaveenTalkiesKotpad,Odia,11:45,Gold,75₹,224,0
Orissa,Jeypore,CelebrationCineplexJeypore,Odia,11:55,Platinum,140₹,19,0
Orissa,Jeypore,CelebrationCineplexJeypore,Odia,11:55,Gold,95₹,105,0
Orissa,Jeypore,CelebrationCineplexJeypore,Odia,11:55,Silver,95₹,45,0
Orissa,Jeypore,SrNovoCinemaJeypore,Odia,11:55,Luxury,200₹,43,0
Orissa,Jeypore,SrNovoCinemaJeypore,Odia,11:55,Platinum,150₹,105,0
Orissa,Jeypore,SrNovoCinemaJeypore,Odia,11:55,Gold,100₹,50,0
Orissa,BerhampurOdisha,NewPayalCinema71DolbySound2KCentralAc,Odia,12:00,Balcony1,90₹,35,0
Orissa,BerhampurOdisha,NewPayalCinema71DolbySound2KCentralAc,Odia,12:00,Delux,90₹,180,4
Orissa,BerhampurOdisha,NewPayalCinema71DolbySound2KCentralAc,Odia,12:00,Balcony2,90₹,110,2
Orissa,BerhampurOdisha,NewPayalCinema71DolbySound2KCentralAc,Odia,12:00,FirstClass,60₹,244,0
Orissa,Bhubaneswar,InoxDnRegaliaMall,Odia,12:00,Club,138₹,180,4
Orissa,Bhubaneswar,InoxDnRegaliaMall,Odia,12:00,Executive,138₹,19,0
Orissa,Bhubaneswar,InoxDnRegaliaMall,Odia,12:00,Royal,138₹,142,28
Orissa,Keonjhar,KnoxCinemaKeonjhar,Odia,12:00,Elite,70₹,85,0
Orissa,Keonjhar,KnoxCinemaKeonjhar,Odia,12:00,Superior,70₹,108,0
Orissa,Keonjhar,KnoxCinemaKeonjhar,Odia,12:00,Standard,70₹,36,0
Orissa,Banki,DurgaTalkiesBanki,Odia,12:00,Galaxy,80₹,105,0
Orissa,Cuttack,InoxCuttackSgblSquareMall,Odia,12:00,RoyalRecliner,193₹,16,8
Orissa,Cuttack,InoxCuttackSgblSquareMall,Odia,12:00,Club,106₹,88,0
Orissa,Cuttack,InoxCuttackSgblSquareMall,Odia,12:00,Executive,106₹,28,0
Orissa,Cuttack,InoxCuttackSgblSquareMall,Odia,12:00,Royal,106₹,72,10
Orissa,Bhubaneswar,InoxBmcBhawaniMall,Odia,12:00,Club,138₹,254,0
Orissa,Bhubaneswar,InoxBmcBhawaniMall,Odia,12:00,Executive,138₹,81,0
Orissa,Bhubaneswar,InoxBmcBhawaniMall,Odia,12:00,Royale,138₹,102,27
Orissa,Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,Odia,12:00,Slider,95₹,180,3
Orissa,Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,Odia,12:00,SuperDelux,105₹,203,26
Orissa,Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,Odia,12:00,Recliner,185₹,60,14
Orissa,Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,Odia,12:00,MotorizedSlider,120₹,97,9
Orissa,Bhubaneswar,InoxSymphonyMall,Odia,12:00,Club,106₹,72,0
Orissa,Bhubaneswar,InoxSymphonyMall,Odia,12:00,Executive,106₹,24,0
Orissa,Bhubaneswar,InoxSymphonyMall,Odia,12:00,Royal,106₹,127,13
Orissa,Bhubaneswar,CinepolisEsplanadeBhubaneswar,Odia,12:10,Normal,130₹,26,0
Orissa,Bhubaneswar,CinepolisEsplanadeBhubaneswar,Odia,12:10,Executive,130₹,71,3
Orissa,Bhubaneswar,CinepolisEsplanadeBhubaneswar,Odia,12:10,Premium,130₹,48,10
Orissa,Bhubaneswar,CinepolisEsplanadeBhubaneswar,Odia,12:10,Vip,400₹,10,0
Orissa,Bargarh,DeepaliCinemaxBargarh,Odia,12:15,Arena,150₹,106,0
Orissa,Bargarh,DeepaliCinemaxBargarh,Odia,12:15,Classic,100₹,34,0
