State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,12:45,Gold,₹100,42,0
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,12:45,RedCarpet,₹100,98,51
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,12:45,Royal,₹200,8,2
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,15:30,Gold,₹100,42,29
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,15:30,RedCarpet,₹100,98,98
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,15:30,Royal,₹200,8,8
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,18:30,Gold,₹100,42,41
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,18:30,RedCarpet,₹100,98,95
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,18:30,Royal,₹200,8,8
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,21:15,Gold,₹100,42,42
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,21:15,RedCarpet,₹100,98,98
MadhyaPradesh,Satna,ImusicaEntertainmentsSatna,Sindhi,21:15,Royal,₹200,8,8
