State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,Kaithal,CineSquareCinemasKaithal,Haryanavi,10:00,Royale,150₹,30,0
Haryana,Bhiwani,SpitiCinemaBhiwani,Haryanavi,10:00,Silver,150₹,48,4
Haryana,Bhiwani,SpitiCinemaBhiwani,Haryanavi,10:00,Gold,180₹,173,41
Haryana,Bhiwani,SpitiCinemaBhiwani,Haryanavi,10:00,Platinum,300₹,12,6
UttarPradesh,NationalCapitalRegionNcr,MsxSilvercityHaldiramCitymallSec12Faridabad,Haryanavi,10:00,Platinum,100₹,185,0
Haryana,Safidon,RSCinemaSafidon,Haryanavi,10:00,Gold,150₹,98,0
Haryana,Kurukshetra,CarnivalKessalMall,Haryanavi,10:20,Silver,100₹,32,0
Haryana,Kurukshetra,CarnivalKessalMall,Haryanavi,10:20,Gold,100₹,39,0
Haryana,Kurukshetra,CarnivalKessalMall,Haryanavi,10:20,Platinum,100₹,91,30
Punjab,Ludhiana,CineSquareCinemasRoyaltonCityDoraha,Haryanavi,10:30,RoyalClass,150₹,42,0
UttarPradesh,NationalCapitalRegionNcr,FunCinemasPmCinemasParsvnathMallManhattan,Haryanavi,10:30,Royal,100₹,55,0
UttarPradesh,NationalCapitalRegionNcr,FunCinemasPmCinemasParsvnathMallManhattan,Haryanavi,10:30,Silver,100₹,66,0
UttarPradesh,NationalCapitalRegionNcr,FunCinemasPmCinemasParsvnathMallManhattan,Haryanavi,10:30,Premier,80₹,56,0
Haryana,Yamunanagar,DimpleCineplexYamunaNagar,Haryanavi,10:40,Gold,170₹,15,2
Haryana,Yamunanagar,DimpleCineplexYamunaNagar,Haryanavi,10:40,Silver,170₹,9,0
Haryana,Sardulgarh,GoldenCinemasSardulgarh,Haryanavi,11:00,PlatinumClass,350₹,84,0
Haryana,Sardulgarh,GoldenCinemasSardulgarh,Haryanavi,11:00,RoyalClass,300₹,84,0
Haryana,Sardulgarh,GoldenCinemasSardulgarh,Haryanavi,11:00,Gold,220₹,84,0
Haryana,Sardulgarh,GoldenCinemasSardulgarh,Haryanavi,11:00,Silver,200₹,84,0
Haryana,Sardulgarh,GoldenCinemasSardulgarh,Haryanavi,11:00,NormalClass,170₹,84,0
Haryana,Sardulgarh,GoldenCinemasSardulgarh,Haryanavi,11:00,SilverOffer,100₹,84,0
Haryana,Narnaul,GoldCinemaNarnaul,Haryanavi,11:00,Box,250₹,14,6
Haryana,Narnaul,GoldCinemaNarnaul,Haryanavi,11:00,Gold,150₹,122,5
Rajasthan,Pilani,LaxmiMiniplexPilani,Haryanavi,12:00,GoldClass,150₹,50,0
,Jind,RsCinemaJindHaryana,Haryanavi,12:30,Gold,150₹,10,0
Haryana,Kurukshetra,DivineCineplexKurukshetra,Haryanavi,13:05,Silver,100₹,55,0
Haryana,Kurukshetra,DivineCineplexKurukshetra,Haryanavi,13:05,Gold,100₹,111,0
Haryana,Kurukshetra,DivineCineplexKurukshetra,Haryanavi,13:05,Diamond,150₹,63,0
Haryana,Kurukshetra,DivineCineplexKurukshetra,Haryanavi,13:05,Recliner,400₹,15,0
Haryana,Kurukshetra,CarnivalKessalMall,Haryanavi,13:15,Silver,100₹,32,2
Haryana,Kurukshetra,CarnivalKessalMall,Haryanavi,13:15,Gold,100₹,39,0
Haryana,Kurukshetra,CarnivalKessalMall,Haryanavi,13:15,Platinum,100₹,91,37
Haryana,Bahadurgarh,MovietimeBahadurgarh,Haryanavi,13:50,Silver,99₹,119,0
Haryana,Bahadurgarh,MovietimeBahadurgarh,Haryanavi,13:50,Gold,99₹,39,6
Haryana,Bahadurgarh,MovietimeBahadurgarh,Haryanavi,13:50,Platinum,150₹,12,6
UttarPradesh,Muzaffarnagar,CarnivalAsjGrandPlaza,Haryanavi,14:00,Prime,280₹,16,10
UttarPradesh,Muzaffarnagar,CarnivalAsjGrandPlaza,Haryanavi,14:00,Club,180₹,134,27
UttarPradesh,Muzaffarnagar,CarnivalAsjGrandPlaza,Haryanavi,14:00,Premium,150₹,96,0
Rajasthan,Pilani,LaxmiMiniplexPilani,Haryanavi,15:00,GoldClass,150₹,50,0
Haryana,Sardulgarh,GoldenCinemasSardulgarh,Haryanavi,15:00,PlatinumClass,350₹,122,0
Haryana,Sardulgarh,GoldenCinemasSardulgarh,Haryanavi,15:00,RoyalClass,300₹,122,0
Haryana,Sardulgarh,GoldenCinemasSardulgarh,Haryanavi,15:00,Gold,220₹,122,0
