City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
NationalCapitalRegionNcr,PvrLogixNoida,201301,English,09:10,Classic,340₹,106,10
Pune,InoxBundGardenRoad,411001,English,09:30,Royale,400₹,34,29
NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,110018,English,10:00,Classic,315₹,52,0
NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,110018,English,10:00,Prime,335₹,88,32
Kolkata,PvrManiSquareMallKolkata,700054,English,10:00,Classic,180₹,45,0
Kolkata,PvrManiSquareMallKolkata,700054,English,10:00,Prime,220₹,97,57
Kolkata,PvrManiSquareMallKolkata,700054,English,10:00,Recliner,490₹,21,8
Indore,PvrTreasureIslandMallIndore,452001,Hindi,10:00,Classic,170₹,26,0
Indore,PvrTreasureIslandMallIndore,452001,Hindi,10:00,Prime,190₹,46,38
Indore,PvrTreasureIslandMallIndore,452001,Hindi,10:00,Recliner,300₹,8,4
NationalCapitalRegionNcr,CinepolisSmartBharatMallFormerlySpiceMall,201301,English,10:00,Premium,200₹,123,24
NationalCapitalRegionNcr,CinepolisSmartBharatMallFormerlySpiceMall,201301,English,10:00,Classic,200₹,75,0
Bengaluru,PvrTheForumMallKoramangala,560095,English,10:10,3DClassic,250₹,103,102
Pune,PvrPhoenixMarketCityGoldPune,411014,English,10:15,GoldClassic,350₹,24,23
Pune,PvrPhoenixMarketCityGoldPune,411014,English,10:15,GoldPrime,400₹,22,22
Lucknow,CinepolisOneAwadhCentreLucknow,226010,English,11:00,Normal,150₹,25,0
Lucknow,CinepolisOneAwadhCentreLucknow,226010,English,11:00,Executive,170₹,68,5
Lucknow,CinepolisOneAwadhCentreLucknow,226010,English,11:00,Premium,190₹,48,19
Lucknow,CinepolisOneAwadhCentreLucknow,226010,English,11:00,Vip,450₹,16,11
Chandigarh,PvrElanteChandigarh,160002,English,11:15,Classic,180₹,160,55
Chandigarh,PvrElanteChandigarh,160002,English,11:15,Recliner,450₹,26,2
NationalCapitalRegionNcr,PvrSelectCityWalkGoldDelhi,110017,English,12:20,Platinum,700₹,24,12
NationalCapitalRegionNcr,PvrSelectCityWalkGoldDelhi,110017,English,12:20,DboxPlatinum,"1,100₹",10,9
NationalCapitalRegionNcr,PvrGaurCityGreaterNoida,201301,English,12:25,Classic,255₹,172,6
NationalCapitalRegionNcr,PvrGaurCityGreaterNoida,201301,English,12:25,Prime,280₹,50,30
Surat,InoxVrMallSurat,395007,Hindi,12:35,RoyalRecliner,410₹,18,12
Surat,InoxVrMallSurat,395007,Hindi,12:35,Royal,230₹,60,14
Surat,InoxVrMallSurat,395007,Hindi,12:35,Club,210₹,102,2
Surat,InoxVrMallSurat,395007,Hindi,12:35,Executive,190₹,34,0
Aizawl,RemphamLyCinemaAizawl,796014,English,12:35,Bronze,250₹,8,0
Aizawl,RemphamLyCinemaAizawl,796014,English,12:35,Silver,350₹,16,3
Aizawl,RemphamLyCinemaAizawl,796014,English,12:35,Gold,450₹,16,4
Aizawl,RemphamLyCinemaAizawl,796014,English,12:35,Couple,550₹,8,0
Aizawl,RemphamLyCinemaAizawl,796014,English,12:35,Recliner,650₹,4,2
Indore,InoxC21Mall,452010,English,12:40,Normal,220₹,203,13
Pune,PvrPhoenixMarketCityGoldPune,411014,English,13:45,GoldClassic,400₹,24,10
Pune,PvrPhoenixMarketCityGoldPune,411014,English,13:45,GoldPrime,450₹,22,16
NationalCapitalRegionNcr,PvrPromenadeVasantKunj,110070,English,14:00,Classic,460₹,84,15
NationalCapitalRegionNcr,PvrPromenadeVasantKunj,110070,English,14:00,Prime,490₹,21,19
NationalCapitalRegionNcr,PvrLogixNoida,201301,English,14:50,Classic,390₹,106,51
Lucknow,InoxMegaplexPhoenixPalassioMall,226010,English,15:10,Royale,290₹,30,19
Lucknow,InoxMegaplexPhoenixPalassioMall,226010,English,15:10,Club,270₹,32,4
Lucknow,InoxMegaplexPhoenixPalassioMall,226010,English,15:10,Executive,250₹,14,0
Ahmedabad,TimeCinemaCgRoadAhmedabad,380006,English,15:15,Recliner,"1,050₹",8,0
NationalCapitalRegionNcr,PvrVegasDwarka,110078,Hindi,16:00,Classic,400₹,108,9
NationalCapitalRegionNcr,PvrVegasDwarka,110078,Hindi,16:00,Prime,450₹,88,33
NationalCapitalRegionNcr,PvrDirectorSCutGurugramAmbienceMall,122001,English,16:50,Platinum,"1,400₹",44,0
NationalCapitalRegionNcr,PvrDirectorSCutGurugramAmbienceMall,122001,English,16:50,PlatinumSuperior,"1,600₹",8,2
Lucknow,CinepolisOneAwadhCentreLucknow,226010,English,16:50,Normal,190₹,25,0
Lucknow,CinepolisOneAwadhCentreLucknow,226010,English,16:50,Executive,210₹,68,2
Lucknow,CinepolisOneAwadhCentreLucknow,226010,English,16:50,Premium,230₹,48,19
Lucknow,CinepolisOneAwadhCentreLucknow,226010,English,16:50,Vip,500₹,16,6
NationalCapitalRegionNcr,PvrMgfGurgaon,122001,English,19:05,Classic,420₹,91,10
NationalCapitalRegionNcr,PvrMgfGurgaon,122001,English,19:05,Prime,520₹,61,17
Indore,PvrTreasureIslandMallIndore,452001,Hindi,19:10,Classic,270₹,26,0
Indore,PvrTreasureIslandMallIndore,452001,Hindi,19:10,Prime,290₹,46,18
Indore,PvrTreasureIslandMallIndore,452001,Hindi,19:10,Recliner,500₹,8,4
NationalCapitalRegionNcr,PvrLogixNoida,201301,English,20:30,Classic,390₹,106,9
Bengaluru,PvrTheForumMallKoramangala,560095,English,21:00,3DClassic,270₹,103,74
