City,Name,Language,Time,Type,Price,Capacity,Booked
Hoskote,VeereshCinemasMagadiRoad,Kannada,10:10,Gold,110₹,200,0
Hoskote,TriveniTheatreGandhinagar,Kannada,10:30,Balcony,110₹,298,0
Hoskote,TriveniTheatreGandhinagar,Kannada,10:30,FirstClass,100₹,747,0
Davanagere,AshokaTalkiesDavanagere,Kannada,11:00,Balcony,150₹,279,0
Davanagere,AshokaTalkiesDavanagere,Kannada,11:00,GoldClass,200₹,30,0
Davanagere,AshokaTalkiesDavanagere,Kannada,11:00,FirstClass,100₹,472,0
KalaburagiGulbarga,TriveniTalkiesKalaburagi,Kannada,11:15,DeluxeClass,100₹,50,0
Hoskote,PvrOrionMallDrRajkumarRoad,Kannada,12:00,Classic,210₹,108,2
Hoskote,PvrOrionMallDrRajkumarRoad,Kannada,12:00,Prime,230₹,108,19
Hoskote,PvrOrionMallDrRajkumarRoad,Kannada,12:00,Recliner,400₹,16,8
VijayapuraBijapur,AlankarTheatreBijapur,Kannada,12:00,Balcony,150₹,49,0
Hoskote,VeereshCinemasMagadiRoad,Kannada,13:10,Gold,110₹,270,0
Hoskote,GopalanMallSirsiCircle,Kannada,13:15,Gold,250₹,265,9
Hoskote,TriveniTheatreGandhinagar,Kannada,13:30,Balcony,110₹,298,0
Hoskote,TriveniTheatreGandhinagar,Kannada,13:30,FirstClass,100₹,747,0
Davanagere,AshokaTalkiesDavanagere,Kannada,14:00,Balcony,150₹,279,0
Davanagere,AshokaTalkiesDavanagere,Kannada,14:00,GoldClass,200₹,30,0
Davanagere,AshokaTalkiesDavanagere,Kannada,14:00,FirstClass,100₹,472,0
VijayapuraBijapur,AlankarTheatreBijapur,Kannada,15:00,Balcony,150₹,49,0
Hoskote,TriveniTheatreGandhinagar,Kannada,16:30,Balcony,110₹,298,0
Hoskote,TriveniTheatreGandhinagar,Kannada,16:30,FirstClass,100₹,747,0
Davanagere,AshokaTalkiesDavanagere,Kannada,18:00,Balcony,150₹,279,0
Davanagere,AshokaTalkiesDavanagere,Kannada,18:00,GoldClass,200₹,30,0
Davanagere,AshokaTalkiesDavanagere,Kannada,18:00,FirstClass,100₹,472,0
Hoskote,TriveniTheatreGandhinagar,Kannada,19:30,Balcony,110₹,298,0
Hoskote,TriveniTheatreGandhinagar,Kannada,19:30,FirstClass,100₹,747,0
Davanagere,AshokaTalkiesDavanagere,Kannada,21:00,Balcony,150₹,279,0
Davanagere,AshokaTalkiesDavanagere,Kannada,21:00,GoldClass,200₹,30,0
Davanagere,AshokaTalkiesDavanagere,Kannada,21:00,FirstClass,100₹,472,0
