State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,12:10,Classic,170₹,77,2
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,12:10,Prime,190₹,60,1
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,12:10,Recliner,350₹,7,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:20,RoyalRecliner,290₹,10,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:20,Club,170₹,66,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:20,Royal,170₹,28,17
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:20,Executive,130₹,22,0
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,14:45,Classic,170₹,77,0
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,14:45,Prime,190₹,60,0
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,14:45,Recliner,350₹,7,0
Kerala,Kochi,PvrLuluKochi,Malayalam,16:50,Classic,110₹,39,0
Kerala,Kochi,PvrLuluKochi,Malayalam,16:50,ClassicPlus,140₹,91,6
Kerala,Kochi,PvrLuluKochi,Malayalam,16:50,Prime,160₹,68,14
Kerala,Kochi,PvrLuluKochi,Malayalam,16:50,Recliner,300₹,10,4
