State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Kolkata,PadmaCinemaKolkata,Bengali,11:15,Balcony,80₹,116,0
WestBengal,Kolkata,PadmaCinemaKolkata,Bengali,11:15,DressCircleAc,100₹,120,0
WestBengal,Kolkata,PadmaCinemaKolkata,Bengali,11:15,RearStall,60₹,205,0
WestBengal,Raiganj,SvfCinemasRaiganj,Bengali,12:30,Gold,130₹,15,0
WestBengal,Raiganj,SvfCinemasRaiganj,Bengali,12:30,Royal,280₹,14,0
WestBengal,Raiganj,SvfCinemasRaiganj,Bengali,12:30,Platinum,130₹,62,0
WestBengal,Raiganj,SvfCinemasRaiganj,Bengali,12:30,Platinumm,130₹,28,8
WestBengal,Hooghly,SvfCinemasKpsMallMilonCinemaChinsurah,Bengali,12:30,Lounger,200₹,11,0
WestBengal,Hooghly,SvfCinemasKpsMallMilonCinemaChinsurah,Bengali,12:30,Gold,100₹,12,5
WestBengal,Hooghly,SvfCinemasKpsMallMilonCinemaChinsurah,Bengali,12:30,Platinum,120₹,65,2
WestBengal,Kolkata,PadmaCinemaKolkata,Bengali,13:00,Balcony,80₹,116,0
WestBengal,Kolkata,PadmaCinemaKolkata,Bengali,13:00,DressCircleAc,100₹,120,0
WestBengal,Kolkata,PadmaCinemaKolkata,Bengali,13:00,RearStall,60₹,205,0
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,Bengali,13:05,Normal,160₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,Bengali,13:05,Executive,180₹,135,8
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,Bengali,13:05,Premium,200₹,75,35
WestBengal,Baruipur,InoxCityCenterSaltLake,Bengali,13:10,DressCircle,200₹,144,16
WestBengal,Baruipur,InoxCityCenterSaltLake,Bengali,13:10,Galleria,200₹,49,0
WestBengal,Baruipur,InoxCityCenterSaltLake,Bengali,13:10,Royale,200₹,42,19
WestBengal,Hooghly,MiniSushamaCinemaSheoraphuli,Bengali,13:30,RoyalClassAc,100₹,122,0
WestBengal,Kalyani,SangamCinemaKalyani,Bengali,13:30,Comfort,100₹,31,0
WestBengal,Kalyani,SangamCinemaKalyani,Bengali,13:30,SuperComfort,100₹,71,14
WestBengal,Kalyani,SangamCinemaKalyani,Bengali,13:30,Recliner,150₹,8,6
WestBengal,Kolkata,PvrDiamondPlazaJessoreKolkata,Bengali,13:30,Classic,180₹,176,10
WestBengal,Kolkata,PvrDiamondPlazaJessoreKolkata,Bengali,13:30,Prime,240₹,12,4
WestBengal,Kolkata,PvrDiamondPlazaJessoreKolkata,Bengali,13:30,Recliner,460₹,14,0
WestBengal,Kolkata,JayantiCinemaBarrackpore,Bengali,14:00,SuperStall,100₹,183,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:10,Club,160₹,126,6
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:10,Executive,160₹,42,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:10,Royal,160₹,87,21
WestBengal,Kolkata,SvfCinemasWoodSquareMallNarendrapur,Bengali,14:15,RoyalRecliner,200₹,20,0
WestBengal,Kolkata,SvfCinemasWoodSquareMallNarendrapur,Bengali,14:15,RoyalLounger,150₹,42,7
WestBengal,Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:20,Rear,100₹,341,8
WestBengal,Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:20,Box,170₹,12,12
WestBengal,Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:20,Recliners,270₹,17,1
WestBengal,Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:20,Classic,190₹,76,0
WestBengal,Kolkata,PriyaCinemaRashbehariAvenue,Bengali,14:20,Balcony,170₹,104,8
WestBengal,CoochBehar,SvfCinemasCoochBehar,Bengali,14:30,Gold,70₹,20,0
WestBengal,CoochBehar,SvfCinemasCoochBehar,Bengali,14:30,Platinum,100₹,126,0
WestBengal,Hooghly,GoodwinCineplexSerampore,Bengali,14:35,Prime,150₹,12,0
WestBengal,Hooghly,GoodwinCineplexSerampore,Bengali,14:35,Club,110₹,206,8
WestBengal,Baruipur,AtindraCinemaBarrackpore,Bengali,15:10,Recliner,250₹,74,14
WestBengal,Kolkata,NazrultirthaCinemaKolkata,Bengali,15:30,Silver,130₹,26,0
WestBengal,Kolkata,NazrultirthaCinemaKolkata,Bengali,15:30,Gold,150₹,75,7
WestBengal,Kalna,SvfCinemasKalna,Bengali,15:30,Gold,100₹,9,0
WestBengal,Kalna,SvfCinemasKalna,Bengali,15:30,Platinum,100₹,72,5
WestBengal,Kolkata,NandanKolkata,Bengali,15:45,FrontStall,30₹,111,40
WestBengal,Kolkata,NandanKolkata,Bengali,15:45,RearStall,50₹,451,165
WestBengal,Kolkata,NandanKolkata,Bengali,15:45,Balcony,70₹,369,117
WestBengal,Kolkata,SvfCinemasBaruipurShowHouse,Bengali,15:45,Gold,100₹,17,0
WestBengal,Kolkata,SvfCinemasBaruipurShowHouse,Bengali,15:45,Platinum,100₹,90,8
WestBengal,Kolkata,InoxHilandPark,Bengali,16:15,Royal,320₹,16,2
WestBengal,Kolkata,InoxHilandPark,Bengali,16:15,Premier,150₹,36,0
