State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,11:15,Classic,150₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,11:15,Prime,150₹,146,3
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,11:15,Recliner,250₹,24,0
Delhi,NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,Hindi,11:20,Recliner,500₹,20,0
Delhi,NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,Hindi,11:20,PrimePlus,320₹,42,8
Delhi,NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,Hindi,11:20,Prime,320₹,111,4
Delhi,NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,Hindi,11:20,Classic,300₹,36,0
Delhi,NationalCapitalRegionNcr,PvrSelectCityWalkDelhi,Hindi,11:45,ClassicNormal,300₹,120,0
Delhi,NationalCapitalRegionNcr,PvrSelectCityWalkDelhi,Hindi,11:45,ClassicSuperior,330₹,34,4
Delhi,NationalCapitalRegionNcr,PvrSelectCityWalkDelhi,Hindi,11:45,ReclinersNormal,500₹,10,0
Maharashtra,Mumbai,PvrTheCapitalMallNalasoparaE,Hindi,11:55,Classic,150₹,36,0
Maharashtra,Mumbai,PvrTheCapitalMallNalasoparaE,Hindi,11:55,Prime,150₹,180,2
Maharashtra,Mumbai,PvrTheCapitalMallNalasoparaE,Hindi,11:55,Recliner,250₹,17,1
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,12:00,Special,130₹,36,0
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,12:00,DressCircle,130₹,10,0
MadhyaPradesh,Chhindwara,ShreyanshTalkiesChhindwara,Hindi,12:00,Diamond,130₹,147,0
MadhyaPradesh,Chhindwara,ShreyanshTalkiesChhindwara,Hindi,12:00,Gold,100₹,54,0
UttarPradesh,Kanpur,DeliteBigScreenCinemaKanpur,Hindi,12:00,Balcony,60₹,120,2
UttarPradesh,Kanpur,DeliteBigScreenCinemaKanpur,Hindi,12:00,Family,40₹,200,2
Delhi,NationalCapitalRegionNcr,PvrVegasDwarka,Hindi,12:00,Classic,250₹,112,9
Delhi,NationalCapitalRegionNcr,PvrVegasDwarka,Hindi,12:00,Prime,250₹,52,27
Rajasthan,Bikaner,SurajTalkiesBikaner,Hindi,12:00,DressCircle,80₹,383,0
Rajasthan,Bikaner,SurajTalkiesBikaner,Hindi,12:00,NobelCircle,120₹,502,44
Rajasthan,Bikaner,SurajTalkiesBikaner,Hindi,12:00,Box1,170₹,95,14
Rajasthan,Bikaner,SurajTalkiesBikaner,Hindi,12:00,Box2,170₹,104,14
Gujarat,Vadodara,CinepolisInorbitVadodaraMall,Hindi,12:20,Normal,160₹,24,0
Gujarat,Vadodara,CinepolisInorbitVadodaraMall,Hindi,12:20,Premium,180₹,38,0
Gujarat,Vadodara,CinepolisInorbitVadodaraMall,Hindi,12:20,Executive,160₹,93,3
Gujarat,Ahmedabad,CinepolisAhmedabadOne,Hindi,12:25,Normal,110₹,37,0
Gujarat,Ahmedabad,CinepolisAhmedabadOne,Hindi,12:25,Executive,110₹,45,0
Gujarat,Ahmedabad,CinepolisAhmedabadOne,Hindi,12:25,Premium,110₹,64,15
Delhi,NationalCapitalRegionNcr,CinepolisDlfAvenueSaket,Hindi,12:25,Normal,220₹,42,0
Delhi,NationalCapitalRegionNcr,CinepolisDlfAvenueSaket,Hindi,12:25,Executive,220₹,59,11
Delhi,NationalCapitalRegionNcr,CinepolisDlfAvenueSaket,Hindi,12:25,Premium,220₹,48,10
Delhi,NationalCapitalRegionNcr,CinepolisDlfAvenueSaket,Hindi,12:25,Vip,500₹,10,0
Gujarat,Surat,CinepolisImperialSquareMallSurat,Hindi,12:30,Normal,160₹,22,0
Gujarat,Surat,CinepolisImperialSquareMallSurat,Hindi,12:30,Executive,160₹,75,8
Gujarat,Surat,CinepolisImperialSquareMallSurat,Hindi,12:30,Premium,180₹,33,2
