State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Punjab,Hoshiarpur,MirajCinemasHoshiarpur,Punjabi,09:30,Special,130₹,36,0
Punjab,Hoshiarpur,MirajCinemasHoshiarpur,Punjabi,09:30,Executive,130₹,97,11
Haryana,Bathinda,FunCinemasMittalCityMallBathinda,Punjabi,09:30,Normal,170₹,66,0
Haryana,Bathinda,FunCinemasMittalCityMallBathinda,Punjabi,09:30,Executive,180₹,86,6
Haryana,Bathinda,FunCinemasMittalCityMallBathinda,Punjabi,09:30,Premium,190₹,145,38
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:35,Normal,190₹,96,2
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:35,Executive,200₹,148,3
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:35,Vip,400₹,16,2
Rajasthan,SriGanganagar,PvrRidhiSidhiMallSriGanganagar,Punjabi,09:45,Classic,120₹,72,0
Rajasthan,SriGanganagar,PvrRidhiSidhiMallSriGanganagar,Punjabi,09:45,Prime,130₹,213,6
Rajasthan,SriGanganagar,PvrRidhiSidhiMallSriGanganagar,Punjabi,09:45,Recliner,260₹,20,0
Punjab,Kotkapura,OrbitMultiplexKotkapura,Punjabi,09:45,Gold,120₹,145,0
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,09:45,Classic,180₹,96,2
Punjab,Khanna,PvrTheCelebrationMallKhanna,Punjabi,09:45,Prime,190₹,157,26
Punjab,Chandigarh,CinepolisBestechSquareMohali,Punjabi,09:45,Normal,180₹,42,0
Punjab,Chandigarh,CinepolisBestechSquareMohali,Punjabi,09:45,Executive,200₹,199,2
Punjab,Chandigarh,CinepolisBestechSquareMohali,Punjabi,09:45,Premium,220₹,61,10
Punjab,Chandigarh,CinepolisBestechSquareMohali,Punjabi,09:45,Vip,350₹,16,0
Punjab,Firozpur,SilverbirdCinemaFirozpur,Punjabi,09:45,Gold,150₹,231,0
Punjab,Barnala,GeCinemasBarnala,Punjabi,09:45,Silver,150₹,52,2
Punjab,Barnala,GeCinemasBarnala,Punjabi,09:45,Gold,200₹,125,3
Punjab,Barnala,GeCinemasBarnala,Punjabi,09:45,Platinum,400₹,12,0
Punjab,TalwandiBhai,FunCineplexTalwandiBhai,Punjabi,09:45,Royal,80₹,175,38
