State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,08:55,Imperial,320₹,20,10
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,08:55,Gold,180₹,260,12
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,08:55,Platinum,180₹,80,12
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,08:55,Silver,180₹,40,0
Jharkhand,Ranchi,FunCinemasSpringcityRanchi,Hindi,09:00,Recliner3D,400₹,8,0
Jharkhand,Ranchi,FunCinemasSpringcityRanchi,Hindi,09:00,Platinum3D,200₹,63,0
Jharkhand,Ranchi,FunCinemasSpringcityRanchi,Hindi,09:00,Gold3D,170₹,96,0
Jharkhand,Ranchi,FunCinemasSpringcityRanchi,Hindi,09:00,Silver3D,150₹,24,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Hindi,09:00,Club,150₹,245,24
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Hindi,09:00,Executive,150₹,42,0
Ncr,Delhi,InoxImaxWithLaserParasDelhi,English,09:05,Club,150₹,116,5
Ncr,Delhi,InoxImaxWithLaserParasDelhi,English,09:05,Executive,150₹,107,0
Ncr,Delhi,InoxImaxWithLaserParasDelhi,English,09:05,Royal,150₹,82,30
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,09:05,Kiddles,160₹,57,8
WestBengal,Kolkata,InoxQuestMall,English,09:05,RoyalRecliner,540₹,18,10
WestBengal,Kolkata,InoxQuestMall,English,09:05,Club,370₹,172,0
WestBengal,Kolkata,InoxQuestMall,English,09:05,Executive,370₹,40,0
WestBengal,Kolkata,InoxQuestMall,English,09:05,Royal,370₹,72,10
TamilNadu,Chennai,AgsCinemasMaduravoyal,Tamil,09:10,Diamond3D,220₹,262,14
TamilNadu,Chennai,AgsCinemasMaduravoyal,Tamil,09:10,Pearl3D,90₹,31,31
Goa,Goa,InoxOldGmcDbRoadPanaji,English,09:15,RoyalRecliners,390₹,28,2
Goa,Goa,InoxOldGmcDbRoadPanaji,English,09:15,Royal,260₹,155,19
Goa,Goa,InoxOldGmcDbRoadPanaji,English,09:15,Club,230₹,250,3
Goa,Goa,InoxOldGmcDbRoadPanaji,English,09:15,Executive,230₹,50,0
Rajasthan,Jaipur,CinepolisTritonMegaMallJaipur,Hindi,09:20,Normal,180₹,34,0
Rajasthan,Jaipur,CinepolisTritonMegaMallJaipur,Hindi,09:20,Executive,190₹,199,29
Maharashtra,Mumbai,PvrAndheriEast,English,09:20,Recliner,390₹,14,3
Maharashtra,Mumbai,PvrAndheriEast,English,09:20,Prime,220₹,180,21
Maharashtra,Mumbai,PvrAndheriEast,English,09:20,Classic,190₹,27,0
Maharashtra,Mumbai,InoxRCityGhatkopar,English,09:20,Insignia,450₹,46,17
WestBengal,Kolkata,InoxSouthCityKolkata,English,09:25,Silver,360₹,257,34
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,09:25,Royale,220₹,93,30
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,09:25,Club,200₹,160,0
Karnataka,Bengaluru,InoxMegaplexMallOfAsiaBangalore,English,09:25,Royal,400₹,14,14
Karnataka,Bengaluru,InoxMegaplexMallOfAsiaBangalore,English,09:25,Club,260₹,81,65
Karnataka,Bengaluru,InoxMegaplexMallOfAsiaBangalore,English,09:25,Executive,230₹,84,12
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,English,09:25,Gold,320₹,62,40
TamilNadu,Salem,SprCinecastle4KRgb64ChDolbyAtmosSalem,Tamil,09:25,Couple3DGlass,220₹,16,4
TamilNadu,Salem,SprCinecastle4KRgb64ChDolbyAtmosSalem,Tamil,09:25,Signature3DGlass,220₹,110,3
TamilNadu,Salem,SprCinecastle4KRgb64ChDolbyAtmosSalem,Tamil,09:25,Cinephile3DGlass,160₹,46,0
TamilNadu,Salem,SprCinecastle4KRgb64ChDolbyAtmosSalem,Tamil,09:25,Elite3DGlass,90₹,24,0
Maharashtra,Pune,CityPrideKothrud,English,09:30,New3DSofa,230₹,13,11
Maharashtra,Pune,CityPrideKothrud,English,09:30,New3DGold,180₹,76,22
Maharashtra,Pune,CityPrideKothrud,English,09:30,New3DSilver,160₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,English,09:30,Normal,240₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,English,09:30,Executive,240₹,64,0
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,English,09:30,Premium,240₹,38,17
Maharashtra,Pune,MoviemaxAmanoraTownCentrePune,Hindi,09:30,Royale,200₹,12,4
Maharashtra,Pune,MoviemaxAmanoraTownCentrePune,Hindi,09:30,Club,150₹,161,17
Maharashtra,Pune,MoviemaxAmanoraTownCentrePune,Hindi,09:30,Executive,150₹,42,0
Rajasthan,Jaipur,CinepolisWorldTradeParkMallJaipur,Hindi,09:30,Normal,200₹,39,0
Rajasthan,Jaipur,CinepolisWorldTradeParkMallJaipur,Hindi,09:30,Executive,230₹,127,0
Rajasthan,Jaipur,CinepolisWorldTradeParkMallJaipur,Hindi,09:30,Premium,250₹,43,10
Rajasthan,Jaipur,CinepolisWorldTradeParkMallJaipur,Hindi,09:30,Vip,450₹,16,2
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,English,09:35,GoldPremium,600₹,22,16
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,English,09:35,GoldStar,500₹,55,7
