State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Durgapur,CarnivalCityCenter,Hindi,10:00,3DEconomyPack,130₹,44,0
WestBengal,Durgapur,CarnivalCityCenter,Hindi,10:00,3DRegularPack,130₹,70,0
WestBengal,Durgapur,CarnivalCityCenter,Hindi,10:00,3DExecutivePack,130₹,219,8
WestBengal,Asansol,CarnivalSentrumMall,Hindi,11:00,Gold,130₹,43,4
WestBengal,Asansol,CarnivalSentrumMall,Hindi,11:00,Silver,110₹,150,10
WestBengal,Asansol,CarnivalSentrumMall,Hindi,11:00,Premium,110₹,63,0
TamilNadu,Chennai,InoxLuxePhoenixMarketCityVelachery,English,11:45,Elite,241₹,180,19
TamilNadu,Chennai,InoxLuxePhoenixMarketCityVelachery,English,11:45,Budget,96₹,20,10
Delhi,NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,English,12:05,Platinum,550₹,28,8
Delhi,NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,English,12:05,PlatinumSuperior,550₹,16,7
WestBengal,Barrackpore,CarnivalSaltLake,English,12:30,3DSilverPack,130₹,216,3
WestBengal,Barrackpore,CarnivalSaltLake,English,12:30,3DGoldPack,200₹,12,3
WestBengal,Durgapur,CarnivalCityCenter,Hindi,12:50,3DEconomyPack,130₹,44,0
WestBengal,Durgapur,CarnivalCityCenter,Hindi,12:50,3DRegularPack,130₹,70,0
WestBengal,Durgapur,CarnivalCityCenter,Hindi,12:50,3DExecutivePack,130₹,219,6
WestBengal,Asansol,CarnivalSentrumMall,Hindi,14:00,Gold,130₹,43,7
WestBengal,Asansol,CarnivalSentrumMall,Hindi,14:00,Silver,110₹,150,18
WestBengal,Asansol,CarnivalSentrumMall,Hindi,14:00,Premium,110₹,63,0
WestBengal,Barrackpore,CarnivalSaltLake,Hindi,15:15,3DSilverPack,140₹,216,10
WestBengal,Barrackpore,CarnivalSaltLake,Hindi,15:15,3DGoldPack,200₹,12,0
WestBengal,Durgapur,CarnivalCityCenter,Hindi,15:40,3DEconomyPack,130₹,44,0
WestBengal,Durgapur,CarnivalCityCenter,Hindi,15:40,3DRegularPack,130₹,70,0
WestBengal,Durgapur,CarnivalCityCenter,Hindi,15:40,3DExecutivePack,130₹,219,18
WestBengal,Asansol,CarnivalSentrumMall,Hindi,17:00,Gold,130₹,43,1
WestBengal,Asansol,CarnivalSentrumMall,Hindi,17:00,Silver,110₹,150,13
WestBengal,Asansol,CarnivalSentrumMall,Hindi,17:00,Premium,110₹,63,0
WestBengal,Barrackpore,CarnivalSaltLake,English,17:55,3DSilverPack,140₹,216,1
WestBengal,Barrackpore,CarnivalSaltLake,English,17:55,3DGoldPack,200₹,12,5
WestBengal,Durgapur,CarnivalCityCenter,Hindi,18:30,3DEconomyPack,130₹,44,0
WestBengal,Durgapur,CarnivalCityCenter,Hindi,18:30,3DRegularPack,130₹,70,0
WestBengal,Durgapur,CarnivalCityCenter,Hindi,18:30,3DExecutivePack,130₹,219,6
WestBengal,Asansol,CarnivalSentrumMall,Hindi,20:00,Gold,130₹,43,13
WestBengal,Asansol,CarnivalSentrumMall,Hindi,20:00,Silver,110₹,150,0
WestBengal,Asansol,CarnivalSentrumMall,Hindi,20:00,Premium,110₹,63,0
WestBengal,Barrackpore,CarnivalSaltLake,English,20:35,3DSilverPack,140₹,216,0
WestBengal,Barrackpore,CarnivalSaltLake,English,20:35,3DGoldPack,200₹,12,0
