State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Maharashtra,Pune,AbhiruchiCityPrideSinhagadRoad,Marathi,11:30,RoyalSofa,210₹,18,4
Maharashtra,Pune,AbhiruchiCityPrideSinhagadRoad,Marathi,11:30,RoyalGold,160₹,129,18
Maharashtra,Pune,AbhiruchiCityPrideSinhagadRoad,Marathi,11:30,RoyalSilver,140₹,36,3
Maharashtra,Pune,CityPrideKothrud,Marathi,12:00,RoyalGold,180₹,149,55
Maharashtra,Pune,CityPrideKothrud,Marathi,12:00,RoyalSilver,160₹,22,0
Maharashtra,Jalgaon,PvrUtsavJalgaon,Marathi,12:00,Classic,112₹,51,0
Maharashtra,Jalgaon,PvrUtsavJalgaon,Marathi,12:00,ClassicPlus,112₹,120,0
Maharashtra,Jalgaon,PvrUtsavJalgaon,Marathi,12:00,Prime,112₹,55,17
Maharashtra,Aurangabad,KhinvasaraCineplexWaluj,Marathi,12:00,Diamond,200₹,92,0
Maharashtra,Sangli,NewPrideMultiplexSangliNewlyRenovated,Marathi,12:15,Gold,130₹,133,0
Maharashtra,Sangli,NewPrideMultiplexSangliNewlyRenovated,Marathi,12:15,Silver,130₹,28,0
Maharashtra,Sangli,NewPrideMultiplexSangliNewlyRenovated,Marathi,12:15,SemiRecliner,200₹,17,0
Maharashtra,Chandrapur,RadhakrishnaTalkiesChandrapur,Marathi,12:15,Platinum,100₹,316,0
Maharashtra,Chandrapur,RadhakrishnaTalkiesChandrapur,Marathi,12:15,Gold,100₹,608,0
Maharashtra,NaviMumbai,InoxPalmBeachGalleriaMallNaviMumbai,Marathi,12:40,RoyalRecliners,250₹,14,9
Maharashtra,NaviMumbai,InoxPalmBeachGalleriaMallNaviMumbai,Marathi,12:40,Club,112₹,124,9
Maharashtra,NaviMumbai,InoxPalmBeachGalleriaMallNaviMumbai,Marathi,12:40,Executive,112₹,30,0
Maharashtra,NaviMumbai,InoxPalmBeachGalleriaMallNaviMumbai,Marathi,12:40,Royal,112₹,51,11
Maharashtra,Mumbai,GopiCinemaDombivali,Marathi,13:00,Diamond,90₹,149,10
Maharashtra,Mumbai,GopiCinemaDombivali,Marathi,13:00,Gold,90₹,233,2
Maharashtra,Mumbai,GoldCinemaSonaBorivaliE,Marathi,13:00,Box,300₹,22,0
Maharashtra,Mumbai,GoldCinemaSonaBorivaliE,Marathi,13:00,Gold,130₹,184,2
