City,Name,Language,Time,Type,Price,Capacity,Booked
Coimbatore,InoxProzoneMallCoimbatore,Tamil,09:00,Club,190₹,245,19
Coimbatore,InoxProzoneMallCoimbatore,Tamil,09:00,Executive,60₹,26,0
Chennai,AgsCinemasTNagar,Tamil,10:10,Diamond,150₹,197,24
Chennai,AgsCinemasTNagar,Tamil,10:10,Pearl,60₹,24,24
Coimbatore,KgCinemasCoimbatore,Tamil,10:25,Premium,179₹,282,12
Coimbatore,KgCinemasCoimbatore,Tamil,10:25,Comfort,148₹,126,8
Madurai,PriyaComplexDolbyAtmosMadurai,Tamil,10:30,FirstClass,110₹,300,26
Coimbatore,KovaiShantiComplex4K3DCoimbatore,Tamil,10:30,Balcony,110₹,64,36
Coimbatore,KovaiShantiComplex4K3DCoimbatore,Tamil,10:30,FirstClass,100₹,228,0
Bengaluru,SriBalaji2KDolbyAtmos71Viveknagar,Tamil,10:30,Balcony,150₹,305,0
Bengaluru,SriBalaji2KDolbyAtmos71Viveknagar,Tamil,10:30,FirstClass,100₹,536,0
Theni,TheatreFathumaTheni,Tamil,10:30,FirstClass,120₹,368,0
Tirupur,CineParkTheatreTiruppur,Tamil,10:40,BoxB,90₹,41,0
Tirupur,CineParkTheatreTiruppur,Tamil,10:40,FirstClass,80₹,62,0
Dindigul,AarthiGrandCineplexDolbyAtmosDindigul,Tamil,10:45,Diamond,120₹,149,0
Dindigul,AarthiGrandCineplexDolbyAtmosDindigul,Tamil,10:45,Gold,120₹,45,0
Dindigul,AarthiGrandCineplexDolbyAtmosDindigul,Tamil,10:45,Silver,120₹,25,0
Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,10:45,Diamond,190₹,42,10
Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,10:45,Platinum,165₹,69,2
Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,10:45,Gold,130₹,290,0
Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,10:45,Silver,80₹,23,0
Chennai,AgsCinemasVillivakkam,Tamil,11:00,Diamond,150₹,147,12
Chennai,AgsCinemasVillivakkam,Tamil,11:00,Pearl,60₹,17,17
Kallakurichi,LenaTheatreAC4KDolbyAtmosKallakurichi,Tamil,11:00,FirstClass,130₹,236,0
Kallakurichi,LenaTheatreAC4KDolbyAtmosKallakurichi,Tamil,11:00,SecondClass,100₹,256,0
Bengaluru,VijayTheatre2KDolbyDigital71ACMysuruRoad,Tamil,11:00,Gold,110₹,399,0
Bengaluru,VijayTheatre2KDolbyDigital71ACMysuruRoad,Tamil,11:00,Diamond,150₹,278,0
Chennai,AgsCinemasOmrNavlur,Tamil,11:10,Diamond,150₹,360,38
Chennai,AgsCinemasOmrNavlur,Tamil,11:10,Pearl,60₹,41,41
Tiruvannamalai,SakthiCinemasDolbyAtmosThiruvannamalai,Tamil,11:15,FirstClass,110₹,155,5
Tiruvannamalai,SakthiCinemasDolbyAtmosThiruvannamalai,Tamil,11:15,SecondClass,110₹,14,0
Salem,AascarsMultiplexSalem,Tamil,11:15,Platinum,150₹,260,39
Salem,AascarsMultiplexSalem,Tamil,11:15,Gold,110₹,196,1
Chennai,AgsCinemasMaduravoyal,Tamil,11:20,Diamond,150₹,205,6
Madurai,GopuramCinemasAtmosAndLaserProjectorMadurai,Tamil,11:20,Elite,178₹,70,27
Madurai,GopuramCinemasAtmosAndLaserProjectorMadurai,Tamil,11:20,Premium,127₹,40,5
Madurai,GopuramCinemasAtmosAndLaserProjectorMadurai,Tamil,11:20,Budget,60₹,20,0
Chennai,PvrGrandGaladaPallavaram,Tamil,11:25,Classic,60₹,28,28
Chennai,PvrGrandGaladaPallavaram,Tamil,11:25,Prime,190₹,152,46
