State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,NationalCapitalRegionNcr,PvrLogixNoida,Hindi,09:00,Classic,112₹,106,2
Haryana,NationalCapitalRegionNcr,PvrPacificDwarka,Hindi,10:10,Classic,112₹,56,0
Haryana,NationalCapitalRegionNcr,PvrPacificDwarka,Hindi,10:10,Prime,112₹,25,0
Haryana,NationalCapitalRegionNcr,PvrPromenadeVasantKunj,Hindi,10:15,Classic,112₹,96,0
Haryana,NationalCapitalRegionNcr,PvrPromenadeVasantKunj,Hindi,10:15,Prime,112₹,33,2
Haryana,NationalCapitalRegionNcr,PvrMgfGurgaon,Hindi,10:45,Classic,112₹,59,0
Haryana,NationalCapitalRegionNcr,PvrMgfGurgaon,Hindi,10:45,Prime,112₹,52,0
Haryana,NationalCapitalRegionNcr,PvrMgfGurgaon,Hindi,10:45,Recliner,200₹,8,2
Haryana,NationalCapitalRegionNcr,CarnivalTgip,Hindi,11:30,Gold,112₹,199,0
Haryana,NationalCapitalRegionNcr,PvrVegasDwarka,Hindi,11:30,Classic,112₹,108,0
Haryana,NationalCapitalRegionNcr,PvrVegasDwarka,Hindi,11:30,Prime,112₹,88,18
UttarPradesh,Lucknow,InoxEmeraldMallLucknow,Hindi,12:25,Club,112₹,70,0
UttarPradesh,Lucknow,InoxEmeraldMallLucknow,Hindi,12:25,Executive,112₹,28,0
UttarPradesh,Lucknow,InoxEmeraldMallLucknow,Hindi,12:25,Royale,112₹,83,23
Haryana,NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,Hindi,12:35,Platinum,300₹,28,0
Haryana,NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,Hindi,12:35,PlatinumSuperior,300₹,16,8
Haryana,NationalCapitalRegionNcr,CarnivalTgip,Hindi,14:15,Gold,112₹,221,33
UttarPradesh,Lucknow,CinepolisOneAwadhCentreLucknow,Hindi,16:25,Normal,100₹,29,0
UttarPradesh,Lucknow,CinepolisOneAwadhCentreLucknow,Hindi,16:25,Executive,100₹,96,0
UttarPradesh,Lucknow,CinepolisOneAwadhCentreLucknow,Hindi,16:25,Premium,100₹,54,2
UttarPradesh,Lucknow,CinepolisOneAwadhCentreLucknow,Hindi,16:25,Vip,450₹,20,0
Haryana,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,Hindi,19:30,Premium,100₹,112,0
Haryana,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,Hindi,19:30,Classic,100₹,75,0
Haryana,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,Hindi,23:00,Premium,100₹,40,13
Haryana,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,Hindi,23:00,Classic,100₹,65,0
