State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
UttarPradesh,NationalCapitalRegionNcr,CinepolisV3SMallLaxmiNagar,Garhwali,15:00,Normal,200₹,84,0
UttarPradesh,NationalCapitalRegionNcr,CinepolisV3SMallLaxmiNagar,Garhwali,15:00,Executive,200₹,114,24
UttarPradesh,NationalCapitalRegionNcr,PvrSangamDelhi,Garhwali,16:30,Classic,250₹,40,0
UttarPradesh,NationalCapitalRegionNcr,PvrSangamDelhi,Garhwali,16:30,Prime,250₹,39,30
UttarPradesh,NationalCapitalRegionNcr,PvrSangamDelhi,Garhwali,16:30,PrimePlus,250₹,13,8
UttarPradesh,NationalCapitalRegionNcr,PvrVegasDwarka,Garhwali,16:30,Classic,200₹,108,20
UttarPradesh,NationalCapitalRegionNcr,PvrVegasDwarka,Garhwali,16:30,Prime,200₹,88,65
UttarPradesh,NationalCapitalRegionNcr,RrCinemaJaipuriaMall,Garhwali,17:15,PremiumSofa,300₹,21,0
UttarPradesh,NationalCapitalRegionNcr,RrCinemaJaipuriaMall,Garhwali,17:15,Gold,200₹,252,22
UttarPradesh,NationalCapitalRegionNcr,RrCinemaJaipuriaMall,Garhwali,17:15,Silver,150₹,100,3
