City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Coimbatore,SrkMirajCinemasCoimbatore,641016,Tamil,08:35,Special,60₹,20,0
Coimbatore,SrkMirajCinemasCoimbatore,641016,Tamil,08:35,Executive,190₹,190,1
Tirupur,SriSakthiCinemasUnionMillRoadTirupur,641601,Tamil,09:45,Diamond,190₹,27,0
Tirupur,SriSakthiCinemasUnionMillRoadTirupur,641601,Tamil,09:45,Platinum,165₹,34,0
Tirupur,SriSakthiCinemasUnionMillRoadTirupur,641601,Tamil,09:45,Gold,130₹,131,0
Tirupur,SriSakthiCinemasUnionMillRoadTirupur,641601,Tamil,09:45,Silver,80₹,7,0
Chennai,InoxTheMarinaMallOmr,603103,Tamil,09:50,Club,190₹,137,16
Chennai,InoxTheMarinaMallOmr,603103,Tamil,09:50,Executive,60₹,16,2
Madurai,InoxVishaalDeMall,625002,Tamil,09:50,Club,178₹,134,0
Madurai,InoxVishaalDeMall,625002,Tamil,09:50,Executive,60₹,21,5
Chennai,InoxChennaiCitiCentreDrRkSalai,600004,Tamil,10:10,Club,152₹,153,20
Chennai,InoxChennaiCitiCentreDrRkSalai,600004,Tamil,10:10,Executive,60₹,23,13
Bodinayakanur,ArraCinemasBodi,625513,Tamil,10:15,Diamond,150₹,72,0
Bodinayakanur,ArraCinemasBodi,625513,Tamil,10:15,Emarald,100₹,130,0
Bodinayakanur,ArraCinemasBodi,625513,Tamil,10:15,Ruby,100₹,44,0
Coimbatore,InoxProzoneMallCoimbatore,641035,Tamil,10:20,Club,190₹,245,21
Coimbatore,InoxProzoneMallCoimbatore,641035,Tamil,10:20,Executive,60₹,26,2
Coimbatore,KgCinemasCoimbatore,641018,Tamil,10:30,Premium,190₹,282,0
Coimbatore,KgCinemasCoimbatore,641018,Tamil,10:30,Comfort,148₹,126,0
Chennai,InoxNationalArcotRoad,600092,Tamil,10:30,Silver,152₹,94,0
Chennai,InoxNationalArcotRoad,600092,Tamil,10:30,Premiere,60₹,15,15
Theni,TheatreFathumaTheni,625531,Tamil,10:30,FirstClass,120₹,368,18
Chennai,RohiniSilverScreensKoyambedu,600107,Tamil,10:30,GoldStar,150₹,315,48
Dindigul,UmaaCinemasRgbLaserDolbyAtmosDindigul,624004,Tamil,10:30,Platinum,120₹,174,56
Dindigul,UmaaCinemasRgbLaserDolbyAtmosDindigul,624004,Tamil,10:30,Diamond,120₹,176,0
Coimbatore,KgCinemasCoimbatore,641018,Tamil,10:30,Premium,190₹,282,0
Coimbatore,KgCinemasCoimbatore,641018,Tamil,10:30,Comfort,148₹,126,0
Tirupur,ShantiCinemasTirupur,641602,Tamil,10:30,BoxOc,130₹,62,0
Tirupur,ShantiCinemasTirupur,641602,Tamil,10:30,SuperDeluxeOc,110₹,364,0
Coimbatore,KaveriCinemaCoimbatore,641012,Tamil,10:30,DiamondSofa,150₹,72,13
Coimbatore,KaveriCinemaCoimbatore,641012,Tamil,10:30,Gold,130₹,473,0
