City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Asansol,CarnivalSentrumMall,713341,Hindi,08:55,Gold,140₹,43,2
Asansol,CarnivalSentrumMall,713341,Hindi,08:55,Silver,140₹,192,0
Asansol,CarnivalSentrumMall,713341,Hindi,08:55,Premium,140₹,84,0
Pune,CinepolisSeasonsMallPune,411028,English,09:00,Normal,170₹,29,0
Pune,CinepolisSeasonsMallPune,411028,English,09:00,Executive,170₹,83,0
Pune,CinepolisSeasonsMallPune,411028,English,09:00,Premium,170₹,35,0
Jamshedpur,PjpCinepolisJamshedpur,831001,Hindi,09:05,Normal,180₹,22,0
Jamshedpur,PjpCinepolisJamshedpur,831001,Hindi,09:05,Executive,200₹,33,0
Jamshedpur,PjpCinepolisJamshedpur,831001,Hindi,09:05,Premium,220₹,59,0
Rajkot,InoxRelianceMegaMallRajkot,360005,Hindi,09:05,RoyalRecliners,290₹,10,4
Rajkot,InoxRelianceMegaMallRajkot,360005,Hindi,09:05,Royal,210₹,33,4
Rajkot,InoxRelianceMegaMallRajkot,360005,Hindi,09:05,Club,200₹,55,0
Rajkot,InoxRelianceMegaMallRajkot,360005,Hindi,09:05,Executive,180₹,22,0
Indore,PvrTreasureIslandMall4DxIndore,452001,Hindi,09:05,4DxClassic,350₹,48,0
Indore,PvrTreasureIslandMall4DxIndore,452001,Hindi,09:05,4DxPrime,350₹,60,18
Mumbai,CinepolisVivianaMallThane,400606,English,09:05,Normal,160₹,27,0
Mumbai,CinepolisVivianaMallThane,400606,English,09:05,Executive,160₹,104,1
Mumbai,CinepolisVivianaMallThane,400606,English,09:05,Premium,160₹,46,18
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,English,09:10,Normal,160₹,46,14
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,English,09:10,Executive,180₹,70,5
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,English,09:10,Premium,200₹,57,5
Mumbai,CinepolisNexusSeawoodsNaviMumbai,400706,English,09:10,Vip,300₹,14,0
Pune,CinepolisNexusWestendMallAundhPune,411007,English,09:10,Normal,200₹,25,2
Pune,CinepolisNexusWestendMallAundhPune,411007,English,09:10,Executive,200₹,55,13
Pune,CinepolisNexusWestendMallAundhPune,411007,English,09:10,Premium,200₹,48,3
Vadodara,CinemarcNewVipRoad,390022,Hindi,09:15,3DRoyal,90₹,35,0
Vadodara,CinemarcNewVipRoad,390022,Hindi,09:15,3DGold,90₹,37,0
Vadodara,CinemarcNewVipRoad,390022,Hindi,09:15,3DSilver,90₹,158,0
Vadodara,CinemarcNewVipRoad,390022,Hindi,09:15,3DPremium,90₹,46,0
Pune,BollywoodMultiplexKharadi,411014,Hindi,09:15,3DGold,100₹,66,0
Pune,BollywoodMultiplexKharadi,411014,Hindi,09:15,3DSilver,100₹,22,0
Ujjain,PvrTreasureBazaarMallUjjain,452010,Hindi,09:20,Classic,160₹,51,0
Ujjain,PvrTreasureBazaarMallUjjain,452010,Hindi,09:20,ClassicPlus,160₹,83,0
Ujjain,PvrTreasureBazaarMallUjjain,452010,Hindi,09:20,Prime,160₹,177,41
Pune,PvrCityOneMallPimpri,411018,Hindi,09:30,Classic,100₹,40,0
Pune,PvrCityOneMallPimpri,411018,Hindi,09:30,Prime,100₹,125,0
Pune,PvrCityOneMallPimpri,411018,Hindi,09:30,Recliner,160₹,12,0
Nashik,MovieMaXTheZoneCollegeRoadNashik,422005,Hindi,09:30,3DClassic,110₹,57,0
Nashik,MovieMaXTheZoneCollegeRoadNashik,422005,Hindi,09:30,3DPrime,150₹,261,0
Nashik,MovieMaXTheZoneCollegeRoadNashik,422005,Hindi,09:30,3DPrimePlus,170₹,16,0
Pune,CinepolisSeasonsMallPune,411028,Hindi,09:40,Normal,150₹,29,0
Pune,CinepolisSeasonsMallPune,411028,Hindi,09:40,Executive,150₹,98,19
Pune,CinepolisSeasonsMallPune,411028,Hindi,09:40,Premium,150₹,34,0
Pune,CinepolisWestendMallAundhPune,411007,English,09:40,Normal,180₹,40,0
Pune,CinepolisWestendMallAundhPune,411007,English,09:40,Executive,200₹,172,3
Pune,CinepolisWestendMallAundhPune,411007,English,09:40,Premium,220₹,51,1
Pune,CinepolisWestendMallAundhPune,411007,English,09:40,Vip,320₹,20,5
Mumbai,InoxNeelyogGhatkoparE,400077,Hindi,09:45,Executive,140₹,38,0
Mumbai,InoxNeelyogGhatkoparE,400077,Hindi,09:45,Premier,140₹,152,3
Mumbai,InoxNeelyogGhatkoparE,400077,Hindi,09:45,Silver,140₹,155,9
Mumbai,CinepolisMagnetMallBhandupW,400078,Hindi,09:45,Normal,110₹,36,0
Mumbai,CinepolisMagnetMallBhandupW,400078,Hindi,09:45,Executive,110₹,126,10
Mumbai,CinepolisMagnetMallBhandupW,400078,Hindi,09:45,Vip,200₹,26,25
Bharuch,InoxShreeRangPalaceZadeshwarRoad,392001,Hindi,09:55,Club,180₹,21,0
Bharuch,InoxShreeRangPalaceZadeshwarRoad,392001,Hindi,09:55,Gold,150₹,185,8
Bharuch,InoxShreeRangPalaceZadeshwarRoad,392001,Hindi,09:55,Silver,130₹,84,0
NationalCapitalRegionNcr,PvrGoldLogixCityCentreNoida,201301,English,10:00,Recliner,550₹,32,0
Bengaluru,CinepolisRoyalMeenakshiMall,560076,English,10:00,Normal,200₹,30,0
Bengaluru,CinepolisRoyalMeenakshiMall,560076,English,10:00,Executive,200₹,81,5
Bengaluru,CinepolisRoyalMeenakshiMall,560076,English,10:00,Premium,200₹,47,5
Mumbai,MetroInoxCinemasMarineLines,400020,English,10:00,Royale,190₹,59,11
Mumbai,MetroInoxCinemasMarineLines,400020,English,10:00,Club,160₹,108,0
Mumbai,MetroInoxCinemasMarineLines,400020,English,10:00,Executive,160₹,36,0
Kolkata,CinepolisAcropolisMallKolkata,700107,English,10:00,Normal,150₹,38,0
Kolkata,CinepolisAcropolisMallKolkata,700107,English,10:00,Executive,150₹,151,3
Kolkata,CinepolisAcropolisMallKolkata,700107,English,10:00,Premium,150₹,65,31
Bhopal,CinepolisAashimaMallBhopal,462026,English,10:00,Normal,150₹,30,0
Bhopal,CinepolisAashimaMallBhopal,462026,English,10:00,Executive,150₹,102,0
Bhopal,CinepolisAashimaMallBhopal,462026,English,10:00,Premium,150₹,73,4
Ahmedabad,PvrAcropolisAhmedabad,380052,English,10:00,Classic,200₹,42,0
Ahmedabad,PvrAcropolisAhmedabad,380052,English,10:00,Prime,200₹,42,0
Ahmedabad,PvrAcropolisAhmedabad,380052,English,10:00,PrimePlus,200₹,70,0
Ahmedabad,PvrAcropolisAhmedabad,380052,English,10:00,Recliner,400₹,11,3
Nagpur,CinepolisVrMallNagpur,440003,English,10:00,Normal,130₹,29,2
Nagpur,CinepolisVrMallNagpur,440003,English,10:00,Executive,150₹,73,2
Nagpur,CinepolisVrMallNagpur,440003,English,10:00,Premium,170₹,69,0
Nagpur,CinepolisVrMallNagpur,440003,English,10:00,Vip,350₹,10,0
Lucknow,InoxPhoenixPalassioMallLucknow,226010,Hindi,10:05,Royale,210₹,30,10
Lucknow,InoxPhoenixPalassioMallLucknow,226010,Hindi,10:05,Club,190₹,32,5
Lucknow,InoxPhoenixPalassioMallLucknow,226010,Hindi,10:05,Executive,170₹,16,0
Mumbai,PvrLodhaXperiaPalava,421204,English,10:15,Classic,140₹,38,0
Mumbai,PvrLodhaXperiaPalava,421204,English,10:15,Prime,150₹,114,0
Mumbai,PvrLodhaXperiaPalava,421204,English,10:15,Recliner,230₹,12,0
Mumbai,PvrDynamixJuhu,400049,English,10:15,Prime,210₹,72,15
Mumbai,PvrDynamixJuhu,400049,English,10:15,Classic,190₹,40,0
Lucknow,CinepolisOneAwadhCentreLucknow,226010,Hindi,10:15,Normal,130₹,29,0
Lucknow,CinepolisOneAwadhCentreLucknow,226010,Hindi,10:15,Executive,130₹,78,0
Lucknow,CinepolisOneAwadhCentreLucknow,226010,Hindi,10:15,Premium,130₹,38,0
Lucknow,CinepolisOneAwadhCentreLucknow,226010,Hindi,10:15,Vip,300₹,10,0
Vadodara,InoxSevenSeasMallFatehgunj,390002,Hindi,10:25,Gold,270₹,12,2
Vadodara,InoxSevenSeasMallFatehgunj,390002,Hindi,10:25,Executive,180₹,40,0
Vadodara,InoxSevenSeasMallFatehgunj,390002,Hindi,10:25,Premiere,180₹,100,0
Vadodara,InoxSevenSeasMallFatehgunj,390002,Hindi,10:25,Silver,180₹,84,14
Kolkata,SvfCinemasWoodSquareMallNarendrapur,700103,Hindi,10:30,Gold,112₹,36,0
Kolkata,SvfCinemasWoodSquareMallNarendrapur,700103,Hindi,10:30,Platinum,112₹,85,0
Kolkata,SvfCinemasWoodSquareMallNarendrapur,700103,Hindi,10:30,Royal,199₹,15,1
NationalCapitalRegionNcr,DeliteCinemaAsafAliRoad,110002,Hindi,10:30,StarClass,260₹,38,0
NationalCapitalRegionNcr,DeliteCinemaAsafAliRoad,110002,Hindi,10:30,GoldClass,210₹,110,0
NationalCapitalRegionNcr,CinepolisCrossRiverMallShahdara,110032,Hindi,10:30,Normal,202₹,159,0
NationalCapitalRegionNcr,CinepolisCrossRiverMallShahdara,110032,Hindi,10:30,Executive,210₹,110,3
NationalCapitalRegionNcr,CinepolisCrossRiverMallShahdara,110032,Hindi,10:30,Vip,421₹,5,0
Mumbai,CinepolisVipVivianaMallThane,400606,English,10:35,Vip,400₹,70,17
NationalCapitalRegionNcr,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,10:35,Normal,180₹,19,0
NationalCapitalRegionNcr,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,10:35,Executive,180₹,50,0
NationalCapitalRegionNcr,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,10:35,Premium,180₹,29,0
NationalCapitalRegionNcr,CinepolisAiriaMallSohnaRoadGurgaon,122103,Hindi,10:35,Vip,300₹,9,0
