State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
AndhraPradesh,Bhimavaram,SriVijayalakshmiCineComplexBhimavaram,Telugu,11:00,FirstClass,150₹,96,67
AndhraPradesh,Bhimavaram,SriVijayalakshmiCineComplexBhimavaram,Telugu,11:00,FirstClass1,150₹,92,82
AndhraPradesh,Bhimavaram,SriVijayalakshmiCineComplexBhimavaram,Telugu,11:00,SecondClass,100₹,65,55
AndhraPradesh,Dharmavaram,RangaCineCentralDharmavaram,Telugu,11:10,GoldClass,0₹,236,0
AndhraPradesh,RajamahendravaramRajahmundry,SuryaMiniRajahmundry,Telugu,11:15,Premium,112₹,162,8
AndhraPradesh,RajamahendravaramRajahmundry,SuryaMiniRajahmundry,Telugu,11:15,NonPremium,75₹,71,2
AndhraPradesh,JangareddyGudem,CnrMallYScreensJangareddyGudem,Telugu,11:15,Recyliners,295₹,14,0
AndhraPradesh,JangareddyGudem,CnrMallYScreensJangareddyGudem,Telugu,11:15,FirstClass,150₹,185,1
AndhraPradesh,VizagVisakhapatnam,KanyaScreen1Gajuwaka,Telugu,11:30,Premium2,145₹,242,22
AndhraPradesh,VizagVisakhapatnam,KanyaScreen1Gajuwaka,Telugu,11:30,Premium3,145₹,122,0
AndhraPradesh,VizagVisakhapatnam,KanyaScreen1Gajuwaka,Telugu,11:30,NonPremium,100₹,137,11
AndhraPradesh,Kadapa,PrathapTheaterKadapa,Telugu,11:30,FirstClass,150₹,155,4
AndhraPradesh,Kadapa,PrathapTheaterKadapa,Telugu,11:30,SecondClass,100₹,77,77
AndhraPradesh,Vijayawada,SwarnaMultiplexVijayawada,Telugu,11:30,Premium,110₹,242,29
AndhraPradesh,Vijayawada,SwarnaMultiplexVijayawada,Telugu,11:30,Economy,78₹,80,21
AndhraPradesh,Kakinada,InoxSrmtMallKakinada,Telugu,12:15,Executive,112₹,146,94
AndhraPradesh,JangareddyGudem,CnrMallYScreensJangareddyGudem,Telugu,14:00,Recyliners,295₹,14,1
AndhraPradesh,JangareddyGudem,CnrMallYScreensJangareddyGudem,Telugu,14:00,FirstClass,150₹,185,9
AndhraPradesh,Dharmavaram,RangaCineCentralDharmavaram,Telugu,14:10,GoldClass,0₹,236,0
AndhraPradesh,Tanuku,LakshmiComplexMainTanuku,Telugu,14:15,Balcony,150₹,95,3
AndhraPradesh,Tanuku,LakshmiComplexMainTanuku,Telugu,14:15,LowerBalcony,120₹,171,4
AndhraPradesh,Bhimavaram,SriVijayalakshmiCineComplexBhimavaram,Telugu,14:15,FirstClass,150₹,96,67
AndhraPradesh,Bhimavaram,SriVijayalakshmiCineComplexBhimavaram,Telugu,14:15,FirstClass1,150₹,92,82
AndhraPradesh,Bhimavaram,SriVijayalakshmiCineComplexBhimavaram,Telugu,14:15,SecondClass,100₹,65,55
AndhraPradesh,VizagVisakhapatnam,KanyaScreen1Gajuwaka,Telugu,14:30,Premium2,145₹,242,43
AndhraPradesh,VizagVisakhapatnam,KanyaScreen1Gajuwaka,Telugu,14:30,Premium3,145₹,122,0
AndhraPradesh,VizagVisakhapatnam,KanyaScreen1Gajuwaka,Telugu,14:30,NonPremium,100₹,137,16
AndhraPradesh,Kadapa,PrathapTheaterKadapa,Telugu,14:30,FirstClass,150₹,155,12
AndhraPradesh,Kadapa,PrathapTheaterKadapa,Telugu,14:30,SecondClass,100₹,77,77
AndhraPradesh,Sattenapalle,EswarsaiDeluxeAcSattenapalle,Telugu,14:30,Sofa,0₹,35,25
AndhraPradesh,Sattenapalle,EswarsaiDeluxeAcSattenapalle,Telugu,14:30,Balcony,100₹,89,3
AndhraPradesh,Sattenapalle,EswarsaiDeluxeAcSattenapalle,Telugu,14:30,LowerBalcony,100₹,97,0
AndhraPradesh,Sattenapalle,EswarsaiDeluxeAcSattenapalle,Telugu,14:30,FirstClass,70₹,175,0
AndhraPradesh,Sattenapalle,EswarsaiDeluxeAcSattenapalle,Telugu,14:30,SecondClass,50₹,93,0
AndhraPradesh,Eluru,SaiBalajiComplexEluru,Telugu,14:35,1FirstClass,150₹,245,19
AndhraPradesh,Eluru,SaiBalajiComplexEluru,Telugu,14:35,2SecondClass,80₹,49,0
