State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:00,Gold,236₹,36,29
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:00,Silver,236₹,24,5
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:00,Special,236₹,36,0
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:15,Gold,236₹,40,33
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:15,Silver,236₹,41,25
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:15,Special,236₹,48,0
Karnataka,Padubidri,BharathCinemasPadubidri,Kannada,08:15,Gold,200₹,67,2
Karnataka,Padubidri,BharathCinemasPadubidri,Kannada,08:15,Silver,200₹,33,0
Karnataka,Padubidri,BharathCinemasPadubidri,Kannada,08:15,Special,200₹,11,0
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:30,Vip,400₹,12,12
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:30,Gold,236₹,36,31
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:30,Silver,236₹,41,40
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:30,Special,236₹,60,4
Maharashtra,Mumbai,PvrCitiMallAndheriW,Kannada,08:30,Classic,110₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Kannada,08:30,Prime,140₹,146,17
Maharashtra,Mumbai,PvrCitiMallAndheriW,Kannada,08:30,Recliner,300₹,24,0
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:45,Vip,400₹,12,12
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:45,Gold,236₹,36,32
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:45,Silver,236₹,41,40
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,08:45,Special,236₹,48,7
Karnataka,Padubidri,BharathCinemasPadubidri,Kannada,08:45,Gold,236₹,68,14
Karnataka,Padubidri,BharathCinemasPadubidri,Kannada,08:45,Silver,236₹,33,0
Karnataka,Padubidri,BharathCinemasPadubidri,Kannada,08:45,Special,236₹,11,0
