State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Delhi,NationalCapitalRegionNcr,VibhorChitralokPilkhuwa,Hindi,09:00,Box,150₹,7,0
Delhi,NationalCapitalRegionNcr,VibhorChitralokPilkhuwa,Hindi,09:00,Platinum,100₹,59,0
WestBengal,Ranaghat,SurendraCinemaRanaghat,Hindi,11:00,Balocny,50₹,315,0
Delhi,NationalCapitalRegionNcr,VibhorChitralokPilkhuwa,Hindi,12:00,Box,150₹,7,0
Delhi,NationalCapitalRegionNcr,VibhorChitralokPilkhuwa,Hindi,12:00,Platinum,100₹,59,0
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,12:30,Special,150₹,36,0
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,12:30,DressCircle,150₹,10,0
WestBengal,Arambagh,KarunaCinemaArambagh,Hindi,13:30,LowerStall,35₹,100,0
WestBengal,Arambagh,KarunaCinemaArambagh,Hindi,13:30,Balcony,40₹,270,0
Delhi,NationalCapitalRegionNcr,VibhorChitralokPilkhuwa,Hindi,15:00,Box,150₹,7,0
Delhi,NationalCapitalRegionNcr,VibhorChitralokPilkhuwa,Hindi,15:00,Platinum,100₹,59,0
Delhi,NationalCapitalRegionNcr,VibhorChitralokPilkhuwa,Hindi,18:00,Box,150₹,7,0
Delhi,NationalCapitalRegionNcr,VibhorChitralokPilkhuwa,Hindi,18:00,Platinum,100₹,59,0
WestBengal,Arambagh,KarunaCinemaArambagh,Hindi,18:30,LowerStall,35₹,100,0
WestBengal,Arambagh,KarunaCinemaArambagh,Hindi,18:30,Balcony,40₹,270,0
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,18:30,Special,150₹,36,4
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,18:30,DressCircle,150₹,10,10
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,21:30,Special,150₹,36,7
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,21:30,DressCircle,150₹,10,8
