State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
AndhraPradesh,Guntur,PvrGuntur,Telugu,10:15,Premium,295₹,13,13
AndhraPradesh,Guntur,PvrGuntur,Telugu,10:15,Deluxe,177₹,155,155
AndhraPradesh,Vijayawada,CinepolisPvpSquareMallVijayawada,Telugu,10:15,Normal,177₹,185,0
AndhraPradesh,Vijayawada,CinepolisPvpSquareMallVijayawada,Telugu,10:15,Vip,295₹,12,12
AndhraPradesh,Narasannapeta,SriLakshmiTalkiesAcDtsNarasannapeta,Telugu,10:30,Premium,100₹,389,259
AndhraPradesh,Narasannapeta,SriLakshmiTalkiesAcDtsNarasannapeta,Telugu,10:30,NonPremium,80₹,117,107
AndhraPradesh,Narsipatnam,PvrSreeKanyaNarsipatnam,Telugu,10:30,Classic,60₹,42,10
AndhraPradesh,Narsipatnam,PvrSreeKanyaNarsipatnam,Telugu,10:30,ClassicPlus,150₹,252,2
AndhraPradesh,Parvathipuram,PadmasriPicturePalaceParvatipuram,Telugu,10:30,SatyamCircle,110₹,378,0
AndhraPradesh,VizagVisakhapatnam,InoxVarunBeachBeachRoad,Telugu,10:35,Excutive,177₹,156,19
AndhraPradesh,VizagVisakhapatnam,InoxVizagChitralayaMall,Telugu,10:50,Executive,177₹,157,8
Telangana,Hyderabad,JpCinemasChandanagar,Telugu,10:50,Sofa,200₹,15,0
Telangana,Hyderabad,JpCinemasChandanagar,Telugu,10:50,Gl,150₹,204,0
AndhraPradesh,Vizianagaram,InoxNcsMallVizianagaram,Telugu,10:55,Exclusive,177₹,318,31
AndhraPradesh,VizagVisakhapatnam,SriVenkateswaraScreen1Dolby712KACVizag,Telugu,11:00,FirstClass,140₹,339,6
AndhraPradesh,VizagVisakhapatnam,SriVenkateswaraScreen1Dolby712KACVizag,Telugu,11:00,SecondClass,60₹,128,27
Telangana,Shadnagar,SriSaiBabaShadnagar,Telugu,11:00,Box,110₹,22,22
Telangana,Shadnagar,SriSaiBabaShadnagar,Telugu,11:00,Balcony,110₹,270,70
Telangana,Shadnagar,SriSaiBabaShadnagar,Telugu,11:00,FirstClass,80₹,126,44
Telangana,Shadnagar,SriSaiBabaShadnagar,Telugu,11:00,SecondClass,50₹,74,0
Telangana,Hyderabad,RangaTheatre70MmJeedimetla,Telugu,11:00,Balcony,110₹,553,230
Telangana,Hyderabad,RangaTheatre70MmJeedimetla,Telugu,11:00,1stClass,80₹,510,205
Telangana,Hyderabad,RajLakshmiTheatreUppal,Telugu,11:00,Balcony,110₹,425,101
Telangana,Hyderabad,RajLakshmiTheatreUppal,Telugu,11:00,FirstClass,80₹,237,147
Telangana,Sangareddy,SitaraTheatre70MmACDtsSangareddy,Telugu,11:00,Balcony,110₹,436,61
Telangana,Sangareddy,SitaraTheatre70MmACDtsSangareddy,Telugu,11:00,FirstClass,80₹,111,0
AndhraPradesh,Siddipet,AsianVenkateshwaraSiddipet,Telugu,11:00,UpperPlatinum,110₹,280,78
AndhraPradesh,Siddipet,AsianVenkateshwaraSiddipet,Telugu,11:00,LowerPaltinum,110₹,106,0
AndhraPradesh,Siddipet,AsianVenkateshwaraSiddipet,Telugu,11:00,Gold,90₹,190,31
AndhraPradesh,Bhadrachalam,AmrVijayBhaskarBhadrachalam,Telugu,11:00,Balcony,110₹,396,81
Telangana,Kamareddy,AsianPriyaCineplexKamareddy,Telugu,11:00,Gold,110₹,430,124
Telangana,Kamareddy,AsianPriyaCineplexKamareddy,Telugu,11:00,Silver,80₹,64,0
Telangana,Mahabubabad,AsianMukundMahabubabad,Telugu,11:00,Balcony,110₹,379,107
Telangana,Mahabubabad,AsianMukundMahabubabad,Telugu,11:00,Silver,80₹,86,0
Telangana,Hyderabad,SvCinesquarePatancheru,Telugu,11:00,Balcony,110₹,518,1
AndhraPradesh,Annavaram,NvrMultiplexAnnavaram,Telugu,11:00,FirstClass,120₹,209,0
AndhraPradesh,Kothapeta,RsMiniplexKothapeta,Telugu,11:00,FirstClass,100₹,148,38
AndhraPradesh,Eluru,VMaxAC2KDolbyEluru,Telugu,11:00,Balcony,150₹,228,110
AndhraPradesh,Eluru,VMaxAC2KDolbyEluru,Telugu,11:00,2ndClass,80₹,30,30
AndhraPradesh,Eluru,VMaxAC2KDolbyEluru,Telugu,11:00,3rdClass,50₹,48,48
Telangana,Hyderabad,Sharada70MmKapra,Telugu,11:00,Balcony,110₹,264,0
Telangana,Hyderabad,Sharada70MmKapra,Telugu,11:00,DressCircle,80₹,346,0
Telangana,Vikarabad,CinemaxVikarabad,Telugu,11:00,Gold,110₹,531,222
Telangana,Vikarabad,CinemaxVikarabad,Telugu,11:00,Silver,80₹,137,0
AndhraPradesh,Wanaparthy,SriVenkateshwaraPicturePalaceWanaparthy,Telugu,11:00,Balcony,100₹,329,0
Telangana,Hyderabad,Saptagiri70Mm4KDolbyDigitalRtcXRoads,Telugu,11:00,Balcony,150₹,354,0
Telangana,Hyderabad,Saptagiri70Mm4KDolbyDigitalRtcXRoads,Telugu,11:00,FirstClass,100₹,414,0
Telangana,Sadasivpet,Jyothi70MmSadasivpet,Telugu,11:00,Balcony,110₹,377,0
Telangana,Sadasivpet,Jyothi70MmSadasivpet,Telugu,11:00,FirstClass,80₹,419,0
AndhraPradesh,Tandur,ShanthMahalTalkiesTandur,Telugu,11:00,Balcony,110₹,412,57
AndhraPradesh,Tandur,ShanthMahalTalkiesTandur,Telugu,11:00,DressCircle,80₹,76,0
Telangana,Jadcherla,Srinvasa70MmACJadcherla,Telugu,11:00,Balcony,110₹,371,0
,Sathupally,SriSaiBalajiTheatreSathupally,Telugu,11:00,Balcony,100₹,290,0
,Sathupally,SriSaiBalajiTheatreSathupally,Telugu,11:00,DressCircle,80₹,148,0
Telangana,Huzurabad,NatrajTheatreHuzurabad,Telugu,11:00,Balcony,110₹,320,0
AndhraPradesh,Bhimavaram,SriPadmalayaCineComplexAC2KDolbyBhimavara,Telugu,11:00,FirstClass,120₹,79,0
Karnataka,Bellary,NatrajTheatreBellary,Telugu,11:00,GoldClass,150₹,212,56
Karnataka,Bellary,NatrajTheatreBellary,Telugu,11:00,SecondClass,100₹,424,110
AndhraPradesh,VizagVisakhapatnam,InoxCmrCentralMaddilapalem,Telugu,11:05,Executive,177₹,236,13
AndhraPradesh,Amalapuram,VenkataPadmavathiCineplexAmalapuram,Telugu,11:10,Platinum,110₹,195,50
