State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Maharashtra,Pune,ESquareEliteXionMallHinjawadiPune,Hindi,08:30,3DRecliner,250₹,10,0
Maharashtra,Pune,ESquareEliteXionMallHinjawadiPune,Hindi,08:30,3DSofaPlatinum,180₹,36,7
Maharashtra,Pune,ESquareEliteXionMallHinjawadiPune,Hindi,08:30,3DSofaGold,130₹,9,3
Gujarat,Surat,RoongtaCinemasShyamMandirVesuSurat,Hindi,09:00,3DRoyalRecliner,300₹,43,0
Gujarat,Surat,CinezzaMultiplexSurat,Hindi,09:00,RoyalSofa,180₹,41,0
Gujarat,Surat,CinezzaMultiplexSurat,Hindi,09:00,Executive,140₹,208,0
Gujarat,Surat,CinezzaMultiplexSurat,Hindi,09:00,Club,140₹,122,0
Jharkhand,Ranchi,PvrNucleusMallRanchi,English,09:00,PrimePlus,260₹,15,1
Jharkhand,Ranchi,PvrNucleusMallRanchi,English,09:00,Prime,230₹,72,15
Jharkhand,Ranchi,PvrNucleusMallRanchi,English,09:00,ClassicPlus,210₹,98,0
Jharkhand,Ranchi,PvrNucleusMallRanchi,English,09:00,Classic,152₹,28,0
Maharashtra,Pune,CityPrideRoyalCinemasRahatani,English,09:00,New3DSofa,230₹,12,3
Maharashtra,Pune,CityPrideRoyalCinemasRahatani,English,09:00,New3DGold,200₹,117,20
Maharashtra,Pune,CityPrideRoyalCinemasRahatani,English,09:00,New3DSilver,180₹,35,0
Gujarat,Ahmedabad,MuktaA2CinemasGulmoharParkMallSatelliteRd,Hindi,09:00,Lounge,180₹,76,0
Karnataka,Dharwad,InoxSmartcityMallDharwad,English,09:00,RoyalRecliner,270₹,16,4
Karnataka,Dharwad,InoxSmartcityMallDharwad,English,09:00,Club,160₹,63,10
Karnataka,Dharwad,InoxSmartcityMallDharwad,English,09:00,Executive,160₹,119,7
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,09:00,Royal,400₹,64,27
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,09:00,Club,370₹,16,0
MadhyaPradesh,Bhopal,CinepolisDbMallBhopal,English,09:00,Normal,210₹,60,0
MadhyaPradesh,Bhopal,CinepolisDbMallBhopal,English,09:00,Executive,210₹,113,5
Maharashtra,Pune,InoxMegaplexPhoenixMallOfTheMillennium,English,09:00,Prime,200₹,80,12
Maharashtra,Pune,InoxMegaplexPhoenixMallOfTheMillennium,English,09:00,Classic,190₹,24,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,09:00,Recliner,350₹,24,6
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,09:00,Classic,190₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,09:00,Prime,190₹,146,24
Maharashtra,Pune,PvrGrandHighstreetMallHinjawadi,English,09:00,Recliner,300₹,11,3
Maharashtra,Pune,PvrGrandHighstreetMallHinjawadi,English,09:00,PrimePlus,200₹,85,20
Maharashtra,Pune,PvrGrandHighstreetMallHinjawadi,English,09:00,Prime,170₹,56,3
Maharashtra,Pune,PvrGrandHighstreetMallHinjawadi,English,09:00,Classic,140₹,28,0
Telangana,Hyderabad,PlatinumMovietimeCinemaGachibowliSlnTerminus,English,09:00,PlatinumPremiumRecliner,350₹,15,2
Telangana,Hyderabad,PlatinumMovietimeCinemaGachibowliSlnTerminus,English,09:00,PlatinumRecliners,350₹,24,2
Maharashtra,Mumbai,MaxusCinemasBorivaliW,English,09:00,Couple,249₹,26,26
Maharashtra,Mumbai,MaxusCinemasBorivaliW,English,09:00,Recliner,249₹,42,42
Maharashtra,Thane,CinepolisVivianaMallThane,English,09:00,Normal,340₹,108,13
Maharashtra,Mumbai,MaisonInoxJioWorldPlazaBkc,English,09:00,PrimePlus,380₹,105,16
Maharashtra,Mumbai,MaisonInoxJioWorldPlazaBkc,English,09:00,Prime,330₹,35,0
Maharashtra,Pune,InoxBundGardenRoad,English,09:05,Royale,330₹,34,2
Goa,Goa,InoxOldGmcDbRoadPanaji,English,09:05,Royal,200₹,105,10
Goa,Goa,InoxOldGmcDbRoadPanaji,English,09:05,Club,170₹,90,0
Goa,Goa,InoxOldGmcDbRoadPanaji,English,09:05,Executive,170₹,36,0
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,English,09:05,Premier,190₹,151,6
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,English,09:05,Silver,190₹,42,17
Maharashtra,NaviMumbai,InoxRaghuleelaMallVashi,English,09:05,Executive,170₹,30,3
Jharkhand,Bokaro,PvrBokaro,Hindi,09:10,Prime,160₹,109,21
Jharkhand,Bokaro,PvrBokaro,Hindi,09:10,Classic,145₹,84,5
MadhyaPradesh,Gwalior,InoxDbMallGwalior,English,09:10,Royale,210₹,66,10
MadhyaPradesh,Gwalior,InoxDbMallGwalior,English,09:10,Club,170₹,55,0
MadhyaPradesh,Gwalior,InoxDbMallGwalior,English,09:10,Executive,170₹,22,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBhopal,Hindi,09:10,Normal,130₹,30,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBhopal,Hindi,09:10,Executive,140₹,102,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBhopal,Hindi,09:10,Premium,150₹,83,0
Maharashtra,Mumbai,FunCinemasKStarMallChembur,English,09:10,Normal,160₹,112,0
Maharashtra,Mumbai,FunCinemasKStarMallChembur,English,09:10,Executive,160₹,121,0
Maharashtra,Mumbai,FunCinemasKStarMallChembur,English,09:10,Premium,180₹,36,0
Maharashtra,Nagpur,InoxJaswantTuliMallKampteeRoad,English,09:15,Royale,200₹,71,23
Maharashtra,Nagpur,InoxJaswantTuliMallKampteeRoad,English,09:15,Club,170₹,173,28
Maharashtra,Nagpur,InoxJaswantTuliMallKampteeRoad,English,09:15,Executive,150₹,49,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Hindi,09:15,RoyaleRecliners,290₹,16,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Hindi,09:15,Club,190₹,39,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Hindi,09:15,Executive,190₹,26,0
Maharashtra,Pune,InoxRoyalHeritageMallNibmExt,Hindi,09:15,Royale,190₹,26,5
Karnataka,Bengaluru,PvrGlobalMall4DxMysoreRoadBengaluru,English,09:15,Classic,370₹,92,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:15,Executive,170₹,36,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:15,Premiere,170₹,126,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:15,Silver,170₹,108,10
Gujarat,Silvassa,TheCineStationSilvassa,English,09:15,Box,500₹,9,0
Gujarat,Silvassa,TheCineStationSilvassa,English,09:15,Platinum,300₹,17,5
Gujarat,Silvassa,TheCineStationSilvassa,English,09:15,Gold,150₹,252,163
Karnataka,Bengaluru,Pvr4DxForumMallKanakapuraRoad,English,09:15,Classic,330₹,48,9
Karnataka,Bengaluru,Pvr4DxForumMallKanakapuraRoad,English,09:15,Prime,350₹,48,12
Jharkhand,Jamshedpur,PjpCinepolisJamshedpur,Hindi,09:20,Normal,180₹,22,0
Jharkhand,Jamshedpur,PjpCinepolisJamshedpur,Hindi,09:20,Executive,200₹,33,6
Jharkhand,Jamshedpur,PjpCinepolisJamshedpur,Hindi,09:20,Premium,220₹,59,35
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,English,09:20,3DSilver,110₹,34,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,English,09:20,3DGold,130₹,162,0
