State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Orissa,Bhubaneswar,SwatiCineplexxChristie4KLaserDolbyAtmos,Telugu,08:30,LuxuriousRecliner,249₹,32,1
Orissa,Bhubaneswar,SwatiCineplexxChristie4KLaserDolbyAtmos,Telugu,08:30,SofaSlider,149₹,76,0
Orissa,Bhubaneswar,SwatiCineplexxChristie4KLaserDolbyAtmos,Telugu,08:30,Diamond,130₹,192,0
Orissa,Bhubaneswar,SwatiCineplexxChristie4KLaserDolbyAtmos,Telugu,08:30,Gold,110₹,75,0
Maharashtra,Pune,BollywoodMultiplexKharadi,Telugu,09:15,Gold,70₹,62,3
Maharashtra,Pune,BollywoodMultiplexKharadi,Telugu,09:15,Silver,70₹,10,0
Telangana,Hyderabad,PlatinumMovietimeGachibowli,Telugu,09:45,PlatinumPremiumRecliner,350₹,18,0
Telangana,Hyderabad,PlatinumMovietimeGachibowli,Telugu,09:45,PlatinumRecliners,350₹,40,2
AndhraPradesh,Vijayawada,PvrRipplesVijayawada,Telugu,10:05,Classic,177₹,182,182
AndhraPradesh,Vijayawada,PvrRipplesVijayawada,Telugu,10:05,Recliner,295₹,13,13
Telangana,Hyderabad,InoxGvkOneBanjaraHills,Telugu,10:05,Royal,250₹,14,9
Telangana,Hyderabad,InoxGvkOneBanjaraHills,Telugu,10:05,Executive,150₹,257,35
Telangana,Hyderabad,InoxSattvaNecklaceMallKavadiguda,Telugu,10:05,Royal,250₹,16,6
Telangana,Hyderabad,InoxSattvaNecklaceMallKavadiguda,Telugu,10:05,Executive,150₹,149,8
UttarPradesh,NationalCapitalRegionNcr,PvrAmbienceGurgaon,Telugu,10:05,ClassicNormal,200₹,119,1
UttarPradesh,NationalCapitalRegionNcr,PvrAmbienceGurgaon,Telugu,10:05,Prime,200₹,49,0
AndhraPradesh,VizagVisakhapatnam,InoxCmrCentralGajuwaka,Telugu,10:10,Executive,177₹,220,21
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,10:10,Royal,295₹,19,6
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,10:10,Club,177₹,302,24
AndhraPradesh,Warangal,PvrMaddoxWarangal,Telugu,10:25,Classic,150₹,97,0
Telangana,Hyderabad,PrasadsHyderabad,Telugu,10:30,Executive,200₹,364,2
Telangana,Hyderabad,GprMultiplexNizampetHyderabad,Telugu,10:30,Sofa,250₹,12,2
Telangana,Hyderabad,GprMultiplexNizampetHyderabad,Telugu,10:30,Gold,200₹,218,7
AndhraPradesh,VizagVisakhapatnam,MouryaTheaterACDtsGopalapatnam,Telugu,10:30,Balcony,112₹,210,0
Telangana,Hyderabad,PvrMallapurHyderabad,Telugu,10:30,Classic,150₹,201,20
Telangana,Hyderabad,PvrPrestonPrimeGachibowliHyderabad,Telugu,10:30,Classic,150₹,217,8
AndhraPradesh,VizagVisakhapatnam,InoxCmrCentralMaddilapalem,Telugu,10:35,Executive,177₹,161,26
Telangana,Hyderabad,PvrIrrumManzilHyderabad,Telugu,10:35,Classic,150₹,158,9
Telangana,Hyderabad,PvrIrrumManzilHyderabad,Telugu,10:35,Recliner,250₹,10,6
AndhraPradesh,Mangalagiri,SriVenkateswaraACDtsMangalagiri,Telugu,10:40,PremiumSofa,112₹,50,34
AndhraPradesh,Mangalagiri,SriVenkateswaraACDtsMangalagiri,Telugu,10:40,PremiumBalcony,112₹,151,75
AndhraPradesh,Mangalagiri,SriVenkateswaraACDtsMangalagiri,Telugu,10:40,PremiumFirstClass,112₹,119,39
AndhraPradesh,Mangalagiri,SriVenkateswaraACDtsMangalagiri,Telugu,10:40,NonPremiumSecondClass,78₹,112,46
AndhraPradesh,Warangal,AsianSrideviMultiplexHanumakonda,Telugu,10:40,Gold,180₹,308,46
AndhraPradesh,Warangal,AsianSrideviMultiplexHanumakonda,Telugu,10:40,Silver,150₹,30,0
Telangana,Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,Telugu,10:40,Sofa,180₹,14,0
Telangana,Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,Telugu,10:40,Gold,150₹,133,60
Telangana,Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,Telugu,10:40,Loungers,150₹,12,0
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:40,Classic,150₹,170,20
AndhraPradesh,VizagVisakhapatnam,StblCineWorldMadhurawadaVizag,Telugu,10:40,Recliners,250₹,341,0
AndhraPradesh,VizagVisakhapatnam,StblCineWorldMadhurawadaVizag,Telugu,10:40,Premium,145₹,341,0
AndhraPradesh,VizagVisakhapatnam,StblCineWorldMadhurawadaVizag,Telugu,10:40,Executive,100₹,341,0
Telangana,Hyderabad,PvrMusarambaghHyderabad,Telugu,10:40,Classic,150₹,160,18
AndhraPradesh,Vizianagaram,InoxNcsMallVizianagaram,Telugu,10:40,Exclusive,177₹,216,18
AndhraPradesh,VizagVisakhapatnam,ShriLakshmiNarasimhaTheatreKothavalasaVizag,Telugu,10:45,Premium,100₹,188,0
AndhraPradesh,VizagVisakhapatnam,ShriLakshmiNarasimhaTheatreKothavalasaVizag,Telugu,10:45,NonPremium,100₹,188,0
Telangana,Hyderabad,PvrInorbitCyberabad,Telugu,10:45,Classic,150₹,147,16
AndhraPradesh,VizagVisakhapatnam,InoxVizagChitralayaMall,Telugu,10:45,Executive,177₹,122,14
AndhraPradesh,VizagVisakhapatnam,StblCineWorldSheelanagarVizag,Telugu,10:50,Club,145₹,168,8
AndhraPradesh,VizagVisakhapatnam,StblCineWorldSheelanagarVizag,Telugu,10:50,Executive,100₹,42,4
Punjab,Jalandhar,PvrFriendsJalandhar,Telugu,10:50,Classic,140₹,48,2
Punjab,Jalandhar,PvrFriendsJalandhar,Telugu,10:50,Prime,170₹,73,32
Telangana,Hyderabad,PvrIconHitechMadhapurHyderabad,Telugu,10:50,Classic,150₹,143,62
Telangana,Hyderabad,AmbCinemasGachibowli,Telugu,10:50,Platinum,350₹,12,1
Telangana,Hyderabad,AmbCinemasGachibowli,Telugu,10:50,Gold,295₹,132,23
Telangana,Hyderabad,AmbCinemasGachibowli,Telugu,10:50,Loungers,295₹,14,4
Telangana,Hyderabad,PvrRkCineplexHyderabad,Telugu,10:55,Classic,150₹,248,248
Telangana,Hyderabad,PvrRkCineplexHyderabad,Telugu,10:55,Recliner,250₹,22,22
Telangana,Hyderabad,PvrForumSujanaMallKukatpallyHyderabad,Telugu,10:55,Classic,150₹,232,21
Telangana,Hyderabad,PvrForumSujanaMallKukatpallyHyderabad,Telugu,10:55,Recliner,250₹,12,11
