State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Maharashtra,Kalyan,InoxMetroMallJunctionKalyanE,Malayalam,09:35,Execuitve,₹112,37,0
Maharashtra,Kalyan,InoxMetroMallJunctionKalyanE,Malayalam,09:35,Premier,₹112,179,52
Maharashtra,Kalyan,InoxMetroMallJunctionKalyanE,Malayalam,09:35,Silver,₹112,119,21
Maharashtra,Mumbai,PvrCitiMallAndheriW,Malayalam,09:45,Recliner,₹200,24,2
Maharashtra,Mumbai,PvrCitiMallAndheriW,Malayalam,09:45,Classic,₹112,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Malayalam,09:45,Prime,₹112,146,17
Kerala,Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:00,Recliner,₹400,27,0
Kerala,Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:00,Premium,₹180,165,7
Kerala,Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:00,Executive,₹100,40,4
Kerala,Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,10:00,Silver,₹160,26,0
Kerala,Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,10:00,Gold,₹180,65,5
Kerala,Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,10:00,Platinum,₹200,40,5
Kerala,Kozhikode,ArcCoronation4KDolbyAtmos,Malayalam,10:00,Sofa,₹250,46,46
Kerala,Kozhikode,ArcCoronation4KDolbyAtmos,Malayalam,10:00,Elite,₹160,180,180
Kerala,Kumarakom,VelvetViewCinemasKumarakom,Malayalam,10:00,Platinum,₹250,14,0
Kerala,Kumarakom,VelvetViewCinemasKumarakom,Malayalam,10:00,Gold,₹150,96,3
Kerala,Kumarakom,VelvetViewCinemasKumarakom,Malayalam,10:00,Silver,₹100,28,0
Kerala,Kadalundi,ChithraCineplex4KDtsXKozhikodeMannurValavu,Malayalam,10:00,Sofa,₹200,21,0
Kerala,Kadalundi,ChithraCineplex4KDtsXKozhikodeMannurValavu,Malayalam,10:00,Gold,₹129.8,220,0
Kerala,Kochi,PvrForumMallKochi,Malayalam,10:15,Recliner,₹500,10,10
Kerala,Kochi,PvrForumMallKochi,Malayalam,10:15,Elite,₹200,111,50
Kerala,Kochi,PvrForumMallKochi,Malayalam,10:15,Classic,₹180,24,1
Kerala,Kollam,JbCinemas4K3DNallila,Malayalam,10:15,RedBox,₹150,15,0
Kerala,Kollam,JbCinemas4K3DNallila,Malayalam,10:15,Red,₹129.83,232,4
Maharashtra,Mumbai,InoxRCityGhatkopar,Malayalam,10:15,RoyalRecliner,₹200,14,3
Maharashtra,Mumbai,InoxRCityGhatkopar,Malayalam,10:15,Club,₹112,65,0
Maharashtra,Mumbai,InoxRCityGhatkopar,Malayalam,10:15,Executive,₹112,35,0
Maharashtra,Mumbai,InoxRCityGhatkopar,Malayalam,10:15,Royal,₹112,48,1
Karnataka,Bengaluru,GalaxyParadiseMiniplexBegurRoad,Malayalam,10:25,Gold,₹150,120,20
Kerala,Thalayolaparambu,MyCinemasThalayolaparambuKerala,Malayalam,10:30,Gold,₹110,204,10
Kerala,Alakode,AlakodeFilmCity4KDolbyAtmos,Malayalam,10:30,Nakshatra,₹160,212,0
Kerala,Kochi,SavitaCinemaKochi,Malayalam,10:30,Deluxe,₹150,555,555
Kerala,Kanhangad,VgmMultiplexAC2K71Dolby,Malayalam,10:30,VgmBlue,₹190,241,19
Kerala,Karunagapally,TnpTheatreKarunagappally,Malayalam,10:30,SpecialClass,₹90,445,205
Kerala,Kozhikode,EMaxCinemasDolbyAtmosRgbLaserCalicut,Malayalam,10:30,Audi2,₹160,165,4
Kerala,Kuthuparamba,BabyCinemasKuthuparamba,Malayalam,10:30,Standard,₹110,168,0
Kerala,Kasaragod,MoviemaxCircleKasaragod,Malayalam,10:30,Max2,₹129.8,195,4
Kerala,Payyanur,ArchanaCineplexRgbLaser4K3DAtmosPayyanur,Malayalam,10:30,Standard,₹129.7,131,0
Kerala,Vadakara,KirthiMudra4KRgbLaserDolbyAtmos,Malayalam,10:30,Platinum,₹250,17,0
Kerala,Vadakara,KirthiMudra4KRgbLaserDolbyAtmos,Malayalam,10:30,Gold,₹150,192,0
Kerala,Vadakara,KirthiMudra4KRgbLaserDolbyAtmos,Malayalam,10:30,Silver,₹100,225,1
Kerala,Mavellikara,SanthoshVallakaliCineComplex,Malayalam,10:45,KingCircle,₹110,256,56
Kerala,Kollam,RevathyCinemaxRgbRealLaserParippally,Malayalam,10:45,Platinum,₹250,65,0
Kerala,Kollam,RevathyCinemaxRgbRealLaserParippally,Malayalam,10:45,Gold,₹150,553,12
Maharashtra,Mumbai,FunCinemasKStarMallChembur,Malayalam,10:45,Normal,₹150,106,1
Maharashtra,Mumbai,FunCinemasKStarMallChembur,Malayalam,10:45,Executive,₹150,72,0
Maharashtra,Mumbai,FunCinemasKStarMallChembur,Malayalam,10:45,Premium,₹150,46,1
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,Malayalam,10:45,Classic,₹112,90,0
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,Malayalam,10:45,Prime,₹112,117,24
Kerala,Trivandrum,SpCinemas2KAuro111Peyad,Malayalam,11:00,GoldA,₹200,30,0
Kerala,Trivandrum,SpCinemas2KAuro111Peyad,Malayalam,11:00,GoldB,₹200,30,0
Kerala,Trivandrum,SpCinemas2KAuro111Peyad,Malayalam,11:00,Friends,₹150,413,13
Kerala,Kottayam,AshaTheatreKottayam,Malayalam,11:00,Gold,₹130,187,140
Kerala,Kottayam,AshaTheatreKottayam,Malayalam,11:00,Silver,₹110,33,2
Kerala,SultanBathery,MintCinemasAC2K3DSulthanBathery,Malayalam,11:00,Platinum,₹129.7,44,11
Kerala,SultanBathery,MintCinemasAC2K3DSulthanBathery,Malayalam,11:00,Gold,₹110,82,9
Kerala,Pathanamthitta,TrinityMovieMaxPathanamthitta,Malayalam,11:00,Special,₹130,110,9
Kerala,Changanassery,AnuAbhinayaCineplex4KDolby71Changanassery,Malayalam,11:00,Lounge,₹160,199,3
Kerala,Changanassery,AnuAbhinayaCineplex4KDolby71Changanassery,Malayalam,11:00,Club,₹110,26,0
Kerala,Changanassery,AnuAbhinayaCineplex4KDolby71Changanassery,Malayalam,11:00,Prime,₹140,387,1
Kerala,Angamaly,FourStarMoviesManjapraAngamaly,Malayalam,11:00,Platinum,₹170,16,0
Kerala,Angamaly,FourStarMoviesManjapraAngamaly,Malayalam,11:00,Gold,₹129,222,9
Kerala,Kochi,AashirvadCineplexxPerumbavoor,Malayalam,11:00,Platinum,₹165,116,7
Kerala,Kochi,AashirvadCineplexxPerumbavoor,Malayalam,11:00,Gold,₹140,260,21
Kerala,Haripad,MLalCineplexxAashirvadHaripad,Malayalam,11:00,Recliner,₹350,11,0
Kerala,Haripad,MLalCineplexxAashirvadHaripad,Malayalam,11:00,Platinum,₹170,47,5
Kerala,Haripad,MLalCineplexxAashirvadHaripad,Malayalam,11:00,Gold,₹150,101,5
Kerala,Haripad,MLalCineplexxAashirvadHaripad,Malayalam,11:00,Silver,₹90,17,0
Kerala,Thiruvalla,AashirvadCineplexxKadappra,Malayalam,11:00,SofaSeat,₹275,21,1
Kerala,Thiruvalla,AashirvadCineplexxKadappra,Malayalam,11:00,Platinum,₹175,68,4
Kerala,Thiruvalla,AashirvadCineplexxKadappra,Malayalam,11:00,Gold,₹155,124,4
