State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Maharashtra,Parbhani,ESquareAnusayaParbhani,Marathi,11:30,Box,300₹,10,2
Maharashtra,Parbhani,ESquareAnusayaParbhani,Marathi,11:30,Platinum,200₹,37,0
Maharashtra,Parbhani,ESquareAnusayaParbhani,Marathi,11:30,Gold,170₹,44,0
Maharashtra,Parbhani,ESquareAnusayaParbhani,Marathi,11:30,Silver,170₹,9,0
Maharashtra,Kalyan,InoxMetroMallJunctionKalyanE,Marathi,12:15,Gold,250₹,46,8
Maharashtra,Nanded,BharatESquareNanded,Marathi,12:30,Platinum,200₹,113,0
Maharashtra,Nanded,BharatESquareNanded,Marathi,12:30,Gold,170₹,48,0
Maharashtra,Pune,CityPrideSataraRoad,Marathi,12:40,RoyalGold,150₹,81,9
Maharashtra,Pune,CityPrideSataraRoad,Marathi,12:40,RoyalSilver,130₹,9,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,13:30,Normal,200₹,49,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,13:30,Executive,220₹,74,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,13:30,Premium,240₹,60,10
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Marathi,13:30,Vip,440₹,14,0
Maharashtra,Pune,InoxMegaplexPhoenixMallOfTheMillennium,Marathi,13:30,Prime,220₹,110,8
Maharashtra,Pune,InoxMegaplexPhoenixMallOfTheMillennium,Marathi,13:30,Classic,190₹,22,0
Maharashtra,Jalgaon,StarMultiplexJalgaon,Marathi,13:30,Premium,400₹,4,0
Maharashtra,Jalgaon,StarMultiplexJalgaon,Marathi,13:30,Luxary,300₹,10,0
Maharashtra,Jalgaon,StarMultiplexJalgaon,Marathi,13:30,Comfort,110₹,55,0
Maharashtra,Jalgaon,StarMultiplexJalgaon,Marathi,13:30,Classic,80₹,22,0
Maharashtra,Mumbai,PvrLodhaXperiaPalava,Marathi,13:40,Recliner,300₹,12,0
Maharashtra,Mumbai,PvrLodhaXperiaPalava,Marathi,13:40,Classic,150₹,36,0
Maharashtra,Mumbai,PvrLodhaXperiaPalava,Marathi,13:40,Prime,150₹,126,24
Maharashtra,Pune,CityPrideKothrud,Marathi,17:00,RoyalGold,200₹,149,14
Maharashtra,Pune,CityPrideKothrud,Marathi,17:00,RoyalSilver,180₹,22,0
Maharashtra,Pune,AbhiruchiCityPrideSinhagadRoad,Marathi,19:30,RoyalSofa,250₹,12,2
Maharashtra,Pune,AbhiruchiCityPrideSinhagadRoad,Marathi,19:30,RoyalGold,200₹,123,12
Maharashtra,Pune,AbhiruchiCityPrideSinhagadRoad,Marathi,19:30,RoyalSilver,180₹,30,0
Maharashtra,Aurangabad,AbhinayAurangabad,Marathi,19:45,Diamond,140₹,45,0
Maharashtra,Aurangabad,AbhinayAurangabad,Marathi,19:45,Ruby,130₹,90,0
Maharashtra,Aurangabad,AbhinayAurangabad,Marathi,19:45,Emrald,110₹,96,0
