State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Telangana,Hyderabad,AaaCinemasAmeerpet,Telugu,10:30,SemiRecliner,₹300,17,0
Telangana,Hyderabad,AaaCinemasAmeerpet,Telugu,10:30,Gold,₹200,287,43
AndhraPradesh,Narsipatnam,PvrSreeKanyaNarsipatnam,Telugu,10:35,ClassicPlus,₹150,252,21
AndhraPradesh,Narsipatnam,PvrSreeKanyaNarsipatnam,Telugu,10:35,Classic,₹60,42,0
AndhraPradesh,Srikakulam,MithraMovieMaxSrikakulam,Telugu,11:00,Balcony,₹145,264,0
AndhraPradesh,Nallajerla,SriSrinivasaTheaterACDtsNallajerla,Telugu,11:00,FirstClass,₹120,194,0
Telangana,Hyderabad,PvrAtriumGachibowliHyderabad,Telugu,11:30,Recliner,₹250,12,1
Telangana,Hyderabad,PvrAtriumGachibowliHyderabad,Telugu,11:30,Classic,₹112,113,16
AndhraPradesh,Kurnool,InoxJyotiMallKurnool,Telugu,12:50,Executive,₹177,247,22
Telangana,Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,Telugu,13:35,Recliners,₹200,24,0
Telangana,Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,Telugu,13:35,Couples,₹200,40,0
Telangana,Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,Telugu,13:35,Gold,₹150,370,0
Telangana,Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,Telugu,13:35,Loungers,₹150,13,0
Telangana,Hyderabad,AsianCineSquareMultiplexUppal,Telugu,13:40,Sofa,₹200,19,19
Telangana,Hyderabad,AsianCineSquareMultiplexUppal,Telugu,13:40,Gold,₹150,477,60
Telangana,Hyderabad,InoxAshokaOneMallKukatpallyYJunction,Telugu,14:00,Royale,₹200,12,1
Telangana,Hyderabad,InoxAshokaOneMallKukatpallyYJunction,Telugu,14:00,Executive,₹112,174,1
Telangana,Hyderabad,PvrCentralMallPanjagutta,Telugu,14:05,Classic,₹112,255,12
Telangana,Nizamabad,PvrVenuMallNizamabad,Telugu,14:10,Recliner,₹250,16,0
Telangana,Nizamabad,PvrVenuMallNizamabad,Telugu,14:10,Classic,₹112,354,25
AndhraPradesh,Telaprolu,PvrRipplesVijayawada,Telugu,14:20,Recliner,₹295,13,0
AndhraPradesh,Telaprolu,PvrRipplesVijayawada,Telugu,14:20,Classic,₹177,167,18
Telangana,Hyderabad,PvrPrestonGachibowliHyderabad,Telugu,14:30,Classic,₹112,256,41
AndhraPradesh,Gudivada,G3BhaskarTalkiesGudivada,Telugu,14:30,FirstClass,₹112,103,0
AndhraPradesh,Gudivada,G3BhaskarTalkiesGudivada,Telugu,14:30,SecondClass,₹90,38,0
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,15:10,Royal,₹250,11,4
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,15:10,Executive,₹112,152,7
Telangana,Hyderabad,AsianCinemartRcPuram,Telugu,16:35,Sofa,₹200,17,17
Telangana,Hyderabad,AsianCinemartRcPuram,Telugu,16:35,Platinum,₹150,302,0
AndhraPradesh,Kakinada,InoxSrmtMallKakinada,Telugu,16:40,Executive,₹112,146,7
AndhraPradesh,Vizianagaram,InoxNcsMallVizianagaram,Telugu,16:50,Exclusive,₹177,216,30
Telangana,Hyderabad,CinepolisDslVirtueMallUppalHyderabad,Telugu,17:05,Normal,₹150,25,25
Telangana,Hyderabad,CinepolisDslVirtueMallUppalHyderabad,Telugu,17:05,Executive,₹150,129,129
Telangana,Hyderabad,CinepolisDslVirtueMallUppalHyderabad,Telugu,17:05,Vip,₹250,10,10
Telangana,Hyderabad,PvrMallapurRoadCinema,Telugu,17:15,Classic,₹112,201,14
Telangana,Hyderabad,PvrNexusMallKukatpallyHyderabad,Telugu,17:20,Recliner,₹250,12,5
Telangana,Hyderabad,PvrNexusMallKukatpallyHyderabad,Telugu,17:20,Classic,₹112,232,6
AndhraPradesh,Guntur,PvrGunturNaazCenterRoad,Telugu,17:25,Recliner,₹295,12,0
AndhraPradesh,Guntur,PvrGunturNaazCenterRoad,Telugu,17:25,Classic,₹177,150,15
Telangana,Hyderabad,PvrIrrumManzilHyderabad,Telugu,17:30,Recliner,₹250,10,1
Telangana,Hyderabad,PvrIrrumManzilHyderabad,Telugu,17:30,Classic,₹112,94,14
Karnataka,Raichur,MirajCinemasRaichur,Telugu,17:30,Gold,₹190,61,0
Karnataka,Raichur,MirajCinemasRaichur,Telugu,17:30,Executive,₹170,90,0
Karnataka,Raichur,MirajCinemasRaichur,Telugu,17:30,Silver,₹150,30,0
Telangana,Hyderabad,MirajCinemasGeetaChandanagar,Telugu,17:30,Gold,₹250,32,2
Telangana,Hyderabad,MirajCinemasGeetaChandanagar,Telugu,17:30,Executive,₹112,292,0
Telangana,Hyderabad,MirajCinemasA2ACentralMallBalanagar,Telugu,17:30,Executive,₹112,260,0
Telangana,Hyderabad,MirajCinemasA2ACentralMallBalanagar,Telugu,17:30,Gold,₹250,25,0
Telangana,Warangal,PvrWarangalMaddoxMall,Telugu,17:40,Classic,₹112,253,21
Telangana,Hyderabad,PvrMusarambaghHyderabad,Telugu,17:50,Recliner,₹250,8,0
Telangana,Hyderabad,PvrMusarambaghHyderabad,Telugu,17:50,Classic,₹112,188,18
Telangana,Karimnagar,SriThirumalaTheatreKarimnagar,Telugu,18:00,Balcony,₹100,440,60
Telangana,Karimnagar,SriThirumalaTheatreKarimnagar,Telugu,18:00,DressCircle,₹70,120,0
Telangana,Hyderabad,PvrInorbitCyberabad,Telugu,18:00,Classic,₹112,161,32
AndhraPradesh,Vizag,SriVenkateswaraTheatresDolby712KACVizag,Telugu,18:30,FirstClass,₹140,167,46
AndhraPradesh,Vizag,SriVenkateswaraTheatresDolby712KACVizag,Telugu,18:30,SecondClass,₹70,57,14
AndhraPradesh,Vizag,SriVenkateswaraTheatresDolby712KACVizag,Telugu,18:30,ThirdClass,₹50,82,25
AndhraPradesh,Srikakulam,MithraMovieMaxSrikakulam,Telugu,18:30,Balcony,₹145,264,0
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,20:25,Classic,₹112,152,4
Telangana,Armoor,PvrJeevanReddyMallArmoor,Telugu,21:15,Recliner,₹250,16,0
Telangana,Armoor,PvrJeevanReddyMallArmoor,Telugu,21:15,Classic,₹112,316,21
AndhraPradesh,Gudivada,G3BhaskarTalkiesGudivada,Telugu,21:30,FirstClass,₹112,103,0
AndhraPradesh,Gudivada,G3BhaskarTalkiesGudivada,Telugu,21:30,SecondClass,₹90,38,0
AndhraPradesh,Vijayawada,InoxUrvasiComplexGandhiNagar,Telugu,21:40,Club,₹177,282,16
AndhraPradesh,Narsipatnam,PvrSreeKanyaNarsipatnam,Telugu,22:00,ClassicPlus,₹150,171,19
AndhraPradesh,Narsipatnam,PvrSreeKanyaNarsipatnam,Telugu,22:00,Classic,₹60,29,0
Telangana,Hyderabad,JpCinemasChandanagar,Telugu,22:25,Recliner,₹200,23,23
Telangana,Hyderabad,JpCinemasChandanagar,Telugu,22:25,Gold,₹150,230,230
AndhraPradesh,Vizag,InoxVizagChitralayaMall,Telugu,22:40,Executive,₹177,134,16
Telangana,Hyderabad,CinepolisCcplMallMalkajgiriHyderabad,Telugu,22:45,Executive,₹150,116,116
