City,Name,Language,Time,Type,Price,Capacity,Booked
Mumbai,InoxMetroMallJunctionKalyanE,Marathi,12:05,Gold,260₹,46,34
Mumbai,InoxRaghuleelaMallKandivaliW,Marathi,12:10,Gold,180₹,157,30
Mumbai,InoxRaghuleelaMallKandivaliW,Marathi,12:10,Premiere,180₹,51,0
Mumbai,MovietimeTheHubGoregaon,Marathi,13:00,Mhraja,150₹,44,26
Mumbai,CinepolisVipVivianaMallThane,Marathi,13:30,Vip,400₹,70,44
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,Marathi,13:30,Normal,200₹,49,35
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,Marathi,13:30,Executive,220₹,94,53
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,Marathi,13:30,Premium,240₹,80,74
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,Marathi,13:30,Vip,440₹,14,10
Pune,InoxAmanoraTownCentreHadapsar,Marathi,14:00,Royale,340₹,5,4
Pune,InoxAmanoraTownCentreHadapsar,Marathi,14:00,Club,180₹,119,14
Pune,InoxAmanoraTownCentreHadapsar,Marathi,14:00,Executive,180₹,21,0
Pune,CityPrideKothrud,Marathi,14:15,RoyalGold,250₹,149,143
Pune,CityPrideKothrud,Marathi,14:15,RoyalSilver,230₹,22,22
Mumbai,InoxKorumMallEasternExpressHighwayThane,Marathi,15:00,Royal,330₹,24,6
Mumbai,InoxKorumMallEasternExpressHighwayThane,Marathi,15:00,Club,230₹,162,85
Mumbai,InoxKorumMallEasternExpressHighwayThane,Marathi,15:00,Executive,200₹,75,0
Kolhapur,InoxRelianceMegaMallKolhapur,Marathi,15:20,Club,190₹,84,0
Kolhapur,InoxRelianceMegaMallKolhapur,Marathi,15:20,Executive,190₹,28,0
Kolhapur,InoxRelianceMegaMallKolhapur,Marathi,15:20,Royale,190₹,27,22
Nagpur,CinepolisVrMallNagpur,Marathi,15:35,Normal,160₹,20,5
Nagpur,CinepolisVrMallNagpur,Marathi,15:35,Executive,180₹,40,39
Nagpur,CinepolisVrMallNagpur,Marathi,15:35,Premium,200₹,39,36
Nagpur,CinepolisVrMallNagpur,Marathi,15:35,Vip,400₹,8,6
Pune,InoxJaiGaneshAkurdi,Marathi,15:40,Silver,200₹,57,15
Pune,InoxJaiGaneshAkurdi,Marathi,15:40,Premiere,170₹,91,0
Aurangabad,InoxProzoneMallAurangabad,Marathi,15:45,SkyBox,400₹,10,0
Aurangabad,InoxProzoneMallAurangabad,Marathi,15:45,Regular,200₹,199,18
Nashik,InoxCinemasNashik,Marathi,15:50,Platinum,112₹,88,15
Nashik,InoxCinemasNashik,Marathi,15:50,Silver,112₹,202,33
Nashik,InoxCinemasNashik,Marathi,15:50,Executive,90₹,46,0
Aurangabad,InoxRelianceMallAurangabad,Marathi,16:00,RoyaleRecliners,400₹,31,6
Aurangabad,InoxRelianceMallAurangabad,Marathi,16:00,Royale,180₹,44,19
Aurangabad,InoxRelianceMallAurangabad,Marathi,16:00,Club,170₹,120,7
Aurangabad,InoxRelianceMallAurangabad,Marathi,16:00,Executive,150₹,54,2
Pune,InoxElproCitySquareChinchwad,Marathi,16:10,Royale,230₹,53,49
Pune,InoxElproCitySquareChinchwad,Marathi,16:10,Club,200₹,78,66
Pune,InoxElproCitySquareChinchwad,Marathi,16:10,Executive,180₹,26,0
Pune,PvrIconThePavillionPune,Marathi,16:15,Classic,350₹,40,0
Pune,PvrIconThePavillionPune,Marathi,16:15,Prime,350₹,189,97
Pune,PvrIconThePavillionPune,Marathi,16:15,Recliner,650₹,14,9
Pune,AbhiruchiCityPrideSinhagadRoad,Marathi,17:00,RoyalSofa,280₹,12,11
Pune,AbhiruchiCityPrideSinhagadRoad,Marathi,17:00,RoyalGold,260₹,123,111
Pune,AbhiruchiCityPrideSinhagadRoad,Marathi,17:00,RoyalSilver,240₹,30,2
Pune,CityPrideKothrud,Marathi,18:00,RoyalGold,280₹,270,260
Pune,CityPrideKothrud,Marathi,18:00,RoyalSilver,260₹,44,0
Mumbai,CinepolisVivianaMallThane,Marathi,19:05,Normal,230₹,25,0
Mumbai,CinepolisVivianaMallThane,Marathi,19:05,Executive,250₹,97,55
Mumbai,CinepolisVivianaMallThane,Marathi,19:05,Premium,270₹,43,35
Pune,CinepolisSeasonsMallPune,Marathi,19:20,Normal,240₹,23,0
Pune,CinepolisSeasonsMallPune,Marathi,19:20,Executive,260₹,68,16
Pune,CinepolisSeasonsMallPune,Marathi,19:20,Premium,260₹,40,19
Pune,CinepolisWestendMallAundhPune,Marathi,19:30,Normal,350₹,21,2
Pune,CinepolisWestendMallAundhPune,Marathi,19:30,Executive,350₹,59,37
Pune,CinepolisWestendMallAundhPune,Marathi,19:30,Premium,350₹,45,43
