City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
NationalCapitalRegionNcr,InoxShipraMallGhaziabad,201014,English,09:00,Classic,140₹,120,0
NationalCapitalRegionNcr,InoxShipraMallGhaziabad,201014,English,09:00,Executive,140₹,191,11
Mumbai,PvrDynamixJuhu,400049,English,09:00,Prime,149₹,72,13
Mumbai,PvrDynamixJuhu,400049,English,09:00,Classic,149₹,40,0
Pune,InoxElproCitySquareChinchwad,411033,English,09:05,Club,150₹,78,0
Pune,InoxElproCitySquareChinchwad,411033,English,09:05,Executive,150₹,26,0
Pune,InoxElproCitySquareChinchwad,411033,English,09:05,Royale,150₹,53,14
NationalCapitalRegionNcr,InoxNehruPlace,110019,English,09:15,RoyaleRecliner,300₹,18,0
NationalCapitalRegionNcr,InoxNehruPlace,110019,English,09:15,Club,112₹,87,0
NationalCapitalRegionNcr,InoxNehruPlace,110019,English,09:15,Executive,112₹,84,0
NationalCapitalRegionNcr,InoxNehruPlace,110019,English,09:15,Royal,112₹,48,22
Kolhapur,InoxRelianceMegaMallKolhapur,416002,Hindi,09:30,Club,140₹,98,0
Kolhapur,InoxRelianceMegaMallKolhapur,416002,Hindi,09:30,Executive,140₹,24,0
Kolhapur,InoxRelianceMegaMallKolhapur,416002,Hindi,09:30,Royale,140₹,46,9
Bengaluru,PvrGoldOrionMallDrRajkumarRoad,560055,English,09:30,3DGold,340₹,40,4
Bengaluru,PvrGoldOrionMallDrRajkumarRoad,560055,English,09:30,3DGoldPrime,390₹,8,2
Mumbai,MaisonPvrLivingRoomLuxeJioWorldDriveBkc,400051,English,09:40,Luxe,400₹,32,0
Mumbai,MaisonPvrLivingRoomLuxeJioWorldDriveBkc,400051,English,09:40,LuxeSuperior,400₹,12,0
Ahmedabad,TimeCinemaCgRoadAhmedabad,380006,English,09:50,InfinitySofa,260₹,36,0
Pune,InoxAmanoraTownCentreHadapsar,411028,English,09:55,Royale,260₹,46,2
Mumbai,InoxMegaplexInorbitMallMalad,400064,English,10:00,Kiddles,150₹,57,4
Ahmedabad,PvrArvedTranscubeAhmedabad,382480,Hindi,10:00,Classic,180₹,39,0
Ahmedabad,PvrArvedTranscubeAhmedabad,382480,Hindi,10:00,Prime,180₹,96,13
Chandigarh,PvrElanteChandigarh,160002,English,10:00,Classic,180₹,174,18
Chandigarh,PvrElanteChandigarh,160002,English,10:00,Recliner,350₹,26,0
Bengaluru,CinepolisRoyalMeenakshiMall,560076,English,10:00,Normal,180₹,44,0
Bengaluru,CinepolisRoyalMeenakshiMall,560076,English,10:00,Executive,180₹,188,1
Bengaluru,CinepolisRoyalMeenakshiMall,560076,English,10:00,Premium,180₹,68,6
Goa,InoxOldGmcDbRoadPanaji,403001,English,10:10,Club,180₹,90,0
Goa,InoxOldGmcDbRoadPanaji,403001,English,10:10,Executive,180₹,36,0
Goa,InoxOldGmcDbRoadPanaji,403001,English,10:10,Royal,180₹,105,10
Pune,InoxBundGardenRoad,411001,English,10:10,Royale,270₹,34,3
Goa,InoxOldGmcDbRoadPanaji,403001,English,10:10,Club,150₹,90,0
Goa,InoxOldGmcDbRoadPanaji,403001,English,10:10,Executive,150₹,36,0
