State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:20,Gold,150₹,122,0
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,13:40,Normal,160₹,39,0
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,13:40,Executive,170₹,52,2
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,13:40,Vip,300₹,11,0
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,15:45,Normal,160₹,48,1
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,15:45,Executive,170₹,75,8
Punjab,Amritsar,CinepolisNexusAmritsar,Punjabi,15:45,Vip,300₹,12,1
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,17:10,Normal,160₹,66,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,17:10,Executive,180₹,110,2
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,17:10,Premium,200₹,141,4
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,17:10,Vip,300₹,16,8
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,21:45,Normal,160₹,39,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,21:45,Executive,170₹,52,22
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,21:45,Vip,300₹,11,7
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,21:45,Normal,120₹,75,0
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,21:45,Executive,130₹,125,3
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,21:45,Premium,140₹,165,8
Punjab,Ludhiana,CinepolisMbdNeopolisMallLudhiana,Punjabi,21:45,Vip,250₹,36,8
