State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,09:30,Recliner,250₹,9,0
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,09:30,PushBackSeat,150₹,63,2
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,09:30,Lounger,150₹,11,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarati,10:00,Gold,90₹,70,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarati,10:00,Silver,80₹,54,0
Gujarat,Ahmedabad,MirajCityPulseAhmedabad,Gujarati,14:30,Gold,180₹,24,0
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,15:15,PushBackSeat,190₹,113,0
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,15:15,Lounger,190₹,9,0
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Gujarati,15:20,Imperial,300₹,10,10
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Gujarati,15:20,Gold,150₹,150,10
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Gujarati,15:20,Platinum,150₹,45,30
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Gujarati,15:20,Silver,150₹,32,0
Gujarat,Surat,CineverseCinemaVesu,Gujarati,16:00,Sofa,190₹,46,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarati,16:00,Gold,110₹,70,33
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarati,16:00,Silver,100₹,54,0
Gujarat,Surat,CineverseCinemaKatargamSurat,Gujarati,16:00,Sofa,190₹,81,0
Gujarat,Surat,CineverseCinemaKatargamSurat,Gujarati,16:00,Lounger,190₹,9,0
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,18:45,Recliner,290₹,28,2
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,18:45,PushBackSeat,190₹,73,12
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,18:45,Lounger,190₹,23,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarati,19:00,Gold,120₹,70,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarati,19:00,Silver,110₹,54,0
Gujarat,Surat,CinezzaMultiplexSurat,Gujarati,19:00,RoyalSofa,170₹,47,14
Gujarat,Surat,CinezzaMultiplexSurat,Gujarati,19:00,Executive,150₹,330,138
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Gujarati,21:00,Imperial,320₹,9,9
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Gujarati,21:00,Gold,150₹,30,29
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Gujarati,21:00,Platinum,150₹,26,26
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Gujarati,21:00,Silver,150₹,10,6
Rajasthan,Navsari,RajhansCinemasNavsari,Gujarati,21:00,Platinum,150₹,59,59
Rajasthan,Navsari,RajhansCinemasNavsari,Gujarati,21:00,Executive,150₹,96,96
Rajasthan,Navsari,RajhansCinemasNavsari,Gujarati,21:00,Royal,150₹,96,96
Rajasthan,Navsari,RajhansCinemasNavsari,Gujarati,21:00,Marvel,150₹,32,19
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,21:30,PushBackSeat,190₹,113,111
Gujarat,Surat,TheFridayCinemaMotaVaracchaSurat,Gujarati,21:30,Lounger,190₹,9,8
