City,Name,Language,Time,Type,Price,Capacity,Booked
Gangavati,AmarTalkiesGangavati,Telugu,11:00,BalconyClass,100₹,60,0
Gangavati,AmarTalkiesGangavati,Telugu,11:00,FirstClass,70₹,60,0
Tandur,ShanthMahalTalkiesTandur,Telugu,11:00,Balcony,110₹,412,57
Tandur,ShanthMahalTalkiesTandur,Telugu,11:00,DressCircle,80₹,76,0
Gangavati,AmarTalkiesGangavati,Telugu,14:00,BalconyClass,100₹,60,0
Gangavati,AmarTalkiesGangavati,Telugu,14:00,FirstClass,70₹,60,0
Tandur,ShanthMahalTalkiesTandur,Telugu,14:00,Balcony,110₹,412,0
Tandur,ShanthMahalTalkiesTandur,Telugu,14:00,DressCircle,80₹,76,0
Gangavati,AmarTalkiesGangavati,Telugu,18:00,BalconyClass,100₹,60,0
Gangavati,AmarTalkiesGangavati,Telugu,18:00,FirstClass,70₹,60,0
Tandur,ShanthMahalTalkiesTandur,Telugu,18:00,Balcony,110₹,412,0
Tandur,ShanthMahalTalkiesTandur,Telugu,18:00,DressCircle,80₹,76,0
Warangal,SambhaviTheatreKazipet,Telugu,18:30,Balcony,100₹,323,273
Warangal,SambhaviTheatreKazipet,Telugu,18:30,DressCircle,100₹,134,134
Warangal,SambhaviTheatreKazipet,Telugu,18:30,LowerClass,40₹,135,135
Gangavati,AmarTalkiesGangavati,Telugu,21:00,BalconyClass,100₹,60,0
Gangavati,AmarTalkiesGangavati,Telugu,21:00,FirstClass,70₹,60,0
Tandur,ShanthMahalTalkiesTandur,Telugu,21:00,Balcony,110₹,412,0
Tandur,ShanthMahalTalkiesTandur,Telugu,21:00,DressCircle,80₹,76,0
Warangal,SambhaviTheatreKazipet,Telugu,21:30,Balcony,100₹,323,273
Warangal,SambhaviTheatreKazipet,Telugu,21:30,DressCircle,100₹,134,134
Warangal,SambhaviTheatreKazipet,Telugu,21:30,LowerClass,40₹,135,135
