State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
WestBengal,Kolkata,CinepolisLakeMallKolkata,Bengali,10:00,Normal,₹150,40,2
WestBengal,Kolkata,CinepolisLakeMallKolkata,Bengali,10:00,Executive,₹150,188,5
WestBengal,Kolkata,CinepolisLakeMallKolkata,Bengali,10:00,Premium,₹150,7,7
WestBengal,Kolkata,CinepolisLakeMallKolkata,Bengali,10:00,Vip,₹300,12,2
WestBengal,Kolkata,InoxHilandPark,Bengali,10:00,Royal,₹240,16,4
WestBengal,Kolkata,InoxHilandPark,Bengali,10:00,Premier,₹140,36,2
WestBengal,Kolkata,InoxHilandPark,Bengali,10:00,Silver,₹140,155,15
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,Bengali,10:00,Normal,₹180,34,0
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,Bengali,10:00,Executive,₹180,134,4
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,Bengali,10:00,Premium,₹180,77,9
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,10:30,Royal,₹160,73,5
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,10:30,Club,₹112,95,3
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,10:30,Executive,₹112,30,0
WestBengal,Kolkata,EloraMultiplexChampahati,Bengali,10:45,Gold,₹150,60,4
WestBengal,Kolkata,EloraMultiplexChampahati,Bengali,10:45,Silver,₹100,152,0
WestBengal,DakshinBarasat,MahamayaTalkiesDakshinBarasat,Bengali,11:00,GoldCouple,₹300,24,5
WestBengal,DakshinBarasat,MahamayaTalkiesDakshinBarasat,Bengali,11:00,Gold,₹150,14,0
WestBengal,DakshinBarasat,MahamayaTalkiesDakshinBarasat,Bengali,11:00,Silver,₹100,160,4
WestBengal,Kolkata,InoxSouthCityKolkata,Bengali,11:35,Premier,₹200,34,0
WestBengal,Kolkata,InoxSouthCityKolkata,Bengali,11:35,Silver,₹200,166,28
WestBengal,Kolkata,SvfCinemasWoodSquareMallNarendrapur,Bengali,12:00,Gold,₹140,8,0
WestBengal,Kolkata,SvfCinemasWoodSquareMallNarendrapur,Bengali,12:00,Platinum,₹140,116,14
WestBengal,Kolkata,SvfCinemasWoodSquareMallNarendrapur,Bengali,12:00,Royal,₹300,9,1
WestBengal,CoochBehar,JayaCinemasCityMallCoochBehar,Bengali,12:30,Royal,₹150,11,0
WestBengal,CoochBehar,JayaCinemasCityMallCoochBehar,Bengali,12:30,Club,₹100,81,0
WestBengal,CoochBehar,JayaCinemasCityMallCoochBehar,Bengali,12:30,Executive,₹70,32,0
WestBengal,Kolkata,JayaCinemasCityMallBarasat,Bengali,13:00,DressCircle,₹140,182,19
WestBengal,Kolkata,JayaCinemasCityMallBarasat,Bengali,13:00,RearStall,₹110,28,0
WestBengal,Hooghly,UdayanCinemaSheoraphuli,Bengali,13:00,Silver,₹99,43,0
WestBengal,Hooghly,UdayanCinemaSheoraphuli,Bengali,13:00,Gold,₹99,235,8
WestBengal,Hooghly,UdayanCinemaSheoraphuli,Bengali,13:00,RoyalRecliner,₹299,16,2
WestBengal,Hooghly,UdayanCinemaSheoraphuli,Bengali,13:00,LuxureSofa,₹249,54,0
WestBengal,Siliguri,NewCinemaSiliguri,Bengali,13:15,Sofa,₹300,72,0
WestBengal,Siliguri,NewCinemaSiliguri,Bengali,13:15,SpecialClass,₹80,162,0
WestBengal,Malda,RupkathaCinemaDolbyDigitalMalda,Bengali,13:30,Balcony,₹100,38,0
WestBengal,Malda,RupkathaCinemaDolbyDigitalMalda,Bengali,13:30,GroundFloorAcClass,₹170,105,2
WestBengal,Jalpaiguri,CinebazzJalpaiguri,Bengali,13:30,Premium,₹110,55,0
WestBengal,Jalpaiguri,CinebazzJalpaiguri,Bengali,13:30,Regular,₹110,10,0
WestBengal,Kolkata,PvrAvaniKolkata,Bengali,13:35,Prime,₹290,23,3
WestBengal,Kolkata,PvrAvaniKolkata,Bengali,13:35,Classic,₹240,359,11
WestBengal,Kolkata,PvrDiamondPlazaJessoreKolkata,Bengali,13:35,Recliner,₹460,10,2
WestBengal,Kolkata,PvrDiamondPlazaJessoreKolkata,Bengali,13:35,Prime,₹280,19,5
WestBengal,Kolkata,PvrDiamondPlazaJessoreKolkata,Bengali,13:35,Classic,₹180,265,16
WestBengal,Kolkata,StarTheatreKolkata,Bengali,13:45,FrontStall,₹115,84,2
WestBengal,Kolkata,StarTheatreKolkata,Bengali,13:45,RearStall,₹130,234,25
WestBengal,Kolkata,StarTheatreKolkata,Bengali,13:45,Balcony,₹125,192,32
WestBengal,DakshinBarasat,MahamayaTalkiesDakshinBarasat,Bengali,14:00,GoldCouple,₹300,24,4
WestBengal,DakshinBarasat,MahamayaTalkiesDakshinBarasat,Bengali,14:00,Gold,₹150,14,0
WestBengal,DakshinBarasat,MahamayaTalkiesDakshinBarasat,Bengali,14:00,Silver,₹100,160,0
WestBengal,Kolkata,InoxCityCenterSaltLake,Bengali,14:00,Royale,₹310,50,31
WestBengal,Kolkata,InoxCityCenterSaltLake,Bengali,14:00,DressCircle,₹180,226,35
