City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,03:30,Imperial,260₹,15,5
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,03:30,Platinum,140₹,54,12
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,03:30,Gold,112₹,121,9
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,03:30,Silver,100₹,30,0
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,06:25,Imperial,260₹,15,5
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,06:25,Platinum,140₹,54,12
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,06:25,Gold,112₹,121,9
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,06:25,Silver,100₹,30,0
Bhavnagar,MaxusCinemasBhavnagar,364002,Gujarati,07:30,Sofa,112₹,28,0
Bhavnagar,MaxusCinemasBhavnagar,364002,Gujarati,07:30,PremierPlus,99₹,174,2
Bhavnagar,MaxusCinemasBhavnagar,364002,Gujarati,07:30,Premium,99₹,36,0
Vadodara,PvrNilamberTriumphVadodara,390007,Gujarati,09:00,Classic,110₹,28,1
Vadodara,PvrNilamberTriumphVadodara,390007,Gujarati,09:00,Prime,110₹,84,14
Vadodara,PvrNilamberTriumphVadodara,390007,Gujarati,09:00,Recliner,300₹,10,0
Vadodara,CinepolisInorbitVadodaraMall,390023,Gujarati,09:00,Normal,140₹,24,0
Vadodara,CinepolisInorbitVadodaraMall,390023,Gujarati,09:00,Premium,140₹,38,12
Vadodara,CinepolisInorbitVadodaraMall,390023,Gujarati,09:00,Executive,140₹,96,0
Ahmedabad,19CinemaGodrejGardenCityAhmedabad,382470,Gujarati,09:00,Platinum,190₹,21,0
Ahmedabad,19CinemaGodrejGardenCityAhmedabad,382470,Gujarati,09:00,Gold,180₹,33,0
Ahmedabad,19CinemaGodrejGardenCityAhmedabad,382470,Gujarati,09:00,Silver,170₹,22,0
Vadodara,InoxSevenSeasMallFatehgunj,390002,Gujarati,09:10,Gold,250₹,12,1
Vadodara,InoxSevenSeasMallFatehgunj,390002,Gujarati,09:10,Executive,112₹,40,0
Vadodara,InoxSevenSeasMallFatehgunj,390002,Gujarati,09:10,Premiere,112₹,100,0
Vadodara,InoxSevenSeasMallFatehgunj,390002,Gujarati,09:10,Silver,112₹,84,10
Surat,InoxVrMallSurat,395007,Gujarati,09:15,RoyalRecliner,280₹,18,6
Surat,InoxVrMallSurat,395007,Gujarati,09:15,Royal,140₹,60,6
Surat,InoxVrMallSurat,395007,Gujarati,09:15,Club,112₹,102,5
Surat,InoxVrMallSurat,395007,Gujarati,09:15,Executive,112₹,34,0
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,09:20,Imperial,290₹,15,5
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,09:20,Platinum,170₹,54,18
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,09:20,Gold,140₹,121,16
Surat,RajImperialInoxVarachhaRoadSurat,395006,Gujarati,09:20,Silver,120₹,30,0
Ahmedabad,CityGoldAshramRoad,380009,Gujarati,09:30,Executive,150₹,130,22
Ahmedabad,MirajCityPulseAhmedabad,380001,Gujarati,09:30,Gold,140₹,24,0
Surat,ProudCinemaKadodaraSurat,394325,Gujarati,09:30,Platinum,150₹,15,0
Surat,ProudCinemaKadodaraSurat,394325,Gujarati,09:30,Executive,130₹,108,0
Surat,ProudCinemaKadodaraSurat,394325,Gujarati,09:30,Royal,110₹,45,0
Surat,ProudCinemaKadodaraSurat,394325,Gujarati,09:30,Marvel,100₹,30,0
Ahmedabad,CityGoldBapunagar,380018,Gujarati,09:30,Executive,140₹,108,0
Surat,InoxVrMallSurat,395007,Gujarati,09:45,RoyalRecliner,280₹,12,0
Surat,InoxVrMallSurat,395007,Gujarati,09:45,Royal,140₹,54,0
Surat,InoxVrMallSurat,395007,Gujarati,09:45,Club,112₹,102,0
Surat,InoxVrMallSurat,395007,Gujarati,09:45,Executive,112₹,34,0
Vadodara,PvrTransCubeVadodara,390005,Gujarati,09:45,Classic,110₹,42,0
Vadodara,PvrTransCubeVadodara,390005,Gujarati,09:45,Prime,110₹,99,0
Vadodara,PvrTransCubeVadodara,390005,Gujarati,09:45,Recliner,300₹,8,0
Vadodara,InoxRaceCourseCircle,390007,Gujarati,09:45,Gold,112₹,128,0
Vadodara,InoxRaceCourseCircle,390007,Gujarati,09:45,Platinum,112₹,55,2
Vadodara,InoxRaceCourseCircle,390007,Gujarati,09:45,Silver,112₹,90,0
Ahmedabad,PvrArvedTranscubeAhmedabad,382480,Gujarati,10:00,Classic,150₹,30,0
Ahmedabad,PvrArvedTranscubeAhmedabad,382480,Gujarati,10:00,Prime,150₹,107,27
