State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Punjab,Ludhiana,NirmalCineplexLudhiana,Punjabi,09:15,Box,₹300,3,0
Punjab,Ludhiana,NirmalCineplexLudhiana,Punjabi,09:15,Recliner,₹300,12,0
Punjab,Ludhiana,NirmalCineplexLudhiana,Punjabi,09:15,Gold,₹200,132,0
Punjab,Sangrur,NyCinemasFunSquareMallSangrur,Punjabi,09:15,Gold,₹170,90,0
Punjab,Sangrur,NyCinemasFunSquareMallSangrur,Punjabi,09:15,Diamond,₹170,102,0
Punjab,Sangrur,NyCinemasFunSquareMallSangrur,Punjabi,09:15,Box,₹220,14,0
Punjab,Firozpur,SilverbirdCinemaFirozpur,Punjabi,09:20,Gold,₹150,141,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:20,Box,₹350,8,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:20,Sofa,₹300,10,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:20,Gold,₹160,179,0
Punjab,Amritsar,InoxVrAmbarsarAmritsar,Punjabi,09:25,Normal,₹160,175,20
Haryana,Kurukshetra,DivineCineplexKurukshetra,Punjabi,09:30,Silver,₹230,28,0
Haryana,Kurukshetra,DivineCineplexKurukshetra,Punjabi,09:30,Gold,₹250,66,0
Haryana,Kurukshetra,DivineCineplexKurukshetra,Punjabi,09:30,Diamond,₹280,40,0
Haryana,Kurukshetra,DivineCineplexKurukshetra,Punjabi,09:30,Recliner,₹600,8,0
Punjab,Ludhiana,V2VCinemasOldSrsLudhiana,Punjabi,09:30,Platinum,₹160,247,24
Punjab,Ludhiana,V2VCinemasOldSrsLudhiana,Punjabi,09:30,Gold,₹130,80,0
Punjab,Ludhiana,V2VCinemasOldSrsLudhiana,Punjabi,09:30,Silver,₹110,40,2
Punjab,Hoshiarpur,TimeCinemasHoshiarpur,Punjabi,09:30,Diamond,₹99,13,2
Punjab,Hoshiarpur,TimeCinemasHoshiarpur,Punjabi,09:30,Platinum,₹99,46,0
Punjab,Hoshiarpur,TimeCinemasHoshiarpur,Punjabi,09:30,Gold,₹99,61,0
Punjab,Hoshiarpur,TimeCinemasHoshiarpur,Punjabi,09:30,Silver,₹99,33,0
Punjab,Jalandhar,PvrMbdJalandhar,Punjabi,09:30,Recliner,₹350,11,0
