State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,10:00,Classic,150₹,104,0
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,10:00,Prime,170₹,68,4
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,10:00,Recliner,300₹,7,0
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:45,Normal,150₹,29,4
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:45,Executive,170₹,83,29
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:45,Premium,190₹,44,10
Kerala,Kollam,CarnivalKollamRpMall,Malayalam,11:00,PremiumOffline,150₹,108,6
Kerala,Muvattupuzha,CarnivalGrandCentreMallMuvattupuzha,Malayalam,11:00,ExecutiveOffline,130₹,96,4
Kerala,Karunagapally,CarnivalHJComplex,Malayalam,11:00,ClassicOffline,150₹,194,4
Kerala,Kochi,CarnivalCinemasRedCarpetKariyad,Malayalam,13:00,GoldLounge,290₹,32,0
Kerala,Kochi,CarnivalCinemasRedCarpetKariyad,Malayalam,13:00,ExecutiveOffline,190₹,96,1
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,13:15,SilverOffline,210₹,103,8
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,13:15,ExecutiveOffline,180₹,72,2
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,13:15,NormalOffline,100₹,18,0
Kerala,Karunagapally,CarnivalHJComplex,Malayalam,14:00,ClassicOffline,150₹,194,8
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,14:30,GoldOffline,300₹,13,0
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,14:30,SilverOffline,150₹,151,19
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,14:30,ExecutiveOffline,100₹,13,0
TamilNadu,Chennai,MayajaalMultiplexEcrChennai,Malayalam,14:45,FirstClass,202₹,137,16
Karnataka,Bengaluru,InoxSbrHorizonSeegehalliWhitefieldHoskoteRd,Malayalam,15:25,Club,220₹,60,6
Karnataka,Bengaluru,InoxSbrHorizonSeegehalliWhitefieldHoskoteRd,Malayalam,15:25,Executive,200₹,50,0
Karnataka,Bengaluru,InoxSbrHorizonSeegehalliWhitefieldHoskoteRd,Malayalam,15:25,Club,220₹,60,12
Karnataka,Bengaluru,InoxSbrHorizonSeegehalliWhitefieldHoskoteRd,Malayalam,15:25,Executive,200₹,50,0
Kerala,Kochi,PvrLuluKochi,Malayalam,15:35,Classic,140₹,54,7
Kerala,Kochi,PvrLuluKochi,Malayalam,15:35,ClassicPlus,160₹,108,73
Kerala,Kochi,PvrLuluKochi,Malayalam,15:35,Prime,190₹,125,43
Kerala,Kochi,PvrLuluKochi,Malayalam,15:35,Recliner,350₹,14,13
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Malayalam,15:40,Classic,63₹,11,11
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Malayalam,15:40,Prime,202₹,99,5
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,16:00,Classic,170₹,104,25
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,16:00,Prime,190₹,68,11
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,16:00,Recliner,350₹,7,0
Kerala,Kochi,CarnivalCinemasRedCarpetKariyad,Malayalam,16:00,GoldLounge,290₹,32,8
Kerala,Kochi,CarnivalCinemasRedCarpetKariyad,Malayalam,16:00,ExecutiveOffline,190₹,96,0
Kerala,Karunagapally,CarnivalHJComplex,Malayalam,16:45,ClassicOffline,170₹,194,25
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Malayalam,17:00,Gold,150₹,47,12
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Malayalam,17:00,Silver,150₹,33,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Malayalam,17:00,Special,110₹,11,0
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,18:30,GoldOffline,300₹,13,2
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,18:30,SilverOffline,150₹,151,23
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,18:30,ExecutiveOffline,100₹,13,0
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,18:30,SilverOffline,210₹,103,6
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,18:30,ExecutiveOffline,180₹,72,31
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,18:30,NormalOffline,100₹,18,1
Kerala,Muvattupuzha,CarnivalGrandCentreMallMuvattupuzha,Malayalam,18:30,ExecutiveOffline,160₹,96,5
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,18:45,Gold,110₹,204,17
Kerala,Muvattupuzha,CarnivalGrandCentreMallMuvattupuzha,Malayalam,18:45,ExecutiveOffline,160₹,96,15
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,19:00,ExecutiveOffline,160₹,136,45
Kerala,Kochi,CarnivalCinemasRedCarpetKariyad,Malayalam,19:00,GoldLounge,290₹,32,7
Kerala,Kochi,CarnivalCinemasRedCarpetKariyad,Malayalam,19:00,ExecutiveOffline,190₹,96,2
Kerala,Karunagapally,CarnivalHJComplex,Malayalam,19:30,ClassicOffline,170₹,194,46
Karnataka,Bengaluru,PvrAuraParkSquareBengaluru,Malayalam,21:00,Classic,180₹,120,3
Karnataka,Bengaluru,PvrAuraParkSquareBengaluru,Malayalam,21:00,Recliner,330₹,12,1
Kerala,Kollam,CarnivalKollamRpMall,Malayalam,21:00,PremiumOffline,180₹,108,3
Karnataka,MysuruMysore,PvrGarudaMallAlbertVictorRoadMysuru,Malayalam,21:15,Classic,150₹,119,5
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,21:45,Gold,110₹,204,8
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,21:45,ExecutiveOffline,160₹,136,8
Kerala,Kochi,CarnivalCinemasRedCarpetKariyad,Malayalam,22:00,GoldLounge,290₹,32,0
Kerala,Kochi,CarnivalCinemasRedCarpetKariyad,Malayalam,22:00,ExecutiveOffline,190₹,96,0
TamilNadu,Coimbatore,FunCinemasFunRepublicMallCoimbatore,Malayalam,22:10,Normal,63₹,17,17
TamilNadu,Coimbatore,FunCinemasFunRepublicMallCoimbatore,Malayalam,22:10,Executive,202₹,142,6
Karnataka,MangaluruMangalore,PvrNexusMallPandeshwarMangalore,Malayalam,22:10,Classic,150₹,79,12
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,22:20,RoyalRecliner,350₹,10,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,22:20,Club,190₹,66,27
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,22:20,Royal,190₹,28,19
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,22:20,Executive,130₹,22,0
Kerala,Kochi,PvrOberonMallKochi,Malayalam,22:40,Classic,140₹,36,25
Kerala,Kochi,PvrOberonMallKochi,Malayalam,22:40,ClassicPlus,190₹,81,13
