State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Pune,InoxBundGardenRoad,Hindi,08:55,Royale,400₹,32,1
MadhyaPradesh,Gwalior,FunCinemasDdCityMallGwalior,Hindi,09:00,Normal,130₹,108,0
MadhyaPradesh,Gwalior,FunCinemasDdCityMallGwalior,Hindi,09:00,Executive,140₹,200,4
Orissa,Bhubaneswar,InoxBmcBhawaniMall,Hindi,09:00,Club,112₹,175,0
Orissa,Bhubaneswar,InoxBmcBhawaniMall,Hindi,09:00,Executive,112₹,56,0
Orissa,Bhubaneswar,InoxBmcBhawaniMall,Hindi,09:00,Royale,112₹,76,21
MadhyaPradesh,Indore,InoxSapnaSangeetaMallSnehaNagar,Hindi,09:00,Club,112₹,360,23
MadhyaPradesh,Indore,InoxSapnaSangeetaMallSnehaNagar,Hindi,09:00,Executive,112₹,128,2
MadhyaPradesh,Indore,InoxSapnaSangeetaMallSnehaNagar,Hindi,09:00,Royale,112₹,45,45
UttarPradesh,NationalCapitalRegionNcr,InoxEf3MallFaridabad,Hindi,09:00,RoyaleRecliners,300₹,16,0
UttarPradesh,NationalCapitalRegionNcr,InoxEf3MallFaridabad,Hindi,09:00,Club,112₹,156,2
UttarPradesh,NationalCapitalRegionNcr,InoxEf3MallFaridabad,Hindi,09:00,Executive,112₹,34,0
UttarPradesh,NationalCapitalRegionNcr,InoxEf3MallFaridabad,Hindi,09:00,Royale,112₹,63,13
Gujarat,Ahmedabad,CityGoldBopal,Hindi,09:00,Executive,130₹,117,26
Maharashtra,Jalgaon,InoxKhandeshCentralMall,Hindi,09:00,Club,112₹,156,3
Maharashtra,Jalgaon,InoxKhandeshCentralMall,Hindi,09:00,Executive,112₹,60,0
Maharashtra,Jalgaon,InoxKhandeshCentralMall,Hindi,09:00,Royal,112₹,77,8
Rajasthan,Jaipur,InoxCrystalPalmCScheme,Hindi,09:05,Club,112₹,129,10
Rajasthan,Jaipur,InoxCrystalPalmCScheme,Hindi,09:05,Executive,112₹,57,0
Rajasthan,Jaipur,InoxCrystalPalmCScheme,Hindi,09:05,Royal,112₹,16,3
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,09:10,Club,112₹,118,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,09:10,Executive,112₹,33,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,09:10,Royal,112₹,24,8
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,09:10,Club,90₹,36,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,09:10,Gold,90₹,216,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,09:10,Platinum,90₹,49,12
Rajasthan,Jaipur,InoxElementsMallAjmerRoad,Hindi,09:20,Club,112₹,89,4
Rajasthan,Jaipur,InoxElementsMallAjmerRoad,Hindi,09:20,Executive,112₹,13,0
Rajasthan,Jaipur,InoxElementsMallAjmerRoad,Hindi,09:20,Royale,112₹,18,13
Haryana,Panipat,FunCinemasMittalMegaMallPanipat,Hindi,09:30,Normal,110₹,60,60
Haryana,Panipat,FunCinemasMittalMegaMallPanipat,Hindi,09:30,Executive,130₹,150,150
Gujarat,Kadi,CityGoldKadi,Hindi,09:30,Box,160₹,16,0
Gujarat,Kadi,CityGoldKadi,Hindi,09:30,Gold,140₹,140,0
Gujarat,Kadi,CityGoldKadi,Hindi,09:30,Silver,140₹,34,0
UttarPradesh,NationalCapitalRegionNcr,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,09:35,Normal,150₹,19,0
UttarPradesh,NationalCapitalRegionNcr,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,09:35,Executive,150₹,50,0
UttarPradesh,NationalCapitalRegionNcr,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,09:35,Premium,150₹,39,0
UttarPradesh,NationalCapitalRegionNcr,CinepolisAiriaMallSohnaRoadGurgaon,Hindi,09:35,Vip,300₹,9,0
Rajasthan,Bhiwadi,InoxBhiwadiGenesisMall,Hindi,09:35,Club,112₹,103,6
Rajasthan,Bhiwadi,InoxBhiwadiGenesisMall,Hindi,09:35,Executive,112₹,39,0
Rajasthan,Bhiwadi,InoxBhiwadiGenesisMall,Hindi,09:35,Royale,112₹,51,17
UttarPradesh,NationalCapitalRegionNcr,CinepolisTheEsplanadeGurugram,Hindi,09:40,Normal,110₹,20,20
UttarPradesh,NationalCapitalRegionNcr,CinepolisTheEsplanadeGurugram,Hindi,09:40,Executive,110₹,48,48
UttarPradesh,NationalCapitalRegionNcr,CinepolisTheEsplanadeGurugram,Hindi,09:40,Premium,110₹,82,82
Bihar,Muzaffarpur,PjpCinemasMuzaffarpur,Hindi,09:40,Normal,130₹,30,0
Bihar,Muzaffarpur,PjpCinemasMuzaffarpur,Hindi,09:40,Executive,130₹,102,0
Bihar,Muzaffarpur,PjpCinemasMuzaffarpur,Hindi,09:40,Premium,130₹,81,11
UttarPradesh,NationalCapitalRegionNcr,PvrAnupamSaketDelhi,Hindi,09:45,Prime,200₹,41,5
UttarPradesh,NationalCapitalRegionNcr,PvrAnupamSaketDelhi,Hindi,09:45,Classic,200₹,52,0
UttarPradesh,NationalCapitalRegionNcr,PvrVegasDwarka,Hindi,09:45,Classic,200₹,120,15
UttarPradesh,NationalCapitalRegionNcr,PvrVegasDwarka,Hindi,09:45,Prime,200₹,15,0
UttarPradesh,Kanpur,ShyamPalaceCinemaKanpur,Hindi,09:45,Balcony,90₹,196,0
UttarPradesh,Kanpur,ShyamPalaceCinemaKanpur,Hindi,09:45,GoldFamily,70₹,196,0
Jharkhand,Jamshedpur,PjpCinepolisJamshedpur,Hindi,09:50,Normal,200₹,26,0
Jharkhand,Jamshedpur,PjpCinepolisJamshedpur,Hindi,09:50,Executive,220₹,26,0
Jharkhand,Jamshedpur,PjpCinepolisJamshedpur,Hindi,09:50,Premium,240₹,68,0
Haryana,Chandigarh,PvrElanteChandigarh,Hindi,09:50,Classic,180₹,302,4
Haryana,Chandigarh,PvrElanteChandigarh,Hindi,09:50,Recliner,450₹,14,1
MadhyaPradesh,Bhopal,CinepolisAashimaMallBhopal,Hindi,09:55,Normal,130₹,30,30
MadhyaPradesh,Bhopal,CinepolisAashimaMallBhopal,Hindi,09:55,Executive,130₹,102,102
MadhyaPradesh,Bhopal,CinepolisAashimaMallBhopal,Hindi,09:55,Premium,130₹,83,83
Bihar,Patna,CinepolisPMMallPatna,Hindi,10:00,Normal,200₹,200,25
UttarPradesh,Lucknow,PvrSuperplexLuluLucknow,Hindi,10:00,Classic,112₹,36,0
UttarPradesh,Lucknow,PvrSuperplexLuluLucknow,Hindi,10:00,ClassicPlus,112₹,54,0
UttarPradesh,Lucknow,PvrSuperplexLuluLucknow,Hindi,10:00,Prime,112₹,99,19
UttarPradesh,Lucknow,PvrSuperplexLuluLucknow,Hindi,10:00,Recliner,249₹,16,0
UttarPradesh,Lucknow,InoxMegaplexPhoenixPalassioMall,Hindi,10:00,Club,150₹,54,0
UttarPradesh,Lucknow,InoxMegaplexPhoenixPalassioMall,Hindi,10:00,Executive,150₹,20,0
UttarPradesh,Lucknow,InoxMegaplexPhoenixPalassioMall,Hindi,10:00,Royale,150₹,59,10
Maharashtra,Nagpur,PvrEmpressNagpur,Hindi,10:00,Classic,90₹,28,2
Maharashtra,Nagpur,PvrEmpressNagpur,Hindi,10:00,Prime,120₹,84,2
Maharashtra,Nagpur,PvrEmpressNagpur,Hindi,10:00,PrimePlus,170₹,110,0
UttarPradesh,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,Hindi,10:00,Normal,250₹,36,2
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,10:00,DressCircle,150₹,100,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,10:00,Galleria,150₹,28,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,10:00,Royal,150₹,43,12
WestBengal,Kolkata,PvrDiamondPlazaJessoreKolkata,Hindi,10:00,Classic,200₹,100,0
WestBengal,Kolkata,PvrDiamondPlazaJessoreKolkata,Hindi,10:00,Prime,200₹,11,5
WestBengal,Kolkata,PvrDiamondPlazaJessoreKolkata,Hindi,10:00,Recliner,300₹,12,0
