State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
TamilNadu,Perambalur,LaRamCinema4KDolbyAtmosPerambalur,Tamil,07:25,Elite,130₹,209,109
TamilNadu,Perambalur,LaRamCinema4KDolbyAtmosPerambalur,Tamil,07:25,Premium,110₹,180,30
TamilNadu,Gobichettipalayam,ZeonIndiraCinemasGobichettipalayam,Tamil,07:30,Platinum,190₹,183,14
TamilNadu,Mannargudi,LaCinemasShanthiACDolbyAtmos,Tamil,07:30,Elite,130₹,291,291
TamilNadu,Mannargudi,LaCinemasShanthiACDolbyAtmos,Tamil,07:35,Elite,130₹,121,121
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:35,Diamond,190₹,16,16
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:35,Platinum,190₹,26,26
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:35,Gold,190₹,86,25
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:35,Silver,150₹,17,0
TamilNadu,Ramanathapuram,JaganTheatreACSony4K3DRamanathapuram,Tamil,07:35,Elite,190₹,42,28
TamilNadu,Ramanathapuram,JaganTheatreACSony4K3DRamanathapuram,Tamil,07:35,Premium,190₹,494,57
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:45,Diamond,190₹,27,27
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:45,Platinum,190₹,34,26
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:45,Gold,190₹,131,34
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:45,Silver,150₹,7,0
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:45,Diamond,190₹,21,19
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:45,Platinum,190₹,36,32
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:45,Gold,190₹,143,28
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,07:45,Silver,150₹,15,0
TamilNadu,Chennai,GreenCinemas4KAtmosPlfRadhaTheatrePadi,Tamil,08:00,Diamond,110₹,292,96
TamilNadu,Chennai,GreenCinemas4KAtmosPlfRadhaTheatrePadi,Tamil,08:00,Pearl,110₹,66,0
Gujarat,Ahmedabad,ConnplexSmartMiniplexScienceCity,Hindi,08:00,Miller,150₹,45,0
Gujarat,Ahmedabad,ConnplexSmartMiniplexScienceCity,Hindi,08:00,Lounger,150₹,9,0
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,08:00,Diamond,190₹,22,16
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,08:00,Platinum,190₹,24,24
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,08:00,Gold,190₹,96,33
TamilNadu,Tirupur,SriSakthiCinemasUnionMillRoadTirupur,Tamil,08:00,Silver,150₹,16,2
TamilNadu,Trichy,LaCinemaSonaMinaRgbLaserTrichy,Tamil,08:00,Posh,140₹,458,299
TamilNadu,Villupuram,JanasCinemasMaghalakshmiPlaazaaVillupuram,Tamil,08:00,Balcony,174₹,25,23
TamilNadu,Villupuram,JanasCinemasMaghalakshmiPlaazaaVillupuram,Tamil,08:00,Elite,155₹,255,194
TamilNadu,Villupuram,JanasCinemasMaghalakshmiPlaazaaVillupuram,Tamil,08:00,Premium,109₹,173,123
TamilNadu,Villupuram,JanasCinemasMaghalakshmiPlaazaaVillupuram,Tamil,08:00,Budget,60₹,52,17
