State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,Kannada,09:40,Silver,70₹,34,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,Kannada,09:40,Gold,90₹,173,2
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,Kannada,09:40,PlatinumRecliner,150₹,20,0
Karnataka,Jigani,PvrOrionMallDrRajkumarRoad,Kannada,09:40,Classic,112₹,180,0
Karnataka,Jigani,PvrOrionMallDrRajkumarRoad,Kannada,09:40,Prime,160₹,120,0
Karnataka,Jigani,PvrOrionMallDrRajkumarRoad,Kannada,09:40,Recliner,230₹,36,3
Karnataka,Jigani,PvrMsrElementsMallTanisandhraMainRoad,Kannada,09:50,Classic,112₹,90,1
Karnataka,Jigani,PvrMsrElementsMallTanisandhraMainRoad,Kannada,09:50,Prime,160₹,19,0
Karnataka,Jigani,PvrMsrElementsMallTanisandhraMainRoad,Kannada,09:50,Recliner,230₹,11,0
Karnataka,Moodbidri,AmarashreeTalkiesMoodbidri,Kannada,10:00,Balcony,120₹,220,0
Karnataka,Moodbidri,AmarashreeTalkiesMoodbidri,Kannada,10:00,FirstClass,100₹,398,0
Karnataka,Bengaluru,PvrBhartiyaMallOfBengaluru,Kannada,10:00,Classic,112₹,90,2
Karnataka,Bengaluru,PvrBhartiyaMallOfBengaluru,Kannada,10:00,Prime,160₹,99,0
Karnataka,Bengaluru,PvrBhartiyaMallOfBengaluru,Kannada,10:00,Recliner,230₹,14,0
Karnataka,Jigani,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,10:00,Classic,112₹,72,4
Karnataka,Jigani,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,10:00,Recliner,230₹,7,0
Karnataka,Jigani,VeerabhadreshwaraTheatreKamalaNagar,Kannada,10:00,Balcony,110₹,179,2
Karnataka,Jigani,VeerabhadreshwaraTheatreKamalaNagar,Kannada,10:00,SecondClass,100₹,528,12
Karnataka,Karkala,PlanetCinemaACDigitalKarkala,Kannada,10:00,Balcony,120₹,90,0
Karnataka,Bengaluru,CinepolisLuluMallBengaluru,Kannada,10:00,Normal,130₹,31,0
Karnataka,Bengaluru,CinepolisLuluMallBengaluru,Kannada,10:00,Executive,150₹,128,0
Karnataka,Bengaluru,CinepolisLuluMallBengaluru,Kannada,10:00,Premium,170₹,76,0
Karnataka,Jigani,InoxCentralJpNagarMantriJunction,Kannada,10:00,Royal,210₹,8,4
Karnataka,Jigani,InoxCentralJpNagarMantriJunction,Kannada,10:00,Club,140₹,252,22
Karnataka,Jigani,CinepolisBinnypetMall,Kannada,10:10,Normal,112₹,42,0
Karnataka,Jigani,CinepolisBinnypetMall,Kannada,10:10,Executive,112₹,153,0
Karnataka,Jigani,CinepolisBinnypetMall,Kannada,10:10,Premium,112₹,63,8
Karnataka,Jigani,CinepolisBinnypetMall,Kannada,10:10,Vip,300₹,18,18
Karnataka,Jigani,VeereshCinemasMagadiRoad,Kannada,10:15,Balcony,110₹,322,2
Karnataka,Jigani,VeereshCinemasMagadiRoad,Kannada,10:15,FirstClass,100₹,602,0
Karnataka,Nelamangala,VrCinemas2KAC71DolbyAtmosMallathalli,Kannada,10:15,Balcony,120₹,252,22
Karnataka,Nelamangala,VrCinemas2KAC71DolbyAtmosMallathalli,Kannada,10:15,Second,100₹,417,7
Karnataka,Channarayapatna,GayatriTheatreChannarayapatna,Kannada,10:15,Balcony,121₹,229,158
Karnataka,Channarayapatna,GayatriTheatreChannarayapatna,Kannada,10:15,FirstClass,101₹,540,419
Karnataka,Jigani,PvrOrionMallDrRajkumarRoad,Kannada,10:25,Classic,112₹,128,10
Karnataka,Jigani,PvrOrionMallDrRajkumarRoad,Kannada,10:25,Prime,160₹,100,0
Karnataka,Jigani,PvrOrionMallDrRajkumarRoad,Kannada,10:25,Recliner,230₹,14,4
Karnataka,Jigani,CinepolisSjrCentralMallArekereBannergatta,Kannada,10:25,Normal,150₹,42,0
Karnataka,Jigani,CinepolisSjrCentralMallArekereBannergatta,Kannada,10:25,Executive,150₹,79,0
Karnataka,Jigani,CinepolisSjrCentralMallArekereBannergatta,Kannada,10:25,Premium,150₹,67,14
Karnataka,Jigani,CinepolisSjrCentralMallArekereBannergatta,Kannada,10:25,Vip,300₹,12,0
Karnataka,Bengaluru,VaibhavCinemasAC4K71DolbyDoddaballapura,Kannada,10:30,Diamond,150₹,144,21
Karnataka,Bengaluru,VaibhavCinemasAC4K71DolbyDoddaballapura,Kannada,10:30,Gold,120₹,361,80
Karnataka,Jigani,BharathiTheatrePeenyaAC4KDigitalCinema,Kannada,10:30,Gold,130₹,239,0
Karnataka,Jigani,BharathiTheatrePeenyaAC4KDigitalCinema,Kannada,10:30,Silver,100₹,580,0
Karnataka,Jigani,GopalanCinemasArcadeMallMysoreRoad,Kannada,10:30,Gold,200₹,292,5
Karnataka,Jigani,GopalanCinemasArcadeMallMysoreRoad,Kannada,10:30,Recliner,300₹,19,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,Kannada,10:30,Silver,70₹,34,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,Kannada,10:30,Gold,90₹,173,8
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,Kannada,10:30,PlatinumRecliner,150₹,20,2
Karnataka,Bengaluru,SantoshTheatreGandhinagar,Kannada,10:30,Balcony,120₹,412,0
Karnataka,Bengaluru,SantoshTheatreGandhinagar,Kannada,10:30,SecondClass,100₹,722,0
Karnataka,Bengaluru,SlnTheatreDolby71Hesaraghatta,Kannada,10:30,Balcony,100₹,264,0
Karnataka,KalaburagiGulbarga,InoxOrchidMallGulbarga,Kannada,10:30,Club,130₹,77,19
