State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Parbhani,MuktaA2CinemasMinakshiCinemaSailu,Hindi,00:01,Balcony,90₹,158,28
Maharashtra,Parbhani,MuktaA2CinemasMinakshiCinemaSailu,Hindi,00:01,Stall,70₹,358,27
Gujarat,Ahmedabad,CityGoldMotera,Hindi,07:30,Audi2,150₹,364,3
TamilNadu,Tirupur,SriSakthiCinemasMultiplexTirupur,Hindi,07:30,Diamond,200₹,42,42
TamilNadu,Tirupur,SriSakthiCinemasMultiplexTirupur,Hindi,07:30,Platinum,200₹,264,225
TamilNadu,Tirupur,SriSakthiCinemasMultiplexTirupur,Hindi,07:30,Silver,150₹,23,4
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,07:45,Imperial,310₹,15,5
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,07:45,Platinum,190₹,110,43
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,07:45,Gold,160₹,262,56
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,07:45,Silver,140₹,44,0
Gujarat,Ahmedabad,DeviMultiplexNaroda,Hindi,07:45,Platinum,110₹,42,0
Gujarat,Ahmedabad,DeviMultiplexNaroda,Hindi,07:45,Gold,110₹,98,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Hindi,07:50,Lounger,230₹,10,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Hindi,07:50,Classic,200₹,39,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Hindi,07:50,Prime,310₹,68,3
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,Hindi,07:50,Recliner,360₹,14,2
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,Hindi,07:50,Classic,250₹,80,1
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,Hindi,07:50,Prime,280₹,143,19
Gujarat,Rajkot,InoxRajkotRWorld,Hindi,08:00,Gold,180₹,199,26
Gujarat,Rajkot,InoxRajkotRWorld,Hindi,08:00,Silver,180₹,51,1
Maharashtra,Solapur,ESquareOasisACSolapur,Hindi,08:00,Sofa,250₹,44,5
Maharashtra,Solapur,ESquareOasisACSolapur,Hindi,08:00,Royal,300₹,22,10
Gujarat,Ahmedabad,ConnplexSmartTheatreScienceCity,Hindi,08:00,Miller,120₹,38,9
Gujarat,Ahmedabad,ConnplexSmartTheatreScienceCity,Hindi,08:00,Lounger,120₹,9,4
Maharashtra,Pune,PvrPhoenixMarketCityPune,Hindi,08:00,Classic,200₹,76,0
Maharashtra,Pune,PvrPhoenixMarketCityPune,Hindi,08:00,Prime,200₹,123,36
Maharashtra,Pune,PvrPhoenixMarketCityPune,Hindi,08:00,PrimePlus,290₹,13,7
