State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Kochi,PvrOberonMallKochi,Malayalam,09:10,Classic,100₹,36,0
Kerala,Kochi,PvrOberonMallKochi,Malayalam,09:10,ClassicPlus,129₹,141,5
Kerala,Kochi,PvrLuluKochi,Malayalam,09:45,Classic,89₹,57,0
Kerala,Kochi,PvrLuluKochi,Malayalam,09:45,ClassicPlus,110₹,133,11
Kerala,Kochi,PvrLuluKochi,Malayalam,09:45,Prime,125₹,143,19
Kerala,Kochi,PvrLuluKochi,Malayalam,09:45,Recliner,240₹,13,0
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,10:00,Normal,140₹,37,0
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,10:00,Executive,160₹,61,0
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,10:00,Premium,180₹,189,0
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,10:00,SilverOffline,150₹,147,34
Kerala,Trivandrum,CarnivalArtechCentralMallTrivandrum,Malayalam,10:00,ExecutiveOffline,100₹,26,1
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:15,RoyalRecliner,200₹,10,4
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:15,Club,130₹,63,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:15,Royal,130₹,28,19
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:15,Executive,100₹,22,0
Karnataka,Bengaluru,PvrMsrElementsMallTanisandhraMainRoad,Malayalam,10:15,Classic,112₹,114,34
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,10:15,SilverOffline,190₹,97,16
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,10:15,ExecutiveOffline,160₹,193,6
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,10:15,NormalOffline,100₹,17,0
Kerala,Kollam,CarnivalKollamRpMall,Malayalam,10:15,PremiumOffline,100₹,96,35
Kerala,Kozhikode,RegalCinemaKozhikode,Malayalam,10:30,FirstClassSc1,200₹,95,8
Kerala,Kanhangad,VinayakaTheatreComplexKanhangad,Malayalam,10:30,ParadiseBalcony,140₹,208,0
Kerala,Kanhangad,VinayakaTheatreComplexKanhangad,Malayalam,10:30,ParadiseFirstClass,129₹,285,0
Kerala,Trivandrum,CarnivalGreenfieldTrivandrum,Malayalam,10:40,ExecutiveOffline,100₹,145,15
Kerala,Kottayam,AshaTheatreKottayam,Malayalam,10:45,Gold,130₹,187,20
Kerala,Kottayam,AshaTheatreKottayam,Malayalam,10:45,Silver,110₹,33,0
Kerala,Changanassery,AnuTheatreChanganassery,Malayalam,10:45,Platinum,140₹,90,3
Kerala,Changanassery,AnuTheatreChanganassery,Malayalam,10:45,Gold,110₹,200,7
Kerala,Pathanamthitta,TrinityMovieMaxPathanamthitta,Malayalam,11:00,Special,130₹,110,14
Kerala,Kochi,PanCinemasNucleusMall,Malayalam,11:00,Platinum,230₹,7,0
Kerala,Kochi,PanCinemasNucleusMall,Malayalam,11:00,Gold,170₹,120,1
Kerala,Kozhikode,KairaliSreeTheatreKozhikode,Malayalam,11:00,SreeGold,129₹,263,10
Kerala,Kozhikode,AashirvadCineplexxKozhikode,Malayalam,11:00,Platinum,220₹,10,0
Kerala,Kozhikode,AashirvadCineplexxKozhikode,Malayalam,11:00,Gold,200₹,10,0
Kerala,Trivandrum,DreamsAttingal,Malayalam,11:05,Recliner,350₹,11,0
Kerala,Trivandrum,DreamsAttingal,Malayalam,11:05,Sofa,200₹,60,5
Kerala,Thodupuzha,SilverHillsCinemasThodupuzha,Malayalam,11:30,Silver,130₹,172,0
Kerala,Kochi,CasinoTalkiesAC2K3DDolbySurround71Aluva,Malayalam,11:30,Daimond,150₹,442,14
Kerala,Muvattupuzha,CarnivalGrandCentreMallMuvattupuzha,Malayalam,11:30,ExecutiveOffline,130₹,96,0
Kerala,Thamarassery,CityMallCinemasThamarassery,Malayalam,12:00,Platinum,260₹,9,0
Kerala,Thamarassery,CityMallCinemasThamarassery,Malayalam,12:00,Gold,160₹,78,8
Kerala,Kochi,PadmaCinemaKochi,Malayalam,12:15,Platinum,150₹,178,30
Kerala,Pallickathodu,AnchaniCinemas4KDolbyAtmosPallickathodu,Malayalam,12:15,Platinum,250₹,14,0
Kerala,Pallickathodu,AnchaniCinemas4KDolbyAtmosPallickathodu,Malayalam,12:15,Gold,150₹,153,6
Kerala,Kochi,PvrOberonMallKochi,Malayalam,12:25,Classic,110₹,36,0
Kerala,Kochi,PvrOberonMallKochi,Malayalam,12:25,ClassicPlus,140₹,141,17
Kerala,Alakode,AlakodeFilmCity4KDolbyAtmos,Malayalam,12:30,Chandra,129₹,151,25
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,12:50,RoyalRecliner,290₹,15,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,12:50,Club,170₹,221,14
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,12:50,Royal,170₹,44,25
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,12:50,Executive,130₹,36,1
Kerala,Kochi,PvrLuluKochi,Malayalam,13:00,Classic,110₹,57,0
Kerala,Kochi,PvrLuluKochi,Malayalam,13:00,ClassicPlus,140₹,133,18
Kerala,Kochi,PvrLuluKochi,Malayalam,13:00,Prime,160₹,143,31
Kerala,Kochi,PvrLuluKochi,Malayalam,13:00,Recliner,300₹,13,9
Kerala,Kollam,CarnivalKollamRpMall,Malayalam,13:00,PremiumOffline,150₹,96,30
Kerala,Kodungallur,CarnivalMughalMall,Malayalam,13:00,ExecutiveOffline,140₹,225,0
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,13:15,SilverOffline,190₹,97,23
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,13:15,ExecutiveOffline,160₹,193,22
Kerala,Trivandrum,CarnivalMallOfTravancoreTrivandrum,Malayalam,13:15,NormalOffline,100₹,17,7
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,13:15,GoldOffline,180₹,8,2
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,13:15,ExecutiveOffline,110₹,135,42
Kerala,Kozhikode,EMaxCinemasDolbyAtmosRgbLaserCalicut,Malayalam,13:30,Audi3,160₹,151,18
Kerala,Karunagapally,CarnivalHJComplex,Malayalam,13:30,ClassicOffline,100₹,194,25
Kerala,Kozhikode,AashirvadCineplexxKozhikode,Malayalam,13:45,Platinum,220₹,10,0
Kerala,Kozhikode,AashirvadCineplexxKozhikode,Malayalam,13:45,Gold,200₹,10,0
Kerala,Alappuzha,PanCinemasAlappuzha,Malayalam,13:55,Platinum,230₹,34,0
Kerala,Alappuzha,PanCinemasAlappuzha,Malayalam,13:55,Gold,170₹,138,3
Kerala,Irinjalakuda,ChembakasseryCinemasIrinjalakuda,Malayalam,14:00,RoyalCircle,129₹,270,1
Kerala,Kottayam,AshaTheatreKottayam,Malayalam,14:00,Gold,130₹,187,6
Kerala,Kottayam,AshaTheatreKottayam,Malayalam,14:00,Silver,110₹,33,0
Kerala,Angamaly,CarnivalKsrtComplex,Malayalam,14:00,GoldOffline,130₹,202,41
Kerala,Palakkad,AromaScreen2Palakkad,Malayalam,14:15,KingCircle,115₹,235,3
Kerala,Alappuzha,ParadiseCinemaCherthala,Malayalam,14:15,Gold,130₹,204,0
