State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
,Shirpur,AlankarChitramandirShirpur,Hindi,11:00,DiamondClass,120₹,105,0
,Shirpur,AlankarChitramandirShirpur,Hindi,11:00,GoldClass,80₹,166,0
Chhattisgarh,Narayanpur,AgCinemasNarayanpur,Hindi,11:45,Platinum,150₹,142,0
Chhattisgarh,Narayanpur,AgCinemasNarayanpur,Hindi,11:45,Gold,120₹,104,0
Maharashtra,Dahanu,PurnimaCinemaDahanu,Hindi,12:00,GoldClass,150₹,100,0
Maharashtra,Dahanu,PurnimaCinemaDahanu,Hindi,12:00,SilverClass,100₹,151,0
Maharashtra,Ichalkaranji,PanchvatiCinemaIchalkaranji,Hindi,12:00,Royal,70₹,145,0
Maharashtra,Ichalkaranji,PanchvatiCinemaIchalkaranji,Hindi,12:00,Balcony,60₹,207,0
Maharashtra,Ichalkaranji,PanchvatiCinemaIchalkaranji,Hindi,12:00,Stall,50₹,424,0
Maharashtra,Pusad,BarkhaCinemaPusad,Hindi,12:00,Platinum,120₹,32,0
Maharashtra,Pusad,BarkhaCinemaPusad,Hindi,12:00,Gold,100₹,60,0
Maharashtra,Pusad,BarkhaCinemaPusad,Hindi,12:00,Silver,50₹,80,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Hindi,12:00,Balcony,100₹,165,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Hindi,12:00,UpperStall,70₹,230,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Hindi,12:00,LowerClass,50₹,98,0
Maharashtra,Akola,FunCinemasVasantTalkiesAkola,Hindi,12:30,Balcony,110₹,146,0
Maharashtra,Akola,FunCinemasVasantTalkiesAkola,Hindi,12:30,Reserve,70₹,150,0
Maharashtra,Akola,FunCinemasVasantTalkiesAkola,Hindi,12:30,First,50₹,294,0
WestBengal,Memari,KristiCinemaMemari,Hindi,13:25,LowerStall,80₹,448,0
WestBengal,Memari,KristiCinemaMemari,Hindi,13:25,UpperStall,100₹,324,4
,Shirpur,AlankarChitramandirShirpur,Hindi,14:30,DiamondClass,120₹,105,0
,Shirpur,AlankarChitramandirShirpur,Hindi,14:30,GoldClass,80₹,166,0
Chhattisgarh,Narayanpur,AgCinemasNarayanpur,Hindi,15:00,Platinum,150₹,142,0
Chhattisgarh,Narayanpur,AgCinemasNarayanpur,Hindi,15:00,Gold,120₹,104,0
Maharashtra,Dahanu,PurnimaCinemaDahanu,Hindi,15:00,GoldClass,150₹,100,0
Maharashtra,Dahanu,PurnimaCinemaDahanu,Hindi,15:00,SilverClass,100₹,151,0
Maharashtra,Ichalkaranji,PanchvatiCinemaIchalkaranji,Hindi,15:00,Royal,70₹,145,0
Maharashtra,Ichalkaranji,PanchvatiCinemaIchalkaranji,Hindi,15:00,Balcony,60₹,207,0
Maharashtra,Ichalkaranji,PanchvatiCinemaIchalkaranji,Hindi,15:00,Stall,50₹,424,0
Maharashtra,Pusad,BarkhaCinemaPusad,Hindi,15:00,Platinum,120₹,32,0
Maharashtra,Pusad,BarkhaCinemaPusad,Hindi,15:00,Gold,100₹,60,0
Maharashtra,Pusad,BarkhaCinemaPusad,Hindi,15:00,Silver,50₹,80,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Hindi,15:00,Balcony,100₹,165,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Hindi,15:00,UpperStall,70₹,230,0
Maharashtra,Amravati,PriyaTalkiesAmravati,Hindi,15:00,LowerClass,50₹,98,0
Maharashtra,Mumbai,PremierGoldDongri,Hindi,15:30,DressCircle,112₹,132,0
Maharashtra,Mumbai,PremierGoldDongri,Hindi,15:30,Stall,100₹,198,0
Maharashtra,Akola,FunCinemasVasantTalkiesAkola,Hindi,15:30,Balcony,110₹,146,2
Maharashtra,Akola,FunCinemasVasantTalkiesAkola,Hindi,15:30,Reserve,70₹,150,0
Maharashtra,Akola,FunCinemasVasantTalkiesAkola,Hindi,15:30,First,50₹,294,0
WestBengal,Kolkata,NazrultirthaCinemaKolkata,Hindi,16:15,Silver,130₹,182,0
