City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Vijayawada,CinepolisPvpSquareMallVijayawada,520010,Telugu,09:30,Normal,177₹,185,0
Kolar,SriNarayaniDigital2KCinemaKolar,563101,Telugu,09:45,BalconyClass,150₹,84,0
Kolar,SriNarayaniDigital2KCinemaKolar,563101,Telugu,09:45,FirstClass,100₹,100,0
Chikkaballapur,BalajiTalkiesChikkaballapura,562101,Telugu,10:00,Balcony,120₹,171,0
Warangal,PvrMaddoxWarangal,506001,Telugu,10:00,Classic,295₹,121,0
Hyderabad,MirajCinemasCineTownMiyapur,500049,Telugu,10:00,Executive,175₹,313,0
Hyderabad,PvrMusarambaghHyderabad,500036,Telugu,10:00,Classic,295₹,160,13
Hyderabad,InoxGsmMallHyderabad,500049,Telugu,10:00,Royal,350₹,7,0
Hyderabad,InoxGsmMallHyderabad,500049,Telugu,10:00,Executive,295₹,146,0
Vijayawada,CinepolisPowerOneMallVijayawada,520007,Telugu,10:10,Normal,147₹,24,0
Vijayawada,CinepolisPowerOneMallVijayawada,520007,Telugu,10:10,Executive,147₹,54,0
Vijayawada,CinepolisPowerOneMallVijayawada,520007,Telugu,10:10,Premium,147₹,82,24
Hyderabad,PvrForumSujanaMallKukatpallyHyderabad,500072,Telugu,10:10,Classic,295₹,232,56
Hyderabad,PvrForumSujanaMallKukatpallyHyderabad,500072,Telugu,10:10,Recliner,350₹,12,12
Narasannapeta,SriRajeswariKalaMandirNarsannapeta,532421,Telugu,10:15,Premium,100₹,174,0
Hyderabad,CinepolisMantraMallAttapur,500030,Telugu,10:15,Normal,295₹,188,0
Hyderabad,CinepolisMantraMallAttapur,500030,Telugu,10:15,Vip,350₹,10,10
Hyderabad,PvrCentralMallPanjagutta,500082,Telugu,10:15,Classic,295₹,255,19
Hyderabad,CinepolisDslVirtueMallUppalHyderabad,500039,Telugu,10:25,Normal,295₹,35,0
Hyderabad,CinepolisDslVirtueMallUppalHyderabad,500039,Telugu,10:25,Executive,295₹,142,0
Hyderabad,CinepolisDslVirtueMallUppalHyderabad,500039,Telugu,10:25,Vip,350₹,14,0
VizagVisakhapatnam,MouryaTheaterACDtsGopalapatnam,530027,Telugu,10:30,Balcony,145₹,147,0
Parvathipuram,SowndaryaDeluxe2KACParvathipuram,535501,Telugu,10:30,Premium,112₹,438,0
Doddaballapura,VaibhavCinemasAC4K71DolbyDoddaballapura,561203,Telugu,10:30,Diamond,150₹,144,20
Doddaballapura,VaibhavCinemasAC4K71DolbyDoddaballapura,561203,Telugu,10:30,Gold,100₹,361,79
Sidlaghatta,Mayura4KTheatreSidlagatta,562105,Telugu,10:30,Balcony,120₹,130,0
Hyderabad,AmbCinemasGachibowli,500084,Telugu,10:30,Platinum,350₹,10,10
Hyderabad,AmbCinemasGachibowli,500084,Telugu,10:30,Gold,295₹,138,42
Hyderabad,AmbCinemasGachibowli,500084,Telugu,10:30,Loungers,295₹,14,0
Rayagada,SriRamaTalkiesRayagada,765001,Telugu,10:30,Balcony,100₹,92,0
Paralakhemundi,JayaMahalParalakhemundi,761200,Telugu,10:30,RoyalCircle,100₹,224,0
Gajwel,SantoshTheatreGajwel,502278,Telugu,10:30,Balcony,150₹,200,0
Hyderabad,AsianCineSquareMultiplexUppal,500039,Telugu,10:35,Sofa,350₹,2,2
Hyderabad,AsianCineSquareMultiplexUppal,500039,Telugu,10:35,Gold,295₹,144,35
Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,500088,Telugu,10:35,Recliners,350₹,13,0
Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,500088,Telugu,10:35,Sofa,350₹,14,0
Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,500088,Telugu,10:35,Gold,295₹,133,60
Hyderabad,AsianMuktaCinemasA2MjrSquareNarapally,500088,Telugu,10:35,Loungers,295₹,12,0
VizagVisakhapatnam,NatrajACDtsScreen1Pendurthi,531173,Telugu,10:40,FirstClass,112₹,194,0
