State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Hindi,07:30,Business,500₹,15,4
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Hindi,07:30,Platinum,300₹,192,18
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Hindi,07:30,Gold,240₹,51,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Hindi,07:30,Silver,170₹,34,0
Maharashtra,Mumbai,MaxusCinemasBorivaliW,Hindi,07:45,Sofa,112₹,39,7
Maharashtra,Mumbai,MaxusCinemasBorivaliW,Hindi,07:45,PremiumPlus,99₹,198,5
Maharashtra,Mumbai,MaxusCinemasBorivaliW,Hindi,07:45,Premium,99₹,42,0
Gujarat,Ahmedabad,1NewfangledMiniplexMondealRetailPark,Hindi,08:00,VipClub,300₹,12,7
Gujarat,Ahmedabad,1NewfangledMiniplexMondealRetailPark,Hindi,08:00,Premium,300₹,11,3
Gujarat,Rajkot,ConnplexSmartTheatreRajkot,Hindi,08:30,Miller,150₹,67,0
Gujarat,Rajkot,ConnplexSmartTheatreRajkot,Hindi,08:30,Lounger,150₹,8,0
Gujarat,Ahmedabad,TheCinestarMiniplexBhatCircleSpRingRoad,Hindi,08:45,CoupleSofa,200₹,18,0
Gujarat,Ahmedabad,TheCinestarMiniplexBhatCircleSpRingRoad,Hindi,08:45,Sofa,130₹,50,0
Gujarat,Ahmedabad,TheCinestarMiniplexBhatCircleSpRingRoad,Hindi,08:45,Lounger,130₹,10,0
Maharashtra,Mumbai,MaxusCinemasBhayander,Hindi,08:45,Recliners,149₹,24,7
Maharashtra,Mumbai,MaxusCinemasBhayander,Hindi,08:45,Sofa,112₹,23,0
Maharashtra,Mumbai,MaxusCinemasBhayander,Hindi,08:45,PremiumPlus,99₹,262,4
Maharashtra,Mumbai,MaxusCinemasBhayander,Hindi,08:45,Premium,99₹,64,0
Maharashtra,Mumbai,MaxusCinemasBhayander,Hindi,08:45,Lounger,99₹,11,0
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Hindi,09:00,GoldenClass,75₹,254,0
Gujarat,Ahmedabad,AppleMultiplexGotaAhmedabad,Hindi,09:00,Platinum,140₹,29,0
Gujarat,Ahmedabad,AppleMultiplexGotaAhmedabad,Hindi,09:00,Lounger,130₹,13,0
Gujarat,Ahmedabad,AppleMultiplexGotaAhmedabad,Hindi,09:00,SliderSofa,120₹,64,0
Gujarat,Ahmedabad,CinepolisNexusAhmedabadOne,Hindi,09:00,Normal,110₹,39,0
Gujarat,Ahmedabad,CinepolisNexusAhmedabadOne,Hindi,09:00,Executive,130₹,168,2
Gujarat,Ahmedabad,CinepolisNexusAhmedabadOne,Hindi,09:00,Premium,190₹,68,12
Gujarat,Ahmedabad,AppleCinemaBapunagar,Hindi,09:00,Lounger,160₹,10,0
Gujarat,Ahmedabad,AppleCinemaBapunagar,Hindi,09:00,SliderSofa,140₹,97,0
MadhyaPradesh,Bhopal,PvrAuraMallBhopal,Hindi,09:00,Recliner,240₹,15,0
MadhyaPradesh,Bhopal,PvrAuraMallBhopal,Hindi,09:00,Classic,130₹,88,0
MadhyaPradesh,Bhopal,PvrAuraMallBhopal,Hindi,09:00,Prime,130₹,227,22
Maharashtra,Pune,InoxElproCitySquareChinchwad,Hindi,09:00,RoyaleRecliners,240₹,16,5
Maharashtra,Pune,InoxElproCitySquareChinchwad,Hindi,09:00,Royale,140₹,129,23
Maharashtra,Pune,InoxElproCitySquareChinchwad,Hindi,09:00,Club,130₹,90,0
Maharashtra,Pune,InoxElproCitySquareChinchwad,Hindi,09:00,Executive,130₹,30,0
Maharashtra,Pune,PvrPhoenixMarketCityPune,Hindi,09:00,Classic,110₹,36,2
Maharashtra,Pune,PvrPhoenixMarketCityPune,Hindi,09:00,Prime,130₹,153,11
Maharashtra,Pune,PvrPhoenixMarketCityPune,Hindi,09:00,PrimePlus,160₹,21,13
Maharashtra,Pune,PvrPhoenixMarketCityPune,Hindi,09:00,Recliner,260₹,16,6
Gujarat,Ahmedabad,MuktaA2CinemasTheRetailParkTrpBopal,Hindi,09:00,PremiumSofa,130₹,58,0
Maharashtra,Pune,PvrIconThePavillionPune,Hindi,09:00,Recliner,480₹,14,2
Maharashtra,Pune,PvrIconThePavillionPune,Hindi,09:00,Prime,170₹,209,21
Maharashtra,Pune,PvrIconThePavillionPune,Hindi,09:00,Classic,140₹,40,0
Gujarat,Ahmedabad,AppleMultiplexManinagarAhmedabad,Hindi,09:00,UpperSofa,150₹,12,0
Gujarat,Ahmedabad,AppleMultiplexManinagarAhmedabad,Hindi,09:00,Lounger,140₹,8,0
Gujarat,Ahmedabad,AppleMultiplexManinagarAhmedabad,Hindi,09:00,Platinum,130₹,96,0
Maharashtra,Nagpur,CinepolisVrMallNagpur,Hindi,09:00,Normal,110₹,35,1
Maharashtra,Nagpur,CinepolisVrMallNagpur,Hindi,09:00,Executive,130₹,90,6
