City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Ahmedabad,ConnplexSmartMiniplexScienceCity,380060,Hindi,08:00,TwoSeats1For2Admit,400₹,16,0
Nagpur,MovieMaxEternityNagpur,440012,Hindi,08:45,Classic,70₹,88,2
Nagpur,MovieMaxEternityNagpur,440012,Hindi,08:45,Prime,100₹,212,3
Nagpur,MovieMaxEternityNagpur,440012,Hindi,08:45,Recliner,250₹,20,0
Asansol,CarnivalSentrumMall,713341,Hindi,08:55,Gold,99₹,36,0
Asansol,CarnivalSentrumMall,713341,Hindi,08:55,Silver,99₹,192,0
Asansol,CarnivalSentrumMall,713341,Hindi,08:55,Premium,99₹,84,0
BerhampurOdisha,GautamCinemaACDolbyDigital2KBerhampur,760001,Hindi,09:00,BalconyClass,120₹,180,0
BerhampurOdisha,GautamCinemaACDolbyDigital2KBerhampur,760001,Hindi,09:00,ExecutiveClass,170₹,36,0
BerhampurOdisha,GautamCinemaACDolbyDigital2KBerhampur,760001,Hindi,09:00,RearStall,90₹,270,0
Ahmedabad,1NewfangledMiniplexMondealRetailPark,380059,Hindi,09:00,VipClub,450₹,12,2
Ahmedabad,1NewfangledMiniplexMondealRetailPark,380059,Hindi,09:00,Premium,400₹,11,0
Ahmedabad,2NewfangledMiniplexMoteraAhmedabad,380005,Hindi,09:00,CoupleSeat,300₹,29,2
Kolkata,JayantiCinemaBarrackpore,700120,Hindi,09:00,SuperStall,100₹,96,0
Ahmednagar,AshaSquareMultiplexAhmednagar,414001,Hindi,09:00,GoldenClass,120₹,342,0
Gwalior,GoldCinemaGwalior,474011,Hindi,09:00,Gold,112₹,99,0
Gwalior,GoldCinemaGwalior,474011,Hindi,09:00,Silver,100₹,27,0
Katni,CineWorldzCinemaKatni,483501,Hindi,09:00,Recliner,149₹,10,0
Katni,CineWorldzCinemaKatni,483501,Hindi,09:00,Platinum,99₹,62,0
Katni,CineWorldzCinemaKatni,483501,Hindi,09:00,Gold,99₹,96,0
Katni,CineWorldzCinemaKatni,483501,Hindi,09:00,Silver,99₹,64,0
NationalCapitalRegionNcr,LibertyCinemaKarolBagh,110005,Hindi,09:00,Balcony,205₹,184,2
NationalCapitalRegionNcr,LibertyCinemaKarolBagh,110005,Hindi,09:00,UpperStall,140₹,355,2
NationalCapitalRegionNcr,LibertyCinemaKarolBagh,110005,Hindi,09:00,CenterStall,110₹,280,0
NationalCapitalRegionNcr,LibertyCinemaKarolBagh,110005,Hindi,09:00,LowerStall,85₹,140,6
Beed,ESquareSantoshimataBeed,431122,Hindi,09:00,Daimond,200₹,29,0
Beed,ESquareSantoshimataBeed,431122,Hindi,09:00,Gold,150₹,174,0
Beed,ESquareSantoshimataBeed,431122,Hindi,09:00,Silver,120₹,180,0
Nichlaul,JadoozCinemaNichlaul,273304,Hindi,09:00,Platinum,100₹,27,0
NationalCapitalRegionNcr,ApsaraCinemaGhaziabad,201006,Hindi,09:00,Gold,110₹,146,0
Bhopal,KSeraSeraMiniplexBhopal,462047,Hindi,09:00,Gold,70₹,20,0
Bhopal,KSeraSeraMiniplexBhopal,462047,Hindi,09:00,Pr,70₹,13,0
Bhopal,KSeraSeraMiniplexBhopal,462047,Hindi,09:00,Silver,70₹,65,0
Ramnagar,KSeraSeraMiniplexRamnagar,244715,Hindi,09:00,Gold,150₹,62,0
Ramnagar,KSeraSeraMiniplexRamnagar,244715,Hindi,09:00,Silver,112₹,10,0
Surat,BajrangCinemaSurat,395004,Hindi,09:00,Silver,150₹,12,0
Ahmedabad,ConnplexSmartMiniplexScienceCity,380060,Hindi,09:00,Miller,120₹,45,0
Ahmedabad,ConnplexSmartMiniplexScienceCity,380060,Hindi,09:00,Lounger,120₹,9,0
Vadodara,CinemarcNewVipRoad,390022,Hindi,09:00,Royal,80₹,35,0
Vadodara,CinemarcNewVipRoad,390022,Hindi,09:00,Gold,80₹,37,0
Vadodara,CinemarcNewVipRoad,390022,Hindi,09:00,Silver,80₹,158,0
Vadodara,CinemarcNewVipRoad,390022,Hindi,09:00,Premium,80₹,46,0
Pune,CineProVasantCinemaPune,411002,Hindi,09:00,Balcony,80₹,96,0
Pune,CineProVasantCinemaPune,411002,Hindi,09:00,Stall,50₹,208,0
NationalCapitalRegionNcr,PvrVegasDwarka,110078,Hindi,09:00,Classic,200₹,228,5
