State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Bengaluru,CinepolisOrionEastMallBanaswadi,Kannada,09:55,Normal,160₹,30,0
Karnataka,Bengaluru,CinepolisOrionEastMallBanaswadi,Kannada,09:55,Executive,180₹,102,0
Karnataka,Bengaluru,CinepolisOrionEastMallBanaswadi,Kannada,09:55,Premium,200₹,53,4
Karnataka,MangaluruMangalore,CinepolisCityCentreMallMangaluru,Kannada,10:00,Normal,150₹,28,0
Karnataka,MangaluruMangalore,CinepolisCityCentreMallMangaluru,Kannada,10:00,Executive,150₹,133,0
Karnataka,MangaluruMangalore,CinepolisCityCentreMallMangaluru,Kannada,10:00,Premium,150₹,58,3
Karnataka,Bengaluru,GopalanMallSirsiCircle,Kannada,10:00,Gold,180₹,187,6
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,10:00,Vip,400₹,12,0
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,10:00,Gold,200₹,36,5
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,10:00,Silver,180₹,41,0
Karnataka,Kundapura,BharathCinemasKundapura,Kannada,10:00,Special,150₹,60,0
Karnataka,Raichur,MirajCinemasRaichur,Kannada,10:00,Gold,170₹,61,0
Karnataka,Raichur,MirajCinemasRaichur,Kannada,10:00,Executive,150₹,90,0
Karnataka,Raichur,MirajCinemasRaichur,Kannada,10:00,Silver,130₹,30,0
Karnataka,BelagaviBelgaum,CarnivalKapeelNucleusMall,Kannada,10:00,Platinum,140₹,140,24
Karnataka,BelagaviBelgaum,CarnivalKapeelNucleusMall,Kannada,10:00,Gold,140₹,85,0
Karnataka,BelagaviBelgaum,CarnivalKapeelNucleusMall,Kannada,10:00,Silver,140₹,51,0
Karnataka,BelagaviBelgaum,InoxCampRoadBelagavi,Kannada,10:10,Royal,150₹,46,6
Karnataka,BelagaviBelgaum,InoxCampRoadBelagavi,Kannada,10:10,Club,130₹,371,9
Karnataka,BelagaviBelgaum,InoxCampRoadBelagavi,Kannada,10:10,Executive,100₹,125,0
Karnataka,Bengaluru,VeereshCinemasMagadiRoad,Kannada,10:15,Balcony,110₹,322,18
Karnataka,Bengaluru,VeereshCinemasMagadiRoad,Kannada,10:15,FirstClass,100₹,602,2
Karnataka,Bengaluru,VrCinemas2KAC71DolbyAtmosMallathalli,Kannada,10:15,Balcony,120₹,252,24
Karnataka,Bengaluru,VrCinemas2KAC71DolbyAtmosMallathalli,Kannada,10:15,Second,100₹,417,7
Karnataka,TumakuruTumkur,InoxSMallTumakuru,Kannada,10:15,Royal,230₹,16,10
Karnataka,TumakuruTumkur,InoxSMallTumakuru,Kannada,10:15,Club,130₹,130,54
Karnataka,TumakuruTumkur,InoxSMallTumakuru,Kannada,10:15,Executive,110₹,184,5
Karnataka,Bengaluru,PvrNexusFormerlyForumKoramangala,Kannada,10:20,Classic,230₹,177,20
Karnataka,Bengaluru,PvrNexusFormerlyForumKoramangala,Kannada,10:20,Lounger,240₹,11,3
