State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Bihar,Patna,CinepolisPMMallPatna,Hindi,09:45,Normal,100₹,325,30
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Hindi,10:00,Balcony,70₹,55,0
MadhyaPradesh,Bhopal,CinepolisDbMallBhopal,Hindi,10:00,Normal,100₹,60,0
MadhyaPradesh,Bhopal,CinepolisDbMallBhopal,Hindi,10:00,Executive,100₹,94,3
MadhyaPradesh,Bhopal,CinepolisAashimaMallBhopal,Hindi,10:10,Normal,100₹,30,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBhopal,Hindi,10:10,Executive,100₹,102,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBhopal,Hindi,10:10,Premium,100₹,73,0
UttarPradesh,NationalCapitalRegionNcr,CinepolisJanakCinemaNewDelhi,Hindi,11:00,Normal,100₹,26,0
UttarPradesh,NationalCapitalRegionNcr,CinepolisJanakCinemaNewDelhi,Hindi,11:00,Executive,100₹,112,19
UttarPradesh,NationalCapitalRegionNcr,CinepolisJanakCinemaNewDelhi,Hindi,11:00,Premium,100₹,28,24
UttarPradesh,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,Hindi,11:00,Normal,150₹,36,0
AndhraPradesh,Eluru,AmbicaDeluxEluru,Telugu,11:00,FirstClass,150₹,57,0
WestBengal,Kalyani,SreeLakshmiTalkiesKachrapara,Hindi,11:00,Balcony,80₹,150,0
WestBengal,Kalyani,SreeLakshmiTalkiesKachrapara,Hindi,11:00,SplGold,70₹,95,0
WestBengal,Kalyani,SreeLakshmiTalkiesKachrapara,Hindi,11:00,RStall,60₹,409,90
Orissa,Kesinga,ChiranjibiTalkiesKesinga,Hindi,11:00,RearClass,120₹,24,0
Orissa,Kesinga,ChiranjibiTalkiesKesinga,Hindi,11:00,FrontClass,100₹,23,0
AndhraPradesh,Srikakulam,MithraMovieMaxSrikakulam,Telugu,11:00,Balcony,140₹,46,0
AndhraPradesh,Adilabad,MaheshwariTheatreAdilabad,Telugu,11:15,UpperBalcony,200₹,583,0
AndhraPradesh,Adilabad,MaheshwariTheatreAdilabad,Telugu,11:15,LowerBalcony,110₹,583,0
AndhraPradesh,Adilabad,MaheshwariTheatreAdilabad,Telugu,11:15,FirstClass,80₹,583,0
AndhraPradesh,Adilabad,MaheshwariTheatreAdilabad,Telugu,11:15,SecondClass,50₹,583,0
Orissa,Bhawanipatna,BhagirathiMultiplexBhawanipatna,Hindi,11:15,Recliner,300₹,12,0
Bihar,Muzaffarpur,CinepolisGrandMallMuzaffarpur,Hindi,11:30,Normal,100₹,26,0
Bihar,Muzaffarpur,CinepolisGrandMallMuzaffarpur,Hindi,11:30,Executive,100₹,106,0
Bihar,Muzaffarpur,CinepolisGrandMallMuzaffarpur,Hindi,11:30,Premium,100₹,52,8
Chhattisgarh,Basna,CityCinemaBasna,Hindi,12:00,Box1,170₹,8,0
Chhattisgarh,Basna,CityCinemaBasna,Hindi,12:00,Box2,170₹,8,0
Chhattisgarh,Basna,CityCinemaBasna,Hindi,12:00,Diamond,120₹,176,0
MadhyaPradesh,Baihar,TreasureCinemaBaihar,Hindi,12:00,ReclinerClass,200₹,5,0
MadhyaPradesh,Baihar,TreasureCinemaBaihar,Hindi,12:00,PlatinumClass,150₹,92,0
MadhyaPradesh,Baihar,TreasureCinemaBaihar,Hindi,12:00,GoldClass,100₹,57,0
MadhyaPradesh,Baihar,TreasureCinemaBaihar,Hindi,12:00,SilverClass,80₹,38,0
MadhyaPradesh,Dhar,SheshnagManmandirCinemaDhar,Hindi,12:00,VipClass,100₹,10,0
TamilNadu,Chennai,PvrGrandMallVelachery,Tamil,12:00,Prime,165₹,214,27
TamilNadu,Chennai,PvrGrandMallVelachery,Tamil,12:00,Classic,60₹,42,42
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,12:00,Normal,100₹,23,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,12:00,Executive,100₹,52,21
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,12:00,Premium,100₹,44,43
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,12:00,Vip,300₹,9,8
Orissa,Bargarh,DeepaliCinemaxBargarh,Hindi,12:15,Arena,100₹,52,0
Orissa,Bargarh,DeepaliCinemaxBargarh,Hindi,12:15,Classic,100₹,33,0
Pondicherry,Pondicherry,PvrTheCinemaProvidencePondicherry,Tamil,12:20,Elite,150₹,167,41
Pondicherry,Pondicherry,PvrTheCinemaProvidencePondicherry,Tamil,12:20,Premium,110₹,62,6
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Hindi,12:25,Balcony,70₹,55,0
Gujarat,Kosamba,CoconutSalimCinemaKosamba,Hindi,12:30,Gold,100₹,85,0
Rajasthan,Jaipur,GolchaCinemaJaipur,Hindi,12:30,Excutive,100₹,160,24
Rajasthan,Jaipur,GolchaCinemaJaipur,Hindi,12:30,RoyalBox,100₹,94,31
TamilNadu,Chennai,SpiPalazzoTheForumVijayaMallVadapalani,Tamil,12:45,Budget,60₹,26,23
TamilNadu,Chennai,SpiPalazzoTheForumVijayaMallVadapalani,Tamil,12:45,Elite,165₹,219,49
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Tamil,12:50,Classic,60₹,15,15
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Tamil,12:50,Prime,165₹,118,15
WestBengal,CoochBehar,NewCinemaCoochBehar,Hindi,13:00,Balcony,80₹,59,2
UttarPradesh,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,Hindi,13:00,Premium,100₹,87,26
UttarPradesh,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,Hindi,13:00,Classic,100₹,171,0
