State,City,ZIP,Name,Language,Time,Type,Price,Capacity,Booked
,Pathanamthitta,689645,AiswaryaTheatrePathanamthitta,Malayalam,11:15,Special,130₹,392,0
,Palakkad,678001,SreeDeviDurgaVCinemasPalakkad,Malayalam,14:30,Standard,140₹,126,0
Kerala,Trivandrum,695141,SrCinemaVarkkala,Malayalam,15:00,Balcony,170₹,96,0
Kerala,Trivandrum,695141,SrCinemaVarkkala,Malayalam,15:00,FamilyLounge,270₹,20,0
Kerala,Trivandrum,695141,SrCinemaVarkkala,Malayalam,15:00,Gold,140₹,272,0
Kerala,Kochi,682024,PvrLuluKochi,Malayalam,16:20,Classic,140₹,39,0
Kerala,Kochi,682024,PvrLuluKochi,Malayalam,16:20,ClassicPlus,160₹,91,3
Kerala,Kochi,682024,PvrLuluKochi,Malayalam,16:20,Prime,190₹,68,20
Kerala,Kochi,682024,PvrLuluKochi,Malayalam,16:20,Recliner,350₹,10,6
Kerala,Thodupuzha,685584,AashirvadCineplexxThodupuzha,Malayalam,16:30,Platinum,210₹,9,0
Kerala,Thodupuzha,685584,AashirvadCineplexxThodupuzha,Malayalam,16:30,Gold,190₹,55,0
Kerala,Thodupuzha,685584,AashirvadCineplexxThodupuzha,Malayalam,16:30,Silver,155₹,115,0
,Palakkad,678001,SreeDeviDurgaVCinemasPalakkad,Malayalam,18:00,Standard,140₹,126,0
Kerala,Kozhikode,673001,AashirvadCineplexxKozhikode,Malayalam,18:15,Platinum,220₹,30,6
Kerala,Kozhikode,673001,AashirvadCineplexxKozhikode,Malayalam,18:15,Gold,200₹,66,2
Kerala,Kochi,682011,PadmaCinemaKochi,Malayalam,18:30,Platinum,150₹,178,35
Kerala,Thrissur,680001,RagamTheatre4KDolbyAtmosThrissur,Malayalam,18:30,Balcony,125₹,197,2
Kerala,Thrissur,680001,RagamTheatre4KDolbyAtmosThrissur,Malayalam,18:30,FirstClass,100₹,550,0
Kerala,Trivandrum,695001,AriesplexSlCinemas,Malayalam,19:15,Executive,110₹,70,9
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreTrivandrum,Malayalam,19:45,Silver,210₹,103,18
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreTrivandrum,Malayalam,19:45,ExecutiveOffline,180₹,72,3
Kerala,Trivandrum,695024,CarnivalMallOfTravancoreTrivandrum,Malayalam,19:45,NormalOffline,100₹,18,0
,Palakkad,678001,SreeDeviDurgaVCinemasPalakkad,Malayalam,21:00,Standard,140₹,126,0
Kerala,Thrissur,680001,RagamTheatre4KDolbyAtmosThrissur,Malayalam,21:30,Balcony,125₹,197,7
Kerala,Thrissur,680001,RagamTheatre4KDolbyAtmosThrissur,Malayalam,21:30,FirstClass,100₹,550,0
Kerala,Trivandrum,695141,SrCinemaVarkkala,Malayalam,21:45,Balcony,170₹,96,14
Kerala,Trivandrum,695141,SrCinemaVarkkala,Malayalam,21:45,FamilyLounge,270₹,20,0
Kerala,Trivandrum,695141,SrCinemaVarkkala,Malayalam,21:45,Gold,140₹,273,1
Kerala,Thrissur,680553,InoxSobhaCityMall,Malayalam,21:50,RoyalRecliner,350₹,10,3
Kerala,Thrissur,680553,InoxSobhaCityMall,Malayalam,21:50,Club,190₹,63,14
Kerala,Thrissur,680553,InoxSobhaCityMall,Malayalam,21:50,Royal,190₹,28,25
Kerala,Thrissur,680553,InoxSobhaCityMall,Malayalam,21:50,Executive,130₹,20,0
