State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Bihar,Lakhisarai,RajChitraMandirLakhisarai,Bhojpuri,11:30,FamilyBox,150₹,25,0
Bihar,Lakhisarai,RajChitraMandirLakhisarai,Bhojpuri,11:30,DressCircle,120₹,50,0
Bihar,Chanpatia,ShyamTalkiesAcDolby71Chanpatia,Bhojpuri,12:00,Gold,80₹,47,0
Bihar,Chanpatia,ShyamTalkiesAcDolby71Chanpatia,Bhojpuri,12:00,Silver,60₹,85,0
Bihar,Danapur,DianaCinemaDanapurWithNewSoundProjection,Bhojpuri,12:00,DressCircle,80₹,209,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,12:00,RedClassic,150₹,49,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,12:00,RedBox,130₹,54,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,12:00,BlueBox,100₹,100,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,12:20,Deluxe,300₹,22,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,12:20,Premium,220₹,30,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,12:20,Executive,150₹,131,2
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,12:20,Gold,120₹,48,0
Bihar,Lakhisarai,RajChitraMandirLakhisarai,Bhojpuri,14:30,FamilyBox,150₹,25,0
Bihar,Lakhisarai,RajChitraMandirLakhisarai,Bhojpuri,14:30,DressCircle,120₹,50,0
Bihar,Chanpatia,ShyamTalkiesAcDolby71Chanpatia,Bhojpuri,15:00,Gold,80₹,47,0
Bihar,Chanpatia,ShyamTalkiesAcDolby71Chanpatia,Bhojpuri,15:00,Silver,60₹,85,0
Bihar,Danapur,DianaCinemaDanapurWithNewSoundProjection,Bhojpuri,15:00,DressCircle,80₹,209,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,15:00,RedClassic,150₹,49,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,15:00,RedBox,130₹,54,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,15:00,BlueBox,100₹,100,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,15:10,Deluxe,300₹,22,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,15:10,Premium,220₹,30,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,15:10,Executive,150₹,131,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,15:10,Gold,120₹,48,0
Bihar,Lakhisarai,RajChitraMandirLakhisarai,Bhojpuri,17:30,FamilyBox,150₹,25,0
Bihar,Lakhisarai,RajChitraMandirLakhisarai,Bhojpuri,17:30,DressCircle,120₹,50,0
Bihar,Danapur,DianaCinemaDanapurWithNewSoundProjection,Bhojpuri,18:00,DressCircle,80₹,209,0
Bihar,Chanpatia,ShyamTalkiesAcDolby71Chanpatia,Bhojpuri,18:00,Gold,80₹,47,0
Bihar,Chanpatia,ShyamTalkiesAcDolby71Chanpatia,Bhojpuri,18:00,Silver,60₹,85,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,18:00,RedClassic,150₹,49,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,18:00,RedBox,130₹,54,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,18:00,BlueBox,100₹,100,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,18:10,Deluxe,300₹,22,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,18:10,Premium,220₹,30,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,18:10,Executive,150₹,131,2
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,18:10,Gold,120₹,48,0
Bihar,Chanpatia,ShyamTalkiesAcDolby71Chanpatia,Bhojpuri,21:00,Gold,80₹,47,0
Bihar,Chanpatia,ShyamTalkiesAcDolby71Chanpatia,Bhojpuri,21:00,Silver,60₹,85,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,21:00,RedClassic,150₹,49,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,21:00,RedBox,130₹,54,0
Bihar,Motihari,TheCinemaKalyanpur,Bhojpuri,21:00,BlueBox,100₹,100,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,21:00,Deluxe,300₹,22,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,21:00,Premium,220₹,30,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,21:00,Executive,150₹,131,0
Bihar,Muzaffarpur,ShyamTalkiesMotijheelMuzaffarpur,Bhojpuri,21:00,Gold,120₹,48,0
