City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Mumbai,MaisonPvrLibraryHallJioWorldDriveBkc,400051,English,09:15,Prime,170₹,138,0
Mumbai,MaisonPvrLibraryHallJioWorldDriveBkc,400051,English,09:15,PrimePlus,170₹,66,22
Mumbai,MaisonPvrLibraryHallJioWorldDriveBkc,400051,English,09:15,Recliner,300₹,16,6
NationalCapitalRegionNcr,PvrLogixNoida,201301,English,09:30,Classic,200₹,38,2
Mumbai,PvrMarketCityKurlaPremiere,400072,English,09:30,Classic,90₹,80,4
Mumbai,PvrMarketCityKurlaPremiere,400072,English,09:30,Prime,110₹,143,22
Lucknow,InoxMegaplexPhoenixPalassioMall,226010,English,09:30,Insignia,350₹,42,8
NationalCapitalRegionNcr,PvrVegasDwarka,110078,English,10:00,Classic,180₹,36,34
NationalCapitalRegionNcr,PvrVegasDwarka,110078,English,10:00,Prime,205₹,21,21
NationalCapitalRegionNcr,PvrVegasDwarka,110078,English,10:00,Recliner,205₹,8,8
Mumbai,InoxInsigniaAtAtriaMallWorli,400018,English,10:00,Insignia,330₹,31,4
Ahmedabad,PvrArvedTranscubeAhmedabad,382480,English,10:15,Classic,150₹,33,0
Ahmedabad,PvrArvedTranscubeAhmedabad,382480,English,10:15,Prime,150₹,100,13
Vadodara,PvrTransCubeVadodara,390005,English,10:15,Classic,100₹,34,4
Vadodara,PvrTransCubeVadodara,390005,English,10:15,Prime,100₹,100,16
Vadodara,PvrTransCubeVadodara,390005,English,10:15,Recliner,250₹,8,0
Mumbai,InoxMegaplexInorbitMallMalad,400064,English,10:15,Kiddles,130₹,57,6
Pune,PvrPhoenixMarketCityGoldPune,411014,English,10:45,GoldClassic,450₹,24,0
Pune,PvrPhoenixMarketCityGoldPune,411014,English,10:45,GoldPrime,500₹,22,8
NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,122001,English,10:45,Platinum,400₹,28,0
NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,122001,English,10:45,PlatinumSuperior,400₹,16,3
Chennai,PvrHeritageRslEcrChennai,600119,English,12:00,Classic,66₹,11,11
Chennai,PvrHeritageRslEcrChennai,600119,English,12:00,Prime,211₹,99,19
Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,560048,English,12:30,Classic,170₹,72,59
Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,560048,English,12:30,Recliner,250₹,7,7
Chennai,SpiEscapeExpressAvenueMallRoyapettah,600014,English,12:30,Budget,66₹,11,11
Chennai,SpiEscapeExpressAvenueMallRoyapettah,600014,English,12:30,Elite,211₹,99,45
Ahmedabad,PvrArvedTranscubeAhmedabad,382480,English,13:00,Classic,150₹,33,0
Ahmedabad,PvrArvedTranscubeAhmedabad,382480,English,13:00,Prime,200₹,100,16
Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,400013,English,13:00,Lounger,150₹,10,0
Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,400013,English,13:00,Classic,130₹,39,7
Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,400013,English,13:00,Prime,220₹,68,17
Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,400013,English,13:00,Recliner,350₹,14,6
Chennai,PvrVrChennaiAnnaNagar,600040,English,13:00,Classic,66₹,24,3
Chennai,PvrVrChennaiAnnaNagar,600040,English,13:00,Prime,211₹,112,21
Mumbai,MetroInoxCinemasMarineLines,400020,English,13:45,Kiddles,210₹,45,9
Indore,PvrTreasureIslandMallIndore,452001,English,14:00,Classic,130₹,26,0
Indore,PvrTreasureIslandMallIndore,452001,English,14:00,Prime,130₹,46,33
Indore,PvrTreasureIslandMallIndore,452001,English,14:00,Recliner,230₹,8,4
Pune,CinepolisSeasonsMallPune,411028,English,14:20,Normal,180₹,17,0
Pune,CinepolisSeasonsMallPune,411028,English,14:20,Executive,180₹,62,13
Pune,CinepolisSeasonsMallPune,411028,English,14:20,Premium,200₹,22,7
Mumbai,PvrCitiMallAndheriW,400053,English,14:30,Classic,120₹,46,0
Mumbai,PvrCitiMallAndheriW,400053,English,14:30,Prime,140₹,146,31
Mumbai,PvrCitiMallAndheriW,400053,English,14:30,Recliner,330₹,24,24
Chennai,SpiPalazzoTheForumVijayaMallVadapalani,600026,English,15:35,Budget,66₹,27,20
Chennai,SpiPalazzoTheForumVijayaMallVadapalani,600026,English,15:35,Elite,211₹,165,15
NationalCapitalRegionNcr,PvrVegasDwarka,110078,English,15:45,Classic,260₹,36,0
NationalCapitalRegionNcr,PvrVegasDwarka,110078,English,15:45,Prime,315₹,21,7
NationalCapitalRegionNcr,PvrVegasDwarka,110078,English,15:45,Recliner,365₹,8,7
Indore,InoxC21Mall,452010,English,16:10,Normal,130₹,163,0
Hyderabad,PvrNextGalleriaMallPanjagutta,500082,English,16:25,Classic,200₹,54,53
Mumbai,CinepolisVipVivianaMallThane,400606,English,16:35,Vip,400₹,74,10
Bhubaneswar,CinepolisEsplanadeBhubaneswar,751007,English,16:55,Normal,150₹,23,0
Bhubaneswar,CinepolisEsplanadeBhubaneswar,751007,English,16:55,Executive,150₹,52,0
Bhubaneswar,CinepolisEsplanadeBhubaneswar,751007,English,16:55,Premium,150₹,44,4
Bhubaneswar,CinepolisEsplanadeBhubaneswar,751007,English,16:55,Vip,350₹,9,0
Chennai,LuxeCinemasChennai,600042,English,18:50,Elite2D,183₹,134,45
Chennai,LuxeCinemasChennai,600042,English,18:50,Budget,66₹,24,3
